DATUM;1(DA1);2(DA2);3(DC2);4(DC1);5(TA1A);6(TA2A);7(TA1FBA);8(TA2FBA);9(TA1C);10(TA2C);11(TA1FBC);12(TA2FBC);13(MP12D01);14(MP12D02);15(MP12D03);16(MP12D04);17(MP12D05);18(MP12D06);19(MP12D07);20(MP12D08)
2020-08-17 00:00:00;10;13;9;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-17 00:15:00;14;10;7;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-17 00:30:00;15;5;10;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-17 00:45:00;6;4;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-17 01:00:00;3;7;11;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-17 01:15:00;8;11;10;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-17 01:30:00;9;9;10;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-17 01:45:00;5;2;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-17 02:00:00;2;3;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-17 02:15:00;3;0;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-17 02:30:00;8;5;9;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-17 02:45:00;7;4;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-17 03:00:00;3;0;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-17 03:15:00;5;5;7;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-17 03:30:00;7;3;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-17 03:45:00;6;1;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
