DATUM;1(DA1);2(DA2);3(DC2);4(DC1);5(TA1A);6(TA2A);7(TA1FBA);8(TA2FBA);9(TA1C);10(TA2C);11(TA1FBC);12(TA2FBC);13(MP12D01);14(MP12D02);15(MP12D03);16(MP12D04);17(MP12D05);18(MP12D06);19(MP12D07);20(MP12D08)
2020-02-04 00:00:00;10;5;14;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-04 00:15:00;13;8;6;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-04 00:30:00;11;4;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-04 00:45:00;6;3;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-04 01:00:00;7;1;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-04 01:15:00;8;7;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-04 01:30:00;4;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-04 01:45:00;6;3;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-04 02:00:00;4;2;7;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-04 02:15:00;5;4;6;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-04 02:30:00;5;3;4;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-04 02:45:00;4;0;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-04 03:00:00;11;2;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-04 03:15:00;1;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-04 03:30:00;10;5;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-04 03:45:00;7;4;9;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-04 04:00:00;7;1;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-04 04:15:00;12;2;6;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-04 04:30:00;7;3;6;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-04 04:45:00;17;3;16;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-04 05:00:00;28;10;24;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-04 05:15:00;66;29;33;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-04 05:30:00;51;44;40;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-04 05:45:00;68;75;46;110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-04 06:00:00;72;72;43;135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-04 06:15:00;73;66;59;138;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-04 06:30:00;146;116;77;227;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0
2020-02-04 06:45:00;100;94;68;145;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-02-04 07:00:00;101;89;62;135;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-02-04 07:15:00;105;117;81;148;5;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0
2020-02-04 07:30:00;133;111;57;158;1;6;3;0;3;2;0;0;0;0;0;0;0;0;0;0
2020-02-04 07:45:00;120;141;128;210;17;3;0;0;5;8;0;0;0;0;0;0;0;0;0;0
2020-02-04 08:00:00;84;95;76;161;4;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0
2020-02-04 08:15:00;110;121;82;145;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
2020-02-04 08:30:00;59;62;41;88;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-04 08:45:00;
2020-02-04 09:00:00;47;57;35;61;1;5;0;1;10;0;1;0;0;0;0;0;0;0;0;0
2020-02-04 09:15:00;84;91;60;87;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-04 09:30:00;71;116;57;106;9;1;0;0;0;5;0;0;0;0;0;0;0;0;0;0
2020-02-04 09:45:00;51;53;30;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-04 10:00:00;99;107;59;106;3;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0
2020-02-04 10:15:00;94;101;37;108;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-04 10:30:00;104;95;320;126;4;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-02-04 10:45:00;88;90;71;124;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-04 11:00:00;109;97;68;127;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-02-04 11:15:00;100;120;73;136;1;3;0;0;8;0;0;0;0;0;0;0;0;0;0;0
2020-02-04 11:30:00;102;91;82;132;4;3;1;0;0;7;0;1;0;0;0;0;0;0;0;0
2020-02-04 11:45:00;75;111;71;140;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-02-04 12:00:00;93;80;67;136;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-04 12:15:00;93;86;77;163;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
2020-02-04 12:30:00;81;84;66;140;0;6;0;0;12;0;0;0;0;0;0;0;0;0;0;0
2020-02-04 12:45:00;96;79;69;135;0;3;0;0;1;2;0;0;0;0;0;0;0;0;0;0
2020-02-04 13:00:00;108;112;89;136;1;6;0;0;2;0;0;0;0;0;0;0;0;0;0;0
