DATUM;1(DA1);2(DA2);3(DC2);4(DC1);5(TA1A);6(TA2A);7(TA1FBA);8(TA2FBA);9(TA1C);10(TA2C);11(TA1FBC);12(TA2FBC);13(MP12D01);14(MP12D02);15(MP12D03);16(MP12D04);17(MP12D05);18(MP12D06);19(MP12D07);20(MP12D08)
2020-07-30 00:00:00;9;8;9;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-07-30 00:15:00;18;19;15;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-07-30 00:30:00;15;9;13;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-07-30 00:45:00;7;6;12;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-07-30 01:00:00;13;7;9;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-07-30 01:15:00;12;9;12;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-07-30 01:30:00;12;5;8;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-07-30 01:45:00;8;7;10;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-07-30 02:00:00;8;8;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-07-30 02:15:00;6;1;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-07-30 02:30:00;11;3;5;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-07-30 02:45:00;6;2;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-07-30 03:00:00;7;5;7;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-07-30 03:15:00;7;4;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-07-30 03:30:00;5;1;3;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-07-30 03:45:00;3;0;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-07-30 04:00:00;9;3;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-07-30 04:15:00;8;4;10;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-07-30 04:30:00;4;0;7;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-07-30 04:45:00;14;3;15;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-07-30 05:00:00;28;7;12;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-07-30 05:15:00;44;25;30;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-07-30 05:30:00;56;41;37;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-07-30 05:45:00;51;49;36;91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-07-30 06:00:00;58;46;32;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-07-30 06:15:00;65;49;36;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-07-30 06:30:00;81;73;55;133;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-07-30 06:45:00;76;75;53;121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-07-30 07:00:00;67;67;47;100;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-07-30 07:15:00;96;86;54;78;3;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
2020-07-30 07:30:00;79;98;59;114;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
2020-07-30 07:45:00;79;85;58;114;2;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-07-30 08:00:00;89;100;54;111;4;1;0;0;7;0;1;0;0;0;0;0;0;0;0;0
2020-07-30 08:15:00;75;76;62;136;0;3;0;0;6;0;0;0;0;0;0;0;0;0;0;0
2020-07-30 08:30:00;81;91;58;96;9;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0
2020-07-30 08:45:00;91;95;71;129;2;7;0;0;9;0;0;0;0;0;0;0;0;0;0;0
2020-07-30 09:00:00;84;91;58;107;2;8;0;0;2;1;0;0;0;0;0;0;0;0;0;0
2020-07-30 09:15:00;97;87;54;100;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-07-30 09:30:00;105;106;62;111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-07-30 09:45:00;102;98;69;135;3;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0
2020-07-30 10:00:00;96;114;67;129;0;2;0;0;8;0;1;0;0;0;0;0;0;0;0;0
2020-07-30 10:15:00;98;98;47;135;0;6;0;0;6;0;0;0;0;0;0;0;0;0;0;0
2020-07-30 10:30:00;83;87;254;140;6;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0
2020-07-30 10:45:00;100;128;14;163;12;6;9;0;1;4;0;0;0;0;0;0;0;0;0;0
2020-07-30 11:00:00;117;97;87;149;10;2;5;3;4;2;3;0;0;0;0;0;0;0;0;0
2020-07-30 11:15:00;77;102;65;131;2;8;0;0;3;1;0;0;0;0;0;0;0;0;0;0
2020-07-30 11:30:00;93;89;76;140;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-07-30 11:45:00;117;116;70;151;16;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
2020-07-30 12:00:00;87;75;60;131;3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
2020-07-30 12:15:00;72;83;64;147;0;3;0;0;4;4;0;0;0;0;0;0;0;0;0;0
2020-07-30 12:30:00;90;84;76;136;2;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0
2020-07-30 12:45:00;84;91;77;130;7;11;0;0;11;0;0;0;0;0;0;0;0;0;0;0
2020-07-30 13:00:00;90;90;60;131;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0
2020-07-30 13:15:00;89;131;68;168;1;9;0;0;14;0;0;0;0;0;0;0;0;0;0;0
2020-07-30 13:30:00;115;107;69;123;4;5;1;0;3;0;0;0;0;0;0;0;0;0;0;0
