DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(TA1A);6(TA2a);7(TA1FBA);8(TA2FBA);9(TA1C);10(TA2C);11(TA1FBC);12(TA2FBC)
2020-04-02 00:00:00;1;1;2;3;0;0;0;0;0;0;0;0
2020-04-02 00:15:00;9;4;6;4;0;0;0;0;0;0;0;0
2020-04-02 00:30:00;8;4;2;0;0;0;0;0;0;0;0;0
2020-04-02 00:45:00;6;3;4;3;0;0;0;0;0;0;0;0
2020-04-02 01:00:00;2;3;3;3;0;0;0;0;0;0;0;0
2020-04-02 01:15:00;2;3;1;2;0;0;0;0;0;0;0;0
2020-04-02 01:30:00;5;0;4;1;0;0;0;0;0;0;0;0
2020-04-02 01:45:00;0;0;5;4;0;0;0;0;0;0;0;0
2020-04-02 02:00:00;5;1;2;2;0;0;0;0;0;0;0;0
2020-04-02 02:15:00;4;2;1;1;0;0;0;0;0;0;0;0
2020-04-02 02:30:00;6;0;3;1;0;0;0;0;0;0;0;0
2020-04-02 02:45:00;3;1;2;0;0;0;0;0;0;0;0;0
2020-04-02 03:00:00;4;0;1;3;0;0;0;0;0;0;0;0
2020-04-02 03:15:00;4;1;2;3;0;0;0;0;0;0;0;0
2020-04-02 03:30:00;5;1;3;3;0;0;0;0;0;0;0;0
2020-04-02 03:45:00;8;4;2;2;0;0;0;0;0;0;0;0
2020-04-02 04:00:00;3;0;1;3;0;0;0;0;0;0;0;0
2020-04-02 04:15:00;2;5;7;5;0;0;0;0;0;0;0;0
2020-04-02 04:30:00;7;3;5;6;0;0;0;0;0;0;0;0
2020-04-02 04:45:00;7;4;6;12;0;0;0;0;0;0;0;0
2020-04-02 05:00:00;13;2;15;18;0;0;0;0;0;0;0;0
2020-04-02 05:15:00;16;8;20;22;0;0;0;0;0;0;0;0
2020-04-02 05:30:00;36;14;18;34;0;0;0;0;0;0;0;0
2020-04-02 05:45:00;55;38;34;46;0;0;0;0;0;0;0;0
2020-04-02 06:00:00;49;29;35;50;0;0;0;0;0;1;0;0
2020-04-02 06:15:00;50;30;40;59;0;0;0;0;0;0;0;0
2020-04-02 06:30:00;66;26;48;80;0;2;0;0;0;0;0;0
2020-04-02 06:45:00;82;46;54;70;0;0;0;0;0;0;0;0
2020-04-02 07:00:00;55;36;46;64;0;1;0;0;1;0;0;0
2020-04-02 07:15:00;88;47;53;62;0;2;0;0;0;0;0;0
2020-04-02 07:30:00;93;49;57;72;4;0;0;0;0;4;0;0
2020-04-02 07:45:00;98;63;55;85;0;0;0;0;0;0;0;0
2020-04-02 08:00:00;49;38;63;66;0;0;0;0;1;0;0;0
2020-04-02 08:15:00;65;37;59;52;0;0;0;0;0;4;0;0
2020-04-02 08:30:00;64;40;44;50;0;2;0;0;0;1;0;0
2020-04-02 08:45:00;72;45;50;53;3;0;0;0;2;0;0;0
2020-04-02 09:00:00;53;43;43;55;2;1;0;0;1;2;0;0
2020-04-02 09:15:00;72;36;49;52;13;0;0;0;0;0;0;0
2020-04-02 09:30:00;65;43;48;64;0;3;0;0;8;0;0;0
2020-04-02 09:45:00;71;48;53;69;0;1;0;0;0;0;0;0
2020-04-02 10:00:00;81;43;48;63;0;1;0;0;0;0;0;0
2020-04-02 10:15:00;78;38;57;56;1;0;0;0;0;0;0;0
2020-04-02 10:30:00;72;49;49;72;0;0;0;0;0;0;0;0
2020-04-02 10:45:00;77;42;66;72;1;0;0;0;0;0;0;0
2020-04-02 11:00:00;66;47;52;67;2;0;1;0;1;1;0;0
2020-04-02 11:15:00;68;39;55;60;1;0;0;0;0;1;0;0
2020-04-02 11:30:00;74;51;55;95;2;5;0;0;2;6;0;0
2020-04-02 11:45:00;72;46;62;73;6;7;0;0;12;2;0;0
2020-04-02 12:00:00;60;40;66;90;0;0;0;0;1;2;0;0
2020-04-02 12:15:00;53;46;47;78;3;0;0;0;0;0;0;0
2020-04-02 12:30:00;79;40;53;73;0;0;0;0;0;0;0;0
2020-04-02 12:45:00;60;41;58;73;0;0;0;0;1;1;0;0
2020-04-02 13:00:00;76;45;53;73;6;0;0;0;1;3;0;0
2020-04-02 13:15:00;83;49;49;68;1;1;0;0;1;2;0;0
2020-04-02 13:30:00;76;47;44;67;0;0;0;0;3;0;0;0
2020-04-02 13:45:00;67;48;56;77;18;1;0;0;1;5;0;0
2020-04-02 14:00:00;74;54;60;96;0;2;0;0;1;0;0;0
2020-04-02 14:15:00;80;35;61;101;4;0;0;0;3;6;0;0
2020-04-02 14:30:00;81;56;69;91;0;1;0;0;2;3;0;0
2020-04-02 14:45:00;72;50;57;81;0;0;0;0;0;2;0;0
2020-04-02 15:00:00;78;56;62;87;0;4;0;0;1;0;0;0
2020-04-02 15:15:00;70;53;71;85;2;6;0;0;5;1;0;0
2020-04-02 15:30:00;93;49;85;91;0;0;0;0;1;11;0;0
2020-04-02 15:45:00;85;59;75;105;3;11;0;0;21;0;12;0
2020-04-02 16:00:00;74;48;76;95;6;3;0;0;6;1;0;0
2020-04-02 16:15:00;68;61;73;82;2;0;0;0;2;1;0;0
2020-04-02 16:30:00;70;57;70;85;2;0;0;0;2;0;0;0
2020-04-02 16:45:00;76;39;82;99;10;0;0;0;3;19;0;12
2020-04-02 17:00:00;77;57;58;102;1;5;0;2;6;1;1;2
2020-04-02 17:15:00;72;62;58;84;5;0;0;0;1;0;0;0
2020-04-02 17:30:00;59;46;59;84;7;9;0;0;14;0;0;0
2020-04-02 17:45:00;75;38;42;57;2;0;0;0;1;2;0;0
2020-04-02 18:00:00;67;38;62;66;4;0;3;0;0;11;0;2
2020-04-02 18:15:00;49;41;46;73;1;0;0;0;3;3;2;0
2020-04-02 18:30:00;50;31;39;61;4;0;0;0;14;1;0;0
2020-04-02 18:45:00;54;30;38;51;22;0;2;0;4;2;0;0
2020-04-02 19:00:00;57;38;42;53;2;0;0;0;0;0;0;0
2020-04-02 19:15:00;44;32;42;44;0;0;0;0;0;7;0;0
2020-04-02 19:30:00;33;27;36;46;0;1;0;0;1;0;0;0
2020-04-02 19:45:00;27;15;40;32;3;0;0;0;0;2;0;0
2020-04-02 20:00:00;30;25;37;31;0;0;0;0;1;0;0;0
2020-04-02 20:15:00;27;11;27;37;0;0;0;0;0;0;0;0
2020-04-02 20:30:00;18;11;20;28;0;0;0;0;0;0;0;0
2020-04-02 20:45:00;22;16;23;30;0;0;0;0;0;0;0;0
2020-04-02 21:00:00;37;13;18;24;0;0;0;0;0;0;0;0
2020-04-02 21:15:00;19;11;22;27;0;0;0;0;0;0;0;0
2020-04-02 21:30:00;21;12;11;21;0;0;0;0;0;0;0;0
2020-04-02 21:45:00;15;4;16;27;0;0;0;0;0;0;0;0
2020-04-02 22:00:00;17;15;15;16;0;0;0;0;0;0;0;0
2020-04-02 22:15:00;13;8;13;14;0;0;0;0;0;0;0;0
2020-04-02 22:30:00;15;7;10;12;0;0;0;0;0;0;0;0
2020-04-02 22:45:00;9;2;7;11;0;0;0;0;0;0;0;0
2020-04-02 23:00:00;13;4;4;11;0;0;0;0;0;0;0;0
2020-04-02 23:15:00;6;5;3;11;0;0;0;0;0;0;0;0
2020-04-02 23:30:00;4;2;3;6;0;0;0;0;0;0;0;0
2020-04-02 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
