DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(TA1A);6(TA2a);7(TA1FBA);8(TA2FBA);9(TA1C);10(TA2C);11(TA1FBC);12(TA2FBC)
2020-08-30 00:00:00;13;10;10;16;0;0;0;0;0;0;0;0
2020-08-30 00:15:00;26;25;18;23;0;0;0;0;0;0;0;0
2020-08-30 00:30:00;13;11;14;15;0;0;0;0;0;0;0;0
2020-08-30 00:45:00;17;8;17;31;0;0;0;0;0;0;0;0
2020-08-30 01:00:00;16;9;17;19;0;0;0;0;0;0;0;0
2020-08-30 01:15:00;12;12;15;15;0;0;0;0;0;0;0;0
2020-08-30 01:30:00;14;7;13;12;0;0;0;0;0;0;0;0
2020-08-30 01:45:00;12;12;8;15;0;0;0;0;0;0;0;0
2020-08-30 02:00:00;9;7;14;11;0;0;0;0;0;0;0;0
2020-08-30 02:15:00;8;4;11;14;0;0;0;0;0;0;0;0
2020-08-30 02:30:00;14;7;16;12;0;0;0;0;0;0;0;0
2020-08-30 02:45:00;6;5;10;10;0;0;0;0;0;0;0;0
2020-08-30 03:00:00;9;4;12;17;0;0;0;0;0;0;0;0
2020-08-30 03:15:00;4;1;8;5;0;0;0;0;0;0;0;0
2020-08-30 03:30:00;9;5;1;2;0;0;0;0;0;0;0;0
2020-08-30 03:45:00;4;4;2;4;0;0;0;0;0;0;0;0
2020-08-30 04:00:00;7;2;8;4;0;0;0;0;0;0;0;0
2020-08-30 04:15:00;8;7;2;6;0;0;0;0;0;0;0;0
2020-08-30 04:30:00;5;2;4;2;0;0;0;0;0;0;0;0
2020-08-30 04:45:00;4;3;6;6;0;0;0;0;0;0;0;0
2020-08-30 05:00:00;2;2;7;8;0;0;0;0;0;0;0;0
2020-08-30 05:15:00;10;2;2;7;0;0;0;0;0;0;0;0
2020-08-30 05:30:00;13;8;5;8;6;0;0;0;0;0;0;0
2020-08-30 05:45:00;19;5;6;5;0;0;0;0;0;0;0;0
2020-08-30 06:00:00;16;3;9;8;0;0;0;0;0;0;0;0
2020-08-30 06:15:00;6;4;8;10;0;0;0;0;0;0;0;0
2020-08-30 06:30:00;8;6;6;6;0;0;0;0;0;0;0;0
2020-08-30 06:45:00;8;6;5;7;0;0;0;0;0;0;0;0
2020-08-30 07:00:00;9;0;17;17;0;0;0;0;0;0;0;0
2020-08-30 07:15:00;15;6;11;8;0;0;0;0;0;0;0;0
2020-08-30 07:30:00;14;7;3;3;0;0;0;0;0;0;0;0
2020-08-30 07:45:00;13;5;10;7;0;0;0;0;0;0;0;0
2020-08-30 08:00:00;12;4;9;14;0;0;0;0;0;0;0;0
2020-08-30 08:15:00;21;11;28;16;0;0;0;0;0;0;0;0
2020-08-30 08:30:00;27;9;18;15;0;0;0;0;0;0;0;0
2020-08-30 08:45:00;19;6;13;18;0;0;0;0;0;0;0;0
2020-08-30 09:00:00;21;10;23;27;0;0;0;0;0;0;0;0
2020-08-30 09:15:00;20;19;27;27;2;0;0;0;0;1;0;0
2020-08-30 09:30:00;34;22;31;33;0;0;0;0;0;0;0;0
2020-08-30 09:45:00;31;11;27;29;0;0;0;0;0;0;0;0
2020-08-30 10:00:00;32;15;25;42;0;0;0;0;0;0;0;0
2020-08-30 10:15:00;34;19;32;33;0;0;0;0;0;0;0;0
2020-08-30 10:30:00;35;23;49;47;0;1;0;0;0;0;0;0
2020-08-30 10:45:00;43;26;47;51;0;0;0;0;0;0;0;0
2020-08-30 11:00:00;47;34;44;45;0;0;0;0;0;0;0;0
2020-08-30 11:15:00;49;20;37;62;0;6;0;0;0;0;0;0
2020-08-30 11:30:00;47;27;39;39;0;2;0;0;1;0;0;0
