DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(TA1A);6(TA2a);7(TA1FBA);8(TA2FBA);9(TA1C);10(TA2C);11(TA1FBC);12(TA2FBC)
2020-06-28 00:00:00;24;14;20;31;0;0;0;0;0;0;0;0
2020-06-28 00:15:00;21;16;20;25;0;0;0;0;0;0;0;0
2020-06-28 00:30:00;22;13;18;21;0;0;0;0;0;0;0;0
2020-06-28 00:45:00;15;14;16;24;0;0;0;0;0;0;0;0
2020-06-28 01:00:00;13;10;18;19;0;0;0;0;0;0;0;0
2020-06-28 01:15:00;18;9;13;10;0;0;0;0;0;0;0;0
2020-06-28 01:30:00;15;8;17;15;0;0;0;0;0;0;0;0
2020-06-28 01:45:00;17;12;14;13;0;0;0;0;0;0;0;0
2020-06-28 02:00:00;21;8;6;16;0;0;0;0;0;0;0;0
2020-06-28 02:15:00;10;5;11;11;0;0;0;0;0;0;0;0
2020-06-28 02:30:00;9;2;17;14;0;0;0;0;0;0;0;0
2020-06-28 02:45:00;11;7;5;10;0;0;0;0;0;0;0;0
2020-06-28 03:00:00;6;4;10;8;0;0;0;0;0;0;0;0
2020-06-28 03:15:00;6;3;4;5;0;0;0;0;0;0;0;0
2020-06-28 03:30:00;3;4;10;7;0;0;0;0;0;0;0;0
2020-06-28 03:45:00;3;6;6;5;0;0;0;0;0;0;0;0
2020-06-28 04:00:00;1;6;8;2;0;0;0;0;0;0;0;0
2020-06-28 04:15:00;4;4;8;3;0;0;0;0;0;0;0;0
2020-06-28 04:30:00;4;1;2;1;0;0;0;0;0;0;0;0
2020-06-28 04:45:00;3;1;8;4;0;0;0;0;0;0;0;0
2020-06-28 05:00:00;10;1;5;9;0;0;0;0;0;0;0;0
2020-06-28 05:15:00;6;4;3;4;0;0;0;0;0;0;0;0
2020-06-28 05:30:00;12;5;5;2;0;0;0;0;0;0;0;0
2020-06-28 05:45:00;19;11;6;7;0;0;0;0;0;0;0;0
2020-06-28 06:00:00;10;2;12;15;0;0;0;0;0;0;0;0
2020-06-28 06:15:00;8;3;2;6;0;0;0;0;0;0;0;0
