DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(TA1A);6(TA2a);7(TA1FBA);8(TA2FBA);9(TA1C);10(TA2C);11(TA1FBC);12(TA2FBC)
2020-05-31 00:00:00;21;11;18;21;0;0;0;0;0;0;0;0
2020-05-31 00:15:00;17;8;26;22;0;0;0;0;0;0;0;0
2020-05-31 00:30:00;15;8;11;20;0;0;0;0;0;0;0;0
2020-05-31 00:45:00;10;9;10;10;0;0;0;0;0;0;0;0
2020-05-31 01:00:00;6;2;18;12;0;0;0;0;0;0;0;0
2020-05-31 01:15:00;12;6;11;17;0;0;0;0;0;0;0;0
2020-05-31 01:30:00;6;6;12;10;0;0;0;0;0;0;0;0
2020-05-31 01:45:00;15;4;6;3;0;0;0;0;0;0;0;0
2020-05-31 02:00:00;7;6;10;10;0;0;0;0;0;0;0;0
2020-05-31 02:15:00;3;2;4;5;0;0;0;0;0;0;0;0
2020-05-31 02:30:00;6;2;3;6;0;0;0;0;0;0;0;0
2020-05-31 02:45:00;5;6;5;6;0;0;0;0;0;0;0;0
2020-05-31 03:00:00;6;1;9;7;0;0;0;0;0;0;0;0
2020-05-31 03:15:00;5;4;4;0;0;0;0;0;0;0;0;0
2020-05-31 03:30:00;6;2;7;6;0;0;0;0;0;0;0;0
2020-05-31 03:45:00;4;1;0;3;0;0;0;0;0;0;0;0
2020-05-31 04:00:00;2;3;4;4;0;3;0;0;0;0;0;0
2020-05-31 04:15:00;2;1;2;1;0;0;0;0;0;0;0;0
2020-05-31 04:30:00;2;0;3;4;0;0;0;0;0;0;0;0
2020-05-31 04:45:00;1;0;1;3;0;0;0;0;0;0;0;0
2020-05-31 05:00:00;1;1;3;3;0;0;0;0;0;0;0;0
2020-05-31 05:15:00;7;2;2;3;0;0;0;0;0;0;0;0
2020-05-31 05:30:00;14;4;8;5;0;0;0;0;0;0;0;0
2020-05-31 05:45:00;13;5;5;7;0;0;0;0;0;0;0;0
2020-05-31 06:00:00;11;3;3;4;0;0;0;0;0;0;0;0
2020-05-31 06:15:00;6;2;4;6;0;0;0;0;0;0;0;0
2020-05-31 06:30:00;6;6;5;7;0;0;0;0;0;0;0;0
2020-05-31 06:45:00;6;7;6;8;0;0;0;0;0;0;0;0
2020-05-31 07:00:00;8;1;8;9;0;0;0;0;0;0;0;0
2020-05-31 07:15:00;9;3;6;6;0;0;0;0;0;0;0;0
2020-05-31 07:30:00;9;5;13;7;0;1;0;0;1;0;0;0
2020-05-31 07:45:00;9;1;5;6;0;0;0;0;0;0;0;0
2020-05-31 08:00:00;9;1;11;3;0;0;0;0;0;0;0;0
2020-05-31 08:15:00;19;7;10;10;0;0;0;0;0;0;0;0
2020-05-31 08:30:00;7;7;17;8;0;0;0;0;0;0;0;0
2020-05-31 08:45:00;12;9;11;10;4;0;0;0;0;0;0;0
2020-05-31 09:00:00;13;7;15;12;0;0;0;0;0;0;0;0
2020-05-31 09:15:00;18;10;22;15;0;0;0;0;0;0;0;0
2020-05-31 09:30:00;32;17;27;22;0;1;0;0;1;2;0;0
2020-05-31 09:45:00;29;17;27;33;0;0;0;0;0;1;0;0
2020-05-31 10:00:00;25;14;26;31;0;0;0;0;1;0;0;0
2020-05-31 10:15:00;24;19;31;27;0;0;0;0;0;0;0;0
2020-05-31 10:30:00;44;39;31;30;0;0;0;0;0;0;0;0
2020-05-31 10:45:00;35;25;40;46;0;0;0;0;0;0;0;0
2020-05-31 11:00:00;47;30;34;35;0;0;0;0;0;0;0;0
2020-05-31 11:15:00;36;20;46;43;0;0;0;0;0;1;0;0
2020-05-31 11:30:00;47;32;44;41;14;4;0;0;4;3;0;0
2020-05-31 11:45:00;60;37;52;41;0;1;0;0;0;0;0;0
2020-05-31 12:00:00;55;25;53;45;0;2;0;0;4;0;0;0
2020-05-31 12:15:00;39;19;55;53;15;1;0;0;2;23;0;0
2020-05-31 12:30:00;44;24;44;45;1;1;0;0;1;1;0;0
2020-05-31 12:45:00;43;41;39;37;0;4;0;0;14;0;0;0
2020-05-31 13:00:00;45;38;51;35;2;0;0;0;0;0;0;0
2020-05-31 13:15:00;53;35;39;40;0;4;0;0;0;2;0;0
2020-05-31 13:30:00;59;35;55;47;1;0;0;0;0;2;0;0
2020-05-31 13:45:00;50;34;29;38;0;0;0;0;0;2;0;0
2020-05-31 14:00:00;51;45;38;52;0;2;0;0;9;1;0;0
2020-05-31 14:15:00;63;32;45;67;0;1;0;0;1;0;0;0
2020-05-31 14:30:00;56;50;51;56;12;2;0;0;0;5;0;0
2020-05-31 14:45:00;55;50;57;60;2;6;0;0;0;3;0;0
2020-05-31 15:00:00;54;30;51;65;2;1;0;3;9;5;0;0
2020-05-31 15:15:00;51;39;49;63;10;0;0;0;2;3;0;0
2020-05-31 15:30:00;43;30;36;48;22;7;0;0;2;6;0;0
2020-05-31 15:45:00;56;48;43;57;8;0;1;0;0;4;0;4
2020-05-31 16:00:00;53;40;53;54;0;5;0;0;3;1;0;0
2020-05-31 16:15:00;49;34;50;50;1;0;0;0;0;0;0;0
2020-05-31 16:30:00;54;36;29;49;4;0;0;0;0;7;0;0
2020-05-31 16:45:00;46;39;61;55;0;0;0;0;6;0;0;0
2020-05-31 17:00:00;68;41;60;58;1;0;0;0;8;0;0;0
2020-05-31 17:15:00;50;45;60;60;2;2;0;0;4;1;0;0
2020-05-31 17:30:00;60;36;49;48;5;13;0;0;31;2;2;0
2020-05-31 17:45:00;61;31;53;65;0;2;0;0;4;3;0;0
2020-05-31 18:00:00;47;25;46;50;0;3;0;0;5;0;0;0
2020-05-31 18:15:00;54;44;55;39;0;0;0;0;0;0;0;0
2020-05-31 18:30:00;68;40;48;51;2;1;0;0;16;0;1;0
2020-05-31 18:45:00;57;32;50;52;0;0;0;0;0;2;0;3
2020-05-31 19:00:00;64;56;46;47;0;0;0;0;0;0;0;0
2020-05-31 19:15:00;60;44;61;47;0;0;0;0;1;0;0;0
2020-05-31 19:30:00;50;22;51;52;0;0;0;0;0;0;0;0
2020-05-31 19:45:00;25;54;49;49;4;0;0;0;0;3;0;0
2020-05-31 20:00:00;34;45;41;48;0;0;0;0;0;0;0;0
2020-05-31 20:15:00;33;27;43;31;0;0;0;0;0;0;0;0
2020-05-31 20:30:00;45;24;40;42;0;0;0;0;0;0;0;0
2020-05-31 20:45:00;37;22;41;34;0;0;0;0;0;0;0;0
2020-05-31 21:00:00;44;24;41;43;0;0;0;0;0;0;0;0
2020-05-31 21:15:00;36;23;23;32;0;0;0;0;0;0;0;0
2020-05-31 21:30:00;39;22;35;49;0;0;0;0;0;0;0;0
2020-05-31 21:45:00;23;18;35;40;0;0;0;0;0;1;0;0
2020-05-31 22:00:00;37;24;40;30;0;0;0;0;0;0;0;0
2020-05-31 22:15:00;39;25;30;28;0;0;0;0;0;0;0;0
2020-05-31 22:30:00;29;16;29;27;0;0;0;0;0;1;0;0
2020-05-31 22:45:00;27;13;33;34;3;0;0;0;0;0;0;0
2020-05-31 23:00:00;26;13;20;25;0;0;0;0;0;0;0;0
2020-05-31 23:15:00;26;18;17;22;0;0;0;0;0;0;0;0
2020-05-31 23:30:00;29;28;18;22;0;0;0;0;0;0;0;0
2020-05-31 23:45:00;29;18;15;23;0;0;0;0;0;0;0;0
