DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(TA1A);6(TA2a);7(TA1FBA);8(TA2FBA);9(TA1C);10(TA2C);11(TA1FBC);12(TA2FBC)
2020-11-06 00:00:00;7;2;10;8;0;0;0;0;0;0;0;0
2020-11-06 00:15:00;7;2;5;6;0;0;0;0;0;0;0;0
2020-11-06 00:30:00;13;3;4;5;0;0;0;0;0;0;0;0
2020-11-06 00:45:00;8;2;4;4;0;0;0;0;0;0;0;0
2020-11-06 01:00:00;8;3;8;7;0;0;0;0;0;0;0;0
2020-11-06 01:15:00;7;3;4;4;0;0;0;0;0;0;0;0
2020-11-06 01:30:00;3;2;3;1;0;0;0;0;0;0;0;0
2020-11-06 01:45:00;7;0;5;9;0;0;0;0;0;0;0;0
2020-11-06 02:00:00;2;0;5;5;0;0;0;0;0;0;0;0
2020-11-06 02:15:00;7;2;6;8;0;0;0;0;0;0;0;0
2020-11-06 02:30:00;6;0;7;7;0;0;0;0;0;0;0;0
2020-11-06 02:45:00;5;1;7;3;0;0;0;0;0;0;0;0
2020-11-06 03:00:00;11;1;2;2;0;0;0;0;0;0;0;0
2020-11-06 03:15:00;4;0;6;2;0;0;0;0;0;0;0;0
2020-11-06 03:30:00;7;4;3;4;0;0;0;0;0;0;0;0
2020-11-06 03:45:00;6;0;1;5;0;0;0;0;0;0;0;0
2020-11-06 04:00:00;3;0;5;6;0;0;0;0;0;0;0;0
2020-11-06 04:15:00;7;1;2;2;0;0;0;0;0;0;0;0
2020-11-06 04:30:00;16;1;15;11;0;0;0;0;0;0;0;0
2020-11-06 04:45:00;14;2;15;11;0;0;0;0;0;0;0;0
2020-11-06 05:00:00;19;3;33;20;0;0;0;0;0;0;0;0
2020-11-06 05:15:00;27;5;38;26;0;0;0;0;0;0;0;0
2020-11-06 05:30:00;46;16;65;30;0;0;0;0;0;0;0;0
2020-11-06 05:45:00;65;36;73;53;0;0;0;0;0;2;0;0
2020-11-06 06:00:00;53;26;57;41;0;0;0;0;0;0;0;0
2020-11-06 06:15:00;70;35;51;61;0;0;0;0;0;0;0;0
2020-11-06 06:30:00;73;46;65;79;0;0;0;0;6;3;0;0
2020-11-06 06:45:00;108;45;52;85;0;13;0;0;19;0;0;0
