DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(TA1A);6(TA2A);7(TA1FBA);8(TA2FBA);9(TA1C);10(TA2C);11(TA1FBC);12(TA2FBC)
2019-08-31 00:00:00;18;4;19;18;0;0;0;0;0;0;0;0
2019-08-31 00:15:00;23;14;14;15;0;0;0;0;0;0;0;0
2019-08-31 00:30:00;11;9;16;9;0;0;0;0;0;0;0;0
2019-08-31 00:45:00;20;11;13;12;0;0;0;0;0;0;0;0
2019-08-31 01:00:00;15;7;13;11;0;0;0;0;0;0;0;0
2019-08-31 01:15:00;13;8;17;12;0;0;0;0;0;0;0;0
2019-08-31 01:30:00;8;7;11;6;0;0;0;0;0;0;0;0
2019-08-31 01:45:00;9;3;18;12;0;0;0;0;0;0;0;0
2019-08-31 02:00:00;7;2;11;4;0;0;0;0;0;0;0;0
2019-08-31 02:15:00;14;7;12;14;0;0;0;0;0;0;0;0
2019-08-31 02:30:00;6;0;5;2;0;0;0;0;0;0;0;0
2019-08-31 02:45:00;9;8;6;9;0;0;0;0;0;0;0;0
2019-08-31 03:00:00;8;5;11;4;0;0;0;0;0;0;0;0
2019-08-31 03:15:00;18;7;7;5;0;0;0;0;0;0;0;0
2019-08-31 03:30:00;5;3;4;1;0;0;0;0;0;0;0;0
2019-08-31 03:45:00;9;0;7;3;0;0;0;0;0;0;0;0
2019-08-31 04:00:00;4;2;8;4;0;0;0;0;0;0;0;0
2019-08-31 04:15:00;7;0;6;6;0;0;0;0;0;0;0;0
2019-08-31 04:30:00;4;2;4;0;0;0;0;0;0;0;0;0
2019-08-31 04:45:00;7;3;7;3;0;0;0;0;0;0;0;0
2019-08-31 05:00:00;15;4;8;6;0;0;0;0;0;0;0;0
2019-08-31 05:15:00;14;1;9;10;0;0;0;0;0;0;0;0
2019-08-31 05:30:00;24;8;11;16;0;0;0;0;0;0;0;0
2019-08-31 05:45:00;33;11;14;12;0;0;0;0;0;0;0;0
2019-08-31 06:00:00;23;8;16;10;0;0;0;0;0;0;0;0
2019-08-31 06:15:00;31;9;17;8;0;0;0;0;0;0;0;0
2019-08-31 06:30:00;19;6;14;17;0;0;0;0;0;1;0;0
2019-08-31 06:45:00;32;9;14;21;12;0;0;0;0;0;0;0
2019-08-31 07:00:00;30;14;13;18;0;0;0;0;0;0;0;0
2019-08-31 07:15:00;43;18;18;19;0;0;0;0;0;0;0;0
2019-08-31 07:30:00;39;17;22;22;0;0;0;0;0;0;0;0
2019-08-31 07:45:00;42;15;28;19;1;0;2;0;0;2;0;2
2019-08-31 08:00:00;48;21;36;31;0;5;0;0;2;1;0;0
