DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(TA1A);6(TA2A);7(TA1FBA);8(TA2FBA);9(TA1C);10(TA2C);11(TA1FBC);12(TA2FBC)
2019-09-03 00:00:00;5;7;8;5;0;0;0;0;0;0;0;0
2019-09-03 00:15:00;13;8;8;8;0;0;0;0;0;0;0;0
2019-09-03 00:30:00;10;2;4;3;0;0;0;0;0;0;0;0
2019-09-03 00:45:00;9;6;8;12;0;0;0;0;0;0;0;0
2019-09-03 01:00:00;7;4;6;5;0;0;0;0;0;0;0;0
2019-09-03 01:15:00;15;4;9;3;0;0;0;0;0;0;0;0
2019-09-03 01:30:00;7;4;3;2;0;0;0;0;0;0;0;0
2019-09-03 01:45:00;4;0;7;4;0;0;0;0;0;0;0;0
2019-09-03 02:00:00;3;4;6;3;0;0;0;0;0;0;0;0
2019-09-03 02:15:00;7;1;5;2;0;0;0;0;0;0;0;0
2019-09-03 02:30:00;2;1;2;0;0;0;0;0;0;0;0;0
2019-09-03 02:45:00;7;2;4;1;0;0;0;0;0;0;0;0
2019-09-03 03:00:00;3;0;3;5;0;0;0;0;0;0;0;0
2019-09-03 03:15:00;5;4;7;4;0;0;0;0;0;0;0;0
2019-09-03 03:30:00;5;2;3;1;0;0;0;0;0;0;0;0
2019-09-03 03:45:00;9;0;3;1;0;0;0;0;0;0;0;0
2019-09-03 04:00:00;11;4;9;6;0;0;0;0;0;0;0;0
2019-09-03 04:15:00;10;0;4;7;0;0;0;0;0;0;0;0
2019-09-03 04:30:00;9;6;13;5;0;0;0;0;0;0;0;0
2019-09-03 04:45:00;14;4;9;11;0;0;0;0;0;0;0;0
2019-09-03 05:00:00;15;6;10;14;0;0;0;0;0;0;0;0
2019-09-03 05:15:00;39;12;19;20;0;0;0;0;0;0;0;0
2019-09-03 05:30:00;48;13;30;36;0;0;0;0;0;0;0;0
2019-09-03 05:45:00;106;34;38;47;0;0;0;0;0;0;0;0
2019-09-03 06:00:00;74;30;39;59;0;0;0;0;0;0;0;0
2019-09-03 06:15:00;104;39;59;73;0;0;0;0;0;0;0;0
2019-09-03 06:30:00;107;49;56;80;1;0;0;0;0;2;0;0
2019-09-03 06:45:00;120;55;66;106;2;0;0;0;13;2;0;0
2019-09-03 07:00:00;120;56;72;96;4;14;0;0;1;4;0;0
2019-09-03 07:15:00;140;66;72;97;3;3;0;0;12;11;0;0
2019-09-03 07:30:00;148;68;83;100;6;2;0;0;2;6;0;0
2019-09-03 07:45:00;133;81;71;87;2;6;0;0;10;2;0;0
2019-09-03 08:00:00;102;69;76;98;0;4;0;0;4;1;0;0
2019-09-03 08:15:00;110;59;75;81;58;8;1;0;7;7;0;1
2019-09-03 08:30:00;119;68;96;79;2;2;0;4;2;1;2;0
2019-09-03 08:45:00;118;90;64;79;2;12;0;1;15;10;0;0
2019-09-03 09:00:00;122;73;62;72;19;4;0;0;4;8;0;0
2019-09-03 09:15:00;120;67;70;70;2;4;0;0;2;6;0;0
2019-09-03 09:30:00;124;68;75;75;6;1;2;0;4;6;0;2
2019-09-03 09:45:00;112;77;74;85;14;1;0;0;2;6;2;0
2019-09-03 10:00:00;108;65;71;82;10;1;0;0;10;10;0;0
2019-09-03 10:15:00;109;62;67;83;9;7;0;0;3;8;2;0
2019-09-03 10:30:00;119;65;70;98;8;13;0;0;8;16;0;0
2019-09-03 10:45:00;110;61;79;95;6;0;0;0;7;16;6;0
2019-09-03 11:00:00;108;64;89;92;9;11;3;0;3;24;0;2
2019-09-03 11:15:00;109;76;87;113;8;6;0;0;3;5;0;0
2019-09-03 11:30:00;114;84;96;102;13;2;0;0;9;11;0;1
2019-09-03 11:45:00;99;73;77;97;3;11;0;5;10;2;9;0
2019-09-03 12:00:00;120;71;91;89;9;5;1;0;4;5;0;3
2019-09-03 12:15:00;112;72;80;106;3;0;0;0;7;8;0;0
2019-09-03 12:30:00;118;70;91;102;8;2;0;0;7;7;0;0
2019-09-03 12:45:00;105;59;78;83;26;4;0;0;22;18;0;0
2019-09-03 13:00:00;109;57;89;97;1;1;0;0;46;3;0;0
2019-09-03 13:15:00;104;74;82;106;9;4;5;0;6;5;2;0
2019-09-03 13:30:00;117;56;92;112;5;22;0;3;6;15;0;0
2019-09-03 13:45:00;105;47;84;102;12;21;0;0;6;10;1;15
2019-09-03 14:00:00;101;62;90;102;8;21;0;0;7;18;3;0
2019-09-03 14:15:00;130;94;113;114;30;7;1;1;2;29;0;2
2019-09-03 14:30:00;115;85;89;110;11;1;0;0;15;17;0;0
2019-09-03 14:45:00;123;83;84;108;24;6;6;0;7;34;0;0
2019-09-03 15:00:00;124;73;101;110;12;27;1;0;14;31;0;1
2019-09-03 15:15:00;140;103;91;116;39;7;10;0;6;45;0;23
2019-09-03 15:30:00;130;85;108;141;26;12;0;0;18;34;1;0
2019-09-03 15:45:00;126;96;101;124;9;3;0;0;5;9;0;0
2019-09-03 16:00:00;134;108;117;145;22;1;8;0;6;22;0;10
2019-09-03 16:15:00;146;112;124;159;12;4;0;0;3;12;0;0
2019-09-03 16:30:00;146;91;118;158;4;9;0;1;4;1;0;0
2019-09-03 16:45:00;126;101;125;148;7;17;0;0;43;9;0;1
2019-09-03 17:00:00;144;115;125;169;7;10;0;0;8;26;0;0
2019-09-03 17:15:00;140;122;104;137;3;16;0;0;7;23;0;0
2019-09-03 17:30:00;142;107;125;151;12;2;0;1;16;11;0;0
2019-09-03 17:45:00;140;110;103;126;8;1;0;0;10;16;0;0
2019-09-03 18:00:00;137;78;126;136;13;7;0;0;2;14;0;0
2019-09-03 18:15:00;113;84;96;140;13;18;3;0;6;10;0;1
2019-09-03 18:30:00;113;98;85;103;6;10;0;0;7;18;0;0
2019-09-03 18:45:00;101;74;79;92;20;21;0;0;96;26;0;0
2019-09-03 19:00:00;90;80;91;81;15;18;0;0;7;8;1;0
2019-09-03 19:15:00;72;63;78;82;17;45;0;7;61;22;7;0
2019-09-03 19:30:00;81;42;93;97;9;7;0;0;8;41;0;0
2019-09-03 19:45:00;66;46;87;81;68;7;7;0;21;13;0;5
2019-09-03 20:00:00;56;35;95;109;29;14;0;0;11;20;0;0
2019-09-03 20:15:00;47;43;79;97;0;1;0;0;9;0;0;0
2019-09-03 20:30:00;52;37;62;63;0;0;0;0;0;0;0;0
2019-09-03 20:45:00;43;36;33;54;4;1;0;0;0;0;0;0
2019-09-03 21:00:00;49;24;47;50;0;0;0;0;2;0;0;0
2019-09-03 21:15:00;50;20;41;42;0;0;0;0;0;0;0;0
2019-09-03 21:30:00;39;16;35;38;0;0;0;0;0;0;0;0
2019-09-03 21:45:00;37;22;36;32;0;0;0;0;0;0;0;0
2019-09-03 22:00:00;41;18;35;34;0;0;0;0;0;0;0;0
2019-09-03 22:15:00;40;19;28;32;0;0;0;0;0;0;0;0
2019-09-03 22:30:00;31;11;32;29;0;0;0;0;0;0;0;0
2019-09-03 22:45:00;25;11;25;20;0;0;0;0;0;0;0;0
2019-09-03 23:00:00;18;6;18;15;0;0;0;0;1;0;0;0
2019-09-03 23:15:00;18;7;13;13;0;0;0;0;0;0;0;0
2019-09-03 23:30:00;9;6;6;9;0;0;0;0;0;0;0;0
2019-09-03 23:45:00;13;4;17;21;0;0;0;0;0;0;0;0
