DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(TA1A);6(TA2A);7(TA1FBA);8(TA2FBA);9(TA1C);10(TA2C);11(TA1FBC);12(TA2FBC)
2020-02-01 00:00:00;14;9;14;13;0;0;0;0;0;0;0;0
2020-02-01 00:15:00;22;9;17;21;0;0;0;0;0;0;0;0
2020-02-01 00:30:00;15;9;18;12;0;0;0;0;0;0;0;0
2020-02-01 00:45:00;9;7;19;8;0;0;0;0;0;0;0;0
2020-02-01 01:00:00;18;9;17;14;0;0;0;0;0;0;0;0
2020-02-01 01:15:00;22;8;15;15;0;0;0;0;0;0;0;0
2020-02-01 01:30:00;10;3;9;7;0;0;0;0;0;0;0;0
2020-02-01 01:45:00;9;5;10;12;0;0;0;0;0;0;0;0
2020-02-01 02:00:00;10;9;8;9;0;0;0;0;0;0;0;0
2020-02-01 02:15:00;4;6;5;6;0;0;0;0;0;0;0;0
2020-02-01 02:30:00;7;3;7;4;0;0;0;0;0;0;0;0
2020-02-01 02:45:00;11;3;7;5;0;0;0;0;0;0;0;0
2020-02-01 03:00:00;7;4;7;4;0;0;0;0;0;0;0;0
2020-02-01 03:15:00;8;3;3;3;0;0;0;0;0;0;0;0
2020-02-01 03:30:00;8;2;2;4;0;0;0;0;0;0;0;0
2020-02-01 03:45:00;4;4;11;4;0;0;0;0;0;0;0;0
2020-02-01 04:00:00;3;2;5;8;0;0;0;0;0;0;0;0
2020-02-01 04:15:00;7;4;5;3;0;0;0;0;0;0;0;0
2020-02-01 04:30:00;8;4;6;4;0;0;0;0;0;0;0;0
2020-02-01 04:45:00;11;2;7;5;0;0;0;0;0;0;0;0
2020-02-01 05:00:00;11;5;9;8;0;0;0;0;0;0;0;0
2020-02-01 05:15:00;21;3;16;9;0;0;0;0;0;0;0;0
2020-02-01 05:30:00;27;8;12;11;0;0;0;0;0;0;0;0
2020-02-01 05:45:00;38;18;13;10;0;1;0;0;0;0;0;0
2020-02-01 06:00:00;26;7;14;11;0;0;0;0;0;0;0;0
2020-02-01 06:15:00;26;11;29;22;0;0;0;0;0;0;0;0
2020-02-01 06:30:00;39;8;19;21;0;0;0;0;0;0;0;0
2020-02-01 06:45:00;19;8;21;24;0;0;0;0;0;0;0;0
2020-02-01 07:00:00;33;11;15;23;0;0;0;0;0;0;0;0
2020-02-01 07:15:00;32;11;21;19;0;0;0;0;0;0;0;0
2020-02-01 07:30:00;39;11;20;21;0;2;0;0;1;0;0;0
2020-02-01 07:45:00;49;21;41;42;0;7;0;0;1;0;0;0
2020-02-01 08:00:00;39;21;27;27;1;1;0;0;5;1;0;0
2020-02-01 08:15:00;51;17;40;32;1;0;0;0;6;1;0;0
2020-02-01 08:30:00;56;28;29;33;1;2;0;0;4;3;0;0
2020-02-01 08:45:00;72;38;41;37;7;1;0;0;1;6;0;0
2020-02-01 09:00:00;96;52;53;35;2;2;0;0;8;0;0;0
2020-02-01 09:15:00;88;55;53;50;7;1;0;0;6;0;0;0
2020-02-01 09:30:00;105;56;51;54;3;0;0;0;0;4;0;0
2020-02-01 09:45:00;119;81;76;70;6;15;0;0;1;13;0;1
2020-02-01 10:00:00;117;78;57;71;1;8;0;0;2;3;0;0
2020-02-01 10:15:00;133;89;67;68;7;14;0;0;15;0;0;0
2020-02-01 10:30:00;145;89;79;89;12;29;2;2;11;6;2;0
2020-02-01 10:45:00;139;91;86;110;9;7;0;0;5;11;0;0
2020-02-01 11:00:00;137;81;91;95;13;9;0;0;42;5;0;0
2020-02-01 11:15:00;148;103;101;91;15;12;0;0;10;16;0;0
2020-02-01 11:30:00;116;81;111;116;27;1;0;0;5;41;0;0
2020-02-01 11:45:00;134;87;91;102;15;9;0;0;25;27;0;0
2020-02-01 12:00:00;140;90;107;122;13;0;0;0;20;23;3;3
2020-02-01 12:15:00;126;85;102;102;16;8;1;0;34;2;0;2
2020-02-01 12:30:00;140;94;103;138;12;2;3;0;1;15;0;2
2020-02-01 12:45:00;133;88;102;114;14;9;0;0;6;13;0;0
2020-02-01 13:00:00;160;108;108;126;26;4;0;0;10;12;0;0
2020-02-01 13:15:00;151;109;105;122;14;18;0;1;15;7;0;0
2020-02-01 13:30:00;151;102;125;129;3;2;0;0;11;6;0;0
2020-02-01 13:45:00;150;108;108;114;9;5;0;0;12;15;0;0
2020-02-01 14:00:00;147;102;115;130;89;17;0;0;12;29;24;0
2020-02-01 14:15:00;164;124;123;122;32;5;1;1;12;15;1;0
2020-02-01 14:30:00;139;114;136;154;35;0;2;0;24;7;0;0
2020-02-01 14:45:00;162;124;125;139;11;6;0;0;10;12;1;0
2020-02-01 15:00:00;151;105;123;156;10;29;0;1;21;12;1;0
2020-02-01 15:15:00;156;98;107;148;19;10;0;0;6;32;0;5
2020-02-01 15:30:00;137;96;128;126;34;2;25;0;5;34;2;10
2020-02-01 15:45:00;161;112;104;143;32;10;1;0;12;23;12;0
2020-02-01 16:00:00;149;110;111;130;4;53;0;0;72;16;4;0
2020-02-01 16:15:00;172;129;118;117;10;25;0;0;11;19;0;0
2020-02-01 16:30:00;155;100;105;128;3;1;1;0;3;4;0;2
2020-02-01 16:45:00;152;117;114;134;22;4;0;0;9;10;0;0
2020-02-01 17:00:00;154;94;119;143;11;5;0;1;5;9;0;0
2020-02-01 17:15:00;136;99;98;139;18;5;0;0;6;28;0;0
2020-02-01 17:30:00;147;91;113;128;4;38;2;0;19;14;0;0
2020-02-01 17:45:00;132;98;101;128;38;8;0;0;24;17;0;0
2020-02-01 18:00:00;110;97;119;137;17;0;2;0;1;25;0;0
2020-02-01 18:15:00;127;80;114;116;8;3;0;0;3;6;0;0
2020-02-01 18:30:00;113;80;111;115;13;9;0;1;11;2;0;0
2020-02-01 18:45:00;110;71;93;111;10;6;0;0;10;2;13;0
2020-02-01 19:00:00;86;54;88;88;5;1;0;0;0;7;0;0
2020-02-01 19:15:00;101;67;87;93;2;2;0;0;1;3;0;0
2020-02-01 19:30:00;82;51;67;94;0;0;0;0;0;2;0;0
2020-02-01 19:45:00;68;42;97;114;6;0;0;0;1;35;0;0
2020-02-01 20:00:00;67;45;95;101;0;0;0;0;0;0;0;0
2020-02-01 20:15:00;67;45;83;99;2;0;0;0;0;0;0;0
2020-02-01 20:30:00;51;48;51;49;0;0;0;0;0;0;0;0
2020-02-01 20:45:00;56;34;60;52;0;0;0;0;0;0;0;0
2020-02-01 21:00:00;28;20;50;45;0;0;0;0;0;0;0;0
2020-02-01 21:15:00;30;22;46;29;0;0;0;0;0;0;0;0
2020-02-01 21:30:00;41;29;31;32;0;0;0;0;0;0;0;0
2020-02-01 21:45:00;43;28;50;41;0;0;0;0;0;0;0;0
2020-02-01 22:00:00;45;28;54;45;0;0;0;0;0;0;0;0
2020-02-01 22:15:00;40;23;40;42;0;0;0;0;0;0;0;0
2020-02-01 22:30:00;44;27;35;31;0;0;0;0;0;0;0;0
2020-02-01 22:45:00;38;18;39;34;0;0;0;0;0;0;0;0
2020-02-01 23:00:00;44;25;29;33;0;0;0;0;0;0;0;0
