DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(TA1A);6(TA2A);7(TA1FBA);8(TA2FBA);9(TA1C);10(TA2C);11(TA1FBC);12(TA2FBC)
2020-05-14 00:00:00;3;7;7;3;0;0;0;0;0;0;0;0
2020-05-14 00:15:00;9;4;4;2;0;0;0;0;0;0;0;0
2020-05-14 00:30:00;5;6;4;6;0;0;0;0;0;0;0;0
2020-05-14 00:45:00;10;1;5;4;0;0;0;0;0;0;0;0
2020-05-14 01:00:00;0;0;4;1;0;0;0;0;0;0;0;0
2020-05-14 01:15:00;6;4;1;1;0;0;0;0;0;0;0;0
2020-05-14 01:30:00;3;0;4;3;0;0;0;0;0;0;0;0
2020-05-14 01:45:00;2;2;7;3;0;0;0;0;0;0;0;0
2020-05-14 02:00:00;6;2;5;4;0;0;0;0;0;0;0;0
2020-05-14 02:15:00;5;0;6;2;0;0;0;0;0;0;0;0
2020-05-14 02:30:00;6;1;3;0;0;0;0;0;0;0;0;0
2020-05-14 02:45:00;6;5;3;4;0;0;0;0;0;0;0;0
2020-05-14 03:00:00;2;2;3;2;0;0;0;0;0;0;0;0
2020-05-14 03:15:00;7;2;4;4;0;0;0;0;0;0;0;0
2020-05-14 03:30:00;10;6;3;2;0;0;0;0;0;0;0;0
2020-05-14 03:45:00;5;3;4;1;0;0;0;0;0;0;0;0
2020-05-14 04:00:00;2;1;8;5;0;0;0;0;0;0;0;0
2020-05-14 04:15:00;5;1;4;2;0;0;0;0;0;0;0;0
2020-05-14 04:30:00;11;3;13;3;0;0;0;0;0;0;0;0
2020-05-14 04:45:00;17;1;15;11;0;0;0;0;0;0;0;0
2020-05-14 05:00:00;15;9;17;7;0;0;0;0;0;0;0;0
2020-05-14 05:15:00;32;13;28;28;0;0;0;0;0;0;0;0
2020-05-14 05:30:00;49;14;35;36;0;0;0;0;0;0;0;0
2020-05-14 05:45:00;67;23;36;55;0;0;0;0;0;0;0;0
2020-05-14 06:00:00;47;20;41;38;0;0;0;0;0;0;0;0
2020-05-14 06:15:00;59;31;45;59;0;0;0;0;0;0;0;0
2020-05-14 06:30:00;95;31;57;72;0;0;0;0;0;0;0;0
2020-05-14 06:45:00;102;47;59;71;0;0;0;0;1;0;0;0
2020-05-14 07:00:00;93;57;61;85;7;2;0;0;0;8;0;0
2020-05-14 07:15:00;106;56;77;70;1;0;0;0;1;9;1;0
2020-05-14 07:30:00;107;50;93;90;4;1;0;0;7;3;0;0
2020-05-14 07:45:00;95;66;70;60;3;0;0;0;0;8;0;0
2020-05-14 08:00:00;103;47;73;57;8;6;0;0;6;0;0;0
2020-05-14 08:15:00;80;47;66;67;12;1;0;0;0;20;0;0
2020-05-14 08:30:00;106;48;58;74;3;5;0;0;6;5;0;0
2020-05-14 08:45:00;106;59;52;61;2;2;1;0;5;1;0;0
2020-05-14 09:00:00;123;52;56;57;6;3;0;0;0;8;0;0
2020-05-14 09:15:00;87;48;54;52;11;1;2;0;4;3;0;2
2020-05-14 09:30:00;110;68;77;67;10;0;0;0;3;7;0;0
2020-05-14 09:45:00;101;55;75;67;0;0;0;0;2;3;0;0
2020-05-14 10:00:00;104;83;68;79;8;14;0;0;10;6;0;0
2020-05-14 10:15:00;102;54;90;81;16;7;0;0;4;7;0;1
2020-05-14 10:30:00;119;64;84;93;5;9;0;0;6;29;0;0
