DATUM;1(TAFGA);2(TAFBA)
2019-12-12 00:00:00;1;0
2019-12-12 00:15:00;0;0
2019-12-12 00:30:00;0;0
2019-12-12 00:45:00;0;0
2019-12-12 01:00:00;0;0
2019-12-12 01:15:00;0;0
2019-12-12 01:30:00;0;0
2019-12-12 01:45:00;0;0
2019-12-12 02:00:00;0;0
2019-12-12 02:15:00;0;0
2019-12-12 02:30:00;0;0
2019-12-12 02:45:00;0;0
2019-12-12 03:00:00;0;0
2019-12-12 03:15:00;0;0
2019-12-12 03:30:00;0;0
2019-12-12 03:45:00;0;0
2019-12-12 04:00:00;0;0
2019-12-12 04:15:00;0;0
2019-12-12 04:30:00;0;0
2019-12-12 04:45:00;0;0
2019-12-12 05:00:00;0;0
2019-12-12 05:15:00;0;0
2019-12-12 05:30:00;0;0
2019-12-12 05:45:00;0;0
2019-12-12 06:00:00;0;0
2019-12-12 06:15:00;0;0
2019-12-12 06:30:00;3;0
2019-12-12 06:45:00;1;0
2019-12-12 07:00:00;2;1
2019-12-12 07:15:00;55;0
2019-12-12 07:30:00;124;3
2019-12-12 07:45:00;9;0
2019-12-12 08:00:00;22;5
2019-12-12 08:15:00;26;1
2019-12-12 08:30:00;21;10
2019-12-12 08:45:00;7;0
2019-12-12 09:00:00;0;0
2019-12-12 09:15:00;8;0
2019-12-12 09:30:00;25;0
2019-12-12 09:45:00;31;0
2019-12-12 10:00:00;11;0
2019-12-12 10:15:00;14;0
2019-12-12 10:30:00;6;0
2019-12-12 10:45:00;1;0
2019-12-12 11:00:00;2;0
2019-12-12 11:15:00;34;0
2019-12-12 11:30:00;11;0
2019-12-12 11:45:00;27;0
2019-12-12 12:00:00;37;2
2019-12-12 12:15:00;11;0
2019-12-12 12:30:00;26;0
2019-12-12 12:45:00;17;0
2019-12-12 13:00:00;11;0
2019-12-12 13:15:00;49;1
2019-12-12 13:30:00;15;0
2019-12-12 13:45:00;53;5
2019-12-12 14:00:00;17;0
2019-12-12 14:15:00;10;0
2019-12-12 14:30:00;45;0
2019-12-12 14:45:00;10;0
2019-12-12 15:00:00;19;0
2019-12-12 15:15:00;48;0
2019-12-12 15:30:00;79;0
2019-12-12 15:45:00;33;2
2019-12-12 16:00:00;20;0
2019-12-12 16:15:00;25;6
2019-12-12 16:30:00;50;0
2019-12-12 16:45:00;58;4
2019-12-12 17:00:00;20;0
2019-12-12 17:15:00;13;0
2019-12-12 17:30:00;7;0
2019-12-12 17:45:00;4;0
2019-12-12 18:00:00;92;0
2019-12-12 18:15:00;6;0
2019-12-12 18:30:00;32;0
2019-12-12 18:45:00;53;0
2019-12-12 19:00:00;12;7
2019-12-12 19:15:00;1;0
2019-12-12 19:30:00;5;0
2019-12-12 19:45:00;5;0
2019-12-12 20:00:00;0;0
2019-12-12 20:15:00;0;0
2019-12-12 20:30:00;0;0
2019-12-12 20:45:00;0;0
2019-12-12 21:00:00;0;0
2019-12-12 21:15:00;0;0
2019-12-12 21:30:00;0;0
2019-12-12 21:45:00;0;0
2019-12-12 22:00:00;0;0
2019-12-12 22:15:00;0;0
2019-12-12 22:30:00;0;0
2019-12-12 22:45:00;0;0
2019-12-12 23:00:00;0;0
2019-12-12 23:15:00;0;0
2019-12-12 23:30:00;0;0
2019-12-12 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
