DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(TA1A);6(TA2A);7(TA1C);8(TA2C)
2019-09-15 00:00:00;0;40;26;0;0;0;0;0
2019-09-15 00:15:00;0;50;42;0;0;0;0;0
2019-09-15 00:30:00;0;42;51;0;0;0;0;0
2019-09-15 00:45:00;0;45;48;0;0;0;0;0
2019-09-15 01:00:00;0;41;34;0;0;0;0;0
2019-09-15 01:15:00;0;37;30;0;0;0;0;0
2019-09-15 01:30:00;0;37;28;0;0;0;0;0
2019-09-15 01:45:00;0;27;25;0;0;0;0;0
2019-09-15 02:00:00;0;19;19;0;0;0;0;0
2019-09-15 02:15:00;0;17;20;0;0;0;0;0
2019-09-15 02:30:00;0;21;20;0;0;0;0;0
2019-09-15 02:45:00;0;14;14;0;19;0;0;0
2019-09-15 03:00:00;0;15;18;0;0;0;0;0
2019-09-15 03:15:00;0;26;28;0;0;0;0;0
2019-09-15 03:30:00;0;15;14;0;0;0;0;0
2019-09-15 03:45:00;0;13;16;0;0;0;0;0
2019-09-15 04:00:00;0;18;13;0;0;0;0;0
2019-09-15 04:15:00;0;10;15;0;0;0;0;0
2019-09-15 04:30:00;0;16;21;0;0;0;0;0
2019-09-15 04:45:00;0;16;28;0;0;0;0;0
2019-09-15 05:00:00;0;13;10;0;0;0;0;0
2019-09-15 05:15:00;0;13;15;0;0;0;0;0
2019-09-15 05:30:00;0;26;27;0;0;0;0;0
2019-09-15 05:45:00;0;27;23;0;0;0;0;0
2019-09-15 06:00:00;0;28;21;0;0;0;0;0
2019-09-15 06:15:00;0;24;38;0;0;0;0;0
2019-09-15 06:30:00;0;22;15;0;0;0;0;0
2019-09-15 06:45:00;0;18;10;0;0;0;0;0
2019-09-15 07:00:00;0;24;19;0;0;0;0;0
2019-09-15 07:15:00;0;30;20;0;0;0;0;0
2019-09-15 07:30:00;0;23;18;0;0;0;0;0
2019-09-15 07:45:00;0;36;30;0;0;3;0;0
2019-09-15 08:00:00;0;40;29;0;0;0;0;0
2019-09-15 08:15:00;0;56;38;0;0;0;17;0
2019-09-15 08:30:00;0;47;37;0;0;0;0;0
