DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(TA1A);6(TA2A);7(TA1C);8(TA2C)
2019-09-03 00:00:00;0;16;6;0;0;0;0;0
2019-09-03 00:15:00;0;28;11;0;0;0;0;0
2019-09-03 00:30:00;0;15;7;0;0;0;0;0
2019-09-03 00:45:00;0;20;6;0;0;0;0;0
2019-09-03 01:00:00;0;19;6;0;0;0;0;0
2019-09-03 01:15:00;0;15;7;0;0;0;0;0
2019-09-03 01:30:00;0;6;6;0;0;0;0;0
2019-09-03 01:45:00;0;11;1;0;0;0;0;0
2019-09-03 02:00:00;0;10;2;0;0;0;0;0
2019-09-03 02:15:00;0;11;5;0;0;0;0;0
2019-09-03 02:30:00;0;6;8;0;0;0;0;0
2019-09-03 02:45:00;0;7;8;0;0;0;0;0
2019-09-03 03:00:00;0;5;4;0;0;0;0;0
2019-09-03 03:15:00;0;8;3;0;0;0;0;0
2019-09-03 03:30:00;0;10;3;0;0;0;0;0
2019-09-03 03:45:00;0;11;6;0;0;0;0;0
2019-09-03 04:00:00;0;19;6;0;0;0;0;0
2019-09-03 04:15:00;0;20;7;0;0;0;0;0
2019-09-03 04:30:00;0;35;12;0;0;0;0;0
2019-09-03 04:45:00;0;33;19;0;0;0;0;0
2019-09-03 05:00:00;0;52;43;0;0;0;0;0
2019-09-03 05:15:00;0;73;68;0;0;0;0;0
2019-09-03 05:30:00;0;107;73;0;0;0;0;0
2019-09-03 05:45:00;0;161;69;0;0;0;0;0
2019-09-03 06:00:00;0;204;49;0;0;0;0;0
2019-09-03 06:15:00;0;178;59;0;0;0;2;0
2019-09-03 06:30:00;0;194;83;0;8;1;6;1
2019-09-03 06:45:00;0;197;81;0;5;6;12;0
2019-09-03 07:00:00;0;186;95;0;0;0;0;1
2019-09-03 07:15:00;0;178;72;0;3;2;6;1
2019-09-03 07:30:00;1;206;85;0;8;4;3;1
2019-09-03 07:45:00;0;192;102;0;30;4;1;9
2019-09-03 08:00:00;0;175;101;0;8;2;13;2
2019-09-03 08:15:00;0;183;68;0;14;2;8;6
2019-09-03 08:30:00;0;204;69;0;11;8;27;1
2019-09-03 08:45:00;0;191;68;0;12;12;6;13
2019-09-03 09:00:00;0;165;76;0;12;0;18;4
2019-09-03 09:15:00;0;181;64;0;7;4;8;9
2019-09-03 09:30:00;0;177;74;0;6;0;4;8
2019-09-03 09:45:00;0;200;74;0;11;10;32;5
2019-09-03 10:00:00;0;192;72;0;20;3;27;25
2019-09-03 10:15:00;0;192;65;0;13;1;2;7
2019-09-03 10:30:00;0;203;67;0;16;2;19;7
2019-09-03 10:45:00;0;207;66;0;4;3;8;3
2019-09-03 11:00:00;0;193;85;0;6;15;10;10
2019-09-03 11:15:00;0;219;71;0;2;2;0;1
2019-09-03 11:30:00;0;229;80;0;3;17;18;1
2019-09-03 11:45:00;0;207;67;0;24;7;17;6
2019-09-03 12:00:00;0;206;79;0;37;5;9;26
2019-09-03 12:15:00;0;181;67;0;10;12;26;13
2019-09-03 12:30:00;0;224;69;0;43;11;0;25
2019-09-03 12:45:00;0;226;68;0;23;1;5;44
2019-09-03 13:00:00;0;243;63;0;27;9;22;10
2019-09-03 13:15:00;0;217;92;0;15;6;9;15
2019-09-03 13:30:00;0;266;97;0;2;12;10;8
2019-09-03 13:45:00;0;227;90;0;8;0;7;24
2019-09-03 14:00:00;0;269;83;0;24;2;23;14
2019-09-03 14:15:00;0;329;75;0;3;10;8;19
2019-09-03 14:30:00;0;274;77;0;84;16;37;35
2019-09-03 14:45:00;0;266;75;0;32;2;8;33
2019-09-03 15:00:00;0;289;61;0;28;8;7;10
2019-09-03 15:15:00;0;302;82;0;16;12;24;22
2019-09-03 15:30:00;0;300;80;0;22;0;21;9
2019-09-03 15:45:00;0;307;99;0;20;6;23;23
2019-09-03 16:00:00;1;302;95;0;17;6;56;13
2019-09-03 16:15:00;0;311;89;0;46;8;9;44
2019-09-03 16:30:00;0;305;81;0;59;4;1;12
2019-09-03 16:45:00;0;316;91;0;22;23;5;3
2019-09-03 17:00:00;0;313;69;0;26;5;18;21
2019-09-03 17:15:00;0;312;84;0;28;25;57;14
2019-09-03 17:30:00;0;294;80;0;7;28;20;8
2019-09-03 17:45:00;0;285;84;0;12;4;9;4
2019-09-03 18:00:00;0;281;78;0;15;12;3;9
2019-09-03 18:15:00;0;257;75;0;7;2;13;5
2019-09-03 18:30:00;0;241;68;0;9;3;6;13
2019-09-03 18:45:00;0;202;71;0;19;1;2;7
2019-09-03 19:00:00;0;199;70;0;21;1;5;4
2019-09-03 19:15:00;0;185;55;0;3;1;2;1
2019-09-03 19:30:00;0;177;54;0;6;7;2;4
2019-09-03 19:45:00;0;179;53;0;5;0;0;4
2019-09-03 20:00:00;0;199;51;0;2;0;7;6
2019-09-03 20:15:00;0;197;33;0;0;1;2;0
2019-09-03 20:30:00;0;163;46;0;0;0;0;0
