DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(TA1A);6(TA2A);7(TA1C);8(TA2C)
2020-04-10 00:00:00;2;6;3;0;0;0;0;0
2020-04-10 00:15:00;2;6;3;0;0;0;0;0
2020-04-10 00:30:00;3;2;4;0;0;0;0;0
2020-04-10 00:45:00;0;6;7;0;0;0;0;0
2020-04-10 01:00:00;3;6;1;0;0;0;0;0
2020-04-10 01:15:00;2;7;1;0;0;0;0;0
2020-04-10 01:30:00;2;4;1;0;0;0;0;0
2020-04-10 01:45:00;0;3;1;0;0;0;0;0
2020-04-10 02:00:00;0;3;0;0;0;0;0;0
2020-04-10 02:15:00;1;3;0;0;0;0;0;0
2020-04-10 02:30:00;1;4;0;0;0;0;0;0
2020-04-10 02:45:00;1;1;0;0;0;0;0;0
2020-04-10 03:00:00;1;3;2;0;0;0;0;0
2020-04-10 03:15:00;0;1;1;0;0;0;0;0
2020-04-10 03:30:00;0;3;0;0;0;0;0;0
2020-04-10 03:45:00;1;1;1;0;0;0;0;0
2020-04-10 04:00:00;1;1;0;0;0;0;0;0
2020-04-10 04:15:00;1;1;2;0;0;0;0;0
2020-04-10 04:30:00;0;2;0;0;0;0;0;0
2020-04-10 04:45:00;0;3;2;0;0;0;0;0
2020-04-10 05:00:00;3;4;2;0;0;0;0;0
2020-04-10 05:15:00;2;4;1;0;0;0;0;0
2020-04-10 05:30:00;3;7;4;0;0;0;0;0
2020-04-10 05:45:00;7;9;5;0;0;0;0;0
2020-04-10 06:00:00;3;11;3;0;0;0;0;0
2020-04-10 06:15:00;3;6;8;0;0;0;0;0
2020-04-10 06:30:00;4;10;7;0;0;0;0;0
2020-04-10 06:45:00;3;13;9;0;0;0;0;0
2020-04-10 07:00:00;5;13;3;0;0;0;0;0
2020-04-10 07:15:00;6;12;7;0;0;0;0;0
2020-04-10 07:30:00;5;8;4;0;0;1;0;0
2020-04-10 07:45:00;4;15;4;0;0;0;0;0
2020-04-10 08:00:00;3;8;6;0;0;0;0;0
2020-04-10 08:15:00;3;12;7;0;0;0;0;0
2020-04-10 08:30:00;4;9;5;0;0;0;0;0
2020-04-10 08:45:00;8;17;4;0;0;1;0;0
2020-04-10 09:00:00;8;21;6;0;0;0;0;0
2020-04-10 09:15:00;2;22;7;0;0;0;0;0
2020-04-10 09:30:00;4;23;9;0;0;0;0;0
2020-04-10 09:45:00;17;30;13;0;1;0;0;0
2020-04-10 10:00:00;14;32;15;0;2;0;0;0
2020-04-10 10:15:00;13;31;9;0;0;0;0;0
2020-04-10 10:30:00;19;41;16;0;4;0;0;0
2020-04-10 10:45:00;16;34;25;0;6;0;0;3
2020-04-10 11:00:00;20;35;12;0;1;0;1;0
2020-04-10 11:15:00;18;45;12;0;0;0;0;0
2020-04-10 11:30:00;18;36;27;0;1;0;0;2
2020-04-10 11:45:00;22;55;15;0;2;2;0;3
2020-04-10 12:00:00;17;41;21;0;0;0;0;0
2020-04-10 12:15:00;17;59;24;0;3;1;0;0
2020-04-10 12:30:00;14;39;20;0;3;0;0;5
2020-04-10 12:45:00;24;47;33;0;0;0;0;0
2020-04-10 13:00:00;17;48;24;0;0;1;2;2
2020-04-10 13:15:00;19;58;21;0;0;0;10;0
2020-04-10 13:30:00;30;43;32;0;1;1;1;3
2020-04-10 13:45:00;17;47;32;0;0;0;2;0
2020-04-10 14:00:00;20;49;22;0;0;0;0;0
2020-04-10 14:15:00;23;51;32;0;2;0;0;1
2020-04-10 14:30:00;26;54;19;0;0;3;2;5
2020-04-10 14:45:00;19;43;23;0;3;1;3;0
2020-04-10 15:00:00;25;45;25;0;3;0;0;0
2020-04-10 15:15:00;24;52;19;0;2;0;1;2
2020-04-10 15:30:00;20;39;32;0;0;3;0;1
2020-04-10 15:45:00;32;48;25;0;2;0;3;0
2020-04-10 16:00:00;28;41;35;0;0;0;0;0
2020-04-10 16:15:00;27;42;19;0;0;2;7;0
2020-04-10 16:30:00;15;56;22;0;6;1;0;0
2020-04-10 16:45:00;18;54;21;0;2;2;0;4
2020-04-10 17:00:00;21;45;25;0;2;0;0;0
2020-04-10 17:15:00;20;39;26;0;0;1;3;0
2020-04-10 17:30:00;30;50;20;0;0;0;0;0
2020-04-10 17:45:00;27;44;22;0;7;0;0;0
2020-04-10 18:00:00;17;39;27;0;1;1;1;4
2020-04-10 18:15:00;17;53;23;0;4;0;0;0
2020-04-10 18:30:00;22;34;24;0;0;0;0;3
2020-04-10 18:45:00;22;38;26;0;1;0;25;1
2020-04-10 19:00:00;14;49;23;0;0;0;0;0
2020-04-10 19:15:00;18;44;22;0;0;0;0;0
2020-04-10 19:30:00;22;43;15;0;0;0;0;0
2020-04-10 19:45:00;17;31;27;0;1;0;0;1
2020-04-10 20:00:00;14;44;25;0;0;0;0;0
2020-04-10 20:15:00;18;34;18;0;0;0;0;0
2020-04-10 20:30:00;20;30;22;0;2;0;0;0
2020-04-10 20:45:00;15;28;16;0;0;0;0;0
2020-04-10 21:00:00;10;29;13;0;0;0;0;0
2020-04-10 21:15:00;8;33;14;0;0;0;0;0
2020-04-10 21:30:00;8;23;13;0;0;0;0;0
2020-04-10 21:45:00;14;25;6;0;0;0;0;0
2020-04-10 22:00:00;11;25;12;0;0;0;0;0
2020-04-10 22:15:00;9;12;14;0;0;0;0;0
2020-04-10 22:30:00;5;11;9;0;0;0;0;0
2020-04-10 22:45:00;5;9;6;0;0;0;0;0
2020-04-10 23:00:00;5;14;8;0;0;0;0;0
2020-04-10 23:15:00;4;10;7;0;0;0;0;0
2020-04-10 23:30:00;4;10;5;0;0;0;0;0
2020-04-10 23:45:00;1;10;5;0;0;0;0;0
