DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(TA1A);6(TA2A);7(TA1C);8(TA2C)
2020-07-20 00:00:00;4;12;4;0;0;0;0;0
2020-07-20 00:15:00;10;16;10;0;0;0;0;0
2020-07-20 00:30:00;3;13;8;0;0;0;0;0
2020-07-20 00:45:00;8;10;7;0;0;0;0;0
2020-07-20 01:00:00;5;9;11;0;0;0;0;0
2020-07-20 01:15:00;8;14;5;0;0;0;0;0
2020-07-20 01:30:00;2;15;8;0;0;0;0;0
2020-07-20 01:45:00;1;9;3;0;0;0;0;0
2020-07-20 02:00:00;8;10;5;0;0;0;0;0
2020-07-20 02:15:00;8;8;1;0;0;0;0;0
2020-07-20 02:30:00;10;13;4;0;0;0;0;0
2020-07-20 02:45:00;2;5;4;0;0;0;0;0
2020-07-20 03:00:00;2;5;5;0;0;0;0;0
2020-07-20 03:15:00;1;5;0;0;0;0;0;0
2020-07-20 03:30:00;3;9;0;0;0;0;0;0
2020-07-20 03:45:00;3;6;5;0;0;0;0;0
2020-07-20 04:00:00;9;7;6;0;0;0;0;0
2020-07-20 04:15:00;2;17;5;0;0;0;0;0
2020-07-20 04:30:00;9;15;8;0;0;0;0;0
2020-07-20 04:45:00;14;26;17;0;0;0;0;0
2020-07-20 05:00:00;18;37;39;0;0;0;0;0
2020-07-20 05:15:00;21;54;98;0;0;0;0;0
2020-07-20 05:30:00;32;68;77;0;0;0;0;0
2020-07-20 05:45:00;40;76;56;0;0;0;0;0
2020-07-20 06:00:00;39;81;48;0;0;0;0;0
2020-07-20 06:15:00;40;104;50;0;0;0;0;0
2020-07-20 06:30:00;53;130;67;0;0;0;0;0
2020-07-20 06:45:00;48;126;71;0;1;0;0;1
2020-07-20 07:00:00;56;122;64;0;0;1;13;0
2020-07-20 07:15:00;57;116;65;0;6;7;52;5
2020-07-20 07:30:00;74;137;82;0;11;17;18;3
2020-07-20 07:45:00;76;150;101;0;1;2;31;6
2020-07-20 08:00:00;61;160;79;0;12;3;9;8
2020-07-20 08:15:00;67;127;79;0;0;6;2;6
2020-07-20 08:30:00;81;136;66;0;3;1;4;6
2020-07-20 08:45:00;66;125;74;0;26;0;8;0
2020-07-20 09:00:00;62;126;63;0;6;0;1;4
2020-07-20 09:15:00;59;114;69;0;4;19;4;1
2020-07-20 09:30:00;65;133;64;0;17;1;3;15
2020-07-20 09:45:00;80;154;65;0;7;11;0;7
2020-07-20 10:00:00;67;137;73;0;6;3;39;7
2020-07-20 10:15:00;69;156;66;0;5;4;14;1
2020-07-20 10:30:00;79;153;72;0;5;12;15;2
2020-07-20 10:45:00;83;153;55;0;4;18;14;0
2020-07-20 11:00:00;77;136;79;0;6;7;7;2
2020-07-20 11:15:00;94;155;55;0;7;9;15;10
2020-07-20 11:30:00;79;142;70;0;15;3;1;18
2020-07-20 11:45:00;72;165;75;0;7;14;15;14
2020-07-20 12:00:00;72;149;78;0;9;2;11;18
2020-07-20 12:15:00;78;162;66;0;0;40;5;0
2020-07-20 12:30:00;63;160;59;0;5;7;3;18
2020-07-20 12:45:00;83;136;70;0;36;3;9;8
2020-07-20 13:00:00;68;155;77;0;7;8;20;7
2020-07-20 13:15:00;91;158;102;0;10;3;9;7
2020-07-20 13:30:00;102;168;96;0;38;92;37;1
2020-07-20 13:45:00;100;154;119;0;6;8;14;14
2020-07-20 14:00:00;129;179;85;0;29;7;27;16
2020-07-20 14:15:00;140;189;77;0;16;2;23;2
2020-07-20 14:30:00;144;192;95;0;5;6;27;8
2020-07-20 14:45:00;141;214;68;0;9;5;3;6
2020-07-20 15:00:00;109;177;74;0;18;0;23;11
2020-07-20 15:15:00;121;205;77;0;26;7;10;41
2020-07-20 15:30:00;99;198;79;0;14;10;4;0
2020-07-20 15:45:00;113;243;95;0;6;31;47;3
2020-07-20 16:00:00;112;233;75;0;6;4;13;5
2020-07-20 16:15:00;116;234;62;0;20;6;9;5
2020-07-20 16:30:00;99;216;75;0;15;4;22;9
2020-07-20 16:45:00;93;221;86;0;16;1;4;14
2020-07-20 17:00:00;93;202;96;0;28;1;18;15
2020-07-20 17:15:00;76;205;75;0;12;5;3;10
2020-07-20 17:30:00;71;158;75;0;10;5;14;2
2020-07-20 17:45:00;81;157;77;0;24;13;1;19
2020-07-20 18:00:00;88;188;80;0;14;1;8;23
2020-07-20 18:15:00;70;185;67;0;39;18;8;31
2020-07-20 18:30:00;70;145;78;0;22;2;6;2
2020-07-20 18:45:00;63;143;65;0;2;0;6;2
2020-07-20 19:00:00;50;123;51;0;46;0;0;33
2020-07-20 19:15:00;36;123;48;0;8;1;10;2
2020-07-20 19:30:00;50;122;45;0;0;1;5;2
2020-07-20 19:45:00;47;102;57;0;13;0;0;1
2020-07-20 20:00:00;54;105;51;0;8;5;1;2
2020-07-20 20:15:00;51;109;42;0;0;2;1;0
2020-07-20 20:30:00;41;83;45;0;0;0;0;0
2020-07-20 20:45:00;29;64;47;0;6;0;0;0
2020-07-20 21:00:00;37;77;58;0;0;0;0;0
2020-07-20 21:15:00;40;72;71;0;0;0;0;0
2020-07-20 21:30:00;41;76;55;0;0;0;0;0
2020-07-20 21:45:00;87;85;33;0;0;0;0;0
2020-07-20 22:00:00;119;94;38;0;0;0;0;1
2020-07-20 22:15:00;49;108;32;0;0;0;0;0
2020-07-20 22:30:00;38;59;27;0;0;0;0;0
2020-07-20 22:45:00;25;43;20;0;0;0;0;0
2020-07-20 23:00:00;15;36;20;0;0;0;0;0
2020-07-20 23:15:00;14;34;12;0;0;0;0;0
2020-07-20 23:30:00;13;25;11;0;0;0;0;0
2020-07-20 23:45:00;6;17;14;0;0;0;0;0
