DATUM;1(DA1);2(DB1);3(DC1);4(DD1);5(TARDB);6(TARDD);7(TAFGA);8(TAFBA);9(TAFBB);10(TAFGC);11(TAFBC);12(TAFBD)
2019-08-18 00:00:00;19;0;18;0;0;0;0;0;0;0;0;0
2019-08-18 00:15:00;17;0;17;0;0;0;0;0;0;0;0;0
2019-08-18 00:30:00;13;0;12;0;0;0;0;0;0;0;0;0
2019-08-18 00:45:00;13;0;16;0;0;0;0;0;0;0;0;0
2019-08-18 01:00:00;15;0;11;0;0;0;0;0;0;0;0;0
2019-08-18 01:15:00;20;0;11;0;0;0;0;0;0;0;0;0
2019-08-18 01:30:00;10;0;8;0;0;0;0;0;0;0;0;0
2019-08-18 01:45:00;12;0;13;0;0;0;0;0;0;0;0;0
2019-08-18 02:00:00;11;0;10;0;0;0;0;0;0;0;0;0
2019-08-18 02:15:00;14;0;12;0;0;0;0;0;0;0;0;0
2019-08-18 02:30:00;5;0;6;0;0;0;0;0;0;0;0;0
2019-08-18 02:45:00;8;0;10;0;0;0;0;0;0;0;0;0
2019-08-18 03:00:00;6;0;7;0;0;0;0;0;0;0;0;0
2019-08-18 03:15:00;9;0;8;0;0;0;0;0;0;0;0;0
2019-08-18 03:30:00;6;0;5;0;0;0;0;0;0;0;0;0
2019-08-18 03:45:00;6;0;6;0;0;0;0;0;0;0;0;0
2019-08-18 04:00:00;3;0;7;0;0;0;0;0;0;0;0;0
2019-08-18 04:15:00;6;0;9;0;0;0;0;0;0;0;0;0
2019-08-18 04:30:00;4;0;7;0;0;0;0;0;0;0;0;0
2019-08-18 04:45:00;9;0;13;0;0;0;0;0;0;0;0;0
2019-08-18 05:00:00;4;0;7;0;0;0;0;0;0;0;0;0
2019-08-18 05:15:00;10;0;9;0;0;0;0;0;0;0;0;0
2019-08-18 05:30:00;5;0;13;0;0;0;0;0;0;0;0;0
2019-08-18 05:45:00;5;0;17;0;0;0;0;0;0;0;0;0
2019-08-18 06:00:00;5;0;6;0;0;0;0;0;0;0;0;0
2019-08-18 06:15:00;13;0;13;0;0;0;0;0;0;0;0;0
2019-08-18 06:30:00;16;0;7;0;0;0;0;0;0;0;0;0
2019-08-18 06:45:00;7;0;13;0;0;0;0;0;0;0;0;0
2019-08-18 07:00:00;11;0;12;0;0;0;0;0;0;0;0;0
2019-08-18 07:15:00;9;0;14;0;0;0;0;0;0;0;0;0
2019-08-18 07:30:00;14;0;24;0;0;0;0;0;0;0;0;0
2019-08-18 07:45:00;27;0;29;0;0;0;0;0;0;0;0;0
2019-08-18 08:00:00;14;0;28;0;0;0;0;0;0;1;0;0
2019-08-18 08:15:00;21;0;40;0;0;0;0;0;0;1;0;0
2019-08-18 08:30:00;23;0;35;0;1;1;0;0;0;2;0;0
2019-08-18 08:45:00;30;0;52;0;0;0;0;0;0;2;0;0
2019-08-18 09:00:00;35;0;56;0;2;1;0;0;0;2;3;0
2019-08-18 09:15:00;30;0;56;0;1;0;0;0;0;1;0;0
2019-08-18 09:30:00;34;0;52;0;0;1;0;0;0;1;0;0
2019-08-18 09:45:00;40;0;69;0;5;1;0;0;0;2;3;0
2019-08-18 10:00:00;52;0;75;0;3;0;0;0;0;2;1;0
2019-08-18 10:15:00;52;0;74;0;5;1;0;0;0;2;0;0
2019-08-18 10:30:00;51;0;81;0;4;3;0;0;0;4;0;0
2019-08-18 10:45:00;62;0;63;0;1;1;0;0;0;2;0;0
2019-08-18 11:00:00;62;0;81;0;5;1;0;0;0;4;0;0
2019-08-18 11:15:00;59;0;64;0;5;1;0;0;0;6;2;0
2019-08-18 11:30:00;64;0;92;0;3;1;0;0;0;5;1;0
2019-08-18 11:45:00;77;0;91;0;5;2;0;0;0;5;0;0
2019-08-18 12:00:00;88;0;78;0;3;2;0;0;0;3;0;0
2019-08-18 12:15:00;62;0;73;0;4;5;0;0;0;4;2;0
2019-08-18 12:30:00;60;0;61;0;3;2;0;0;0;2;2;0
2019-08-18 12:45:00;74;0;71;0;3;2;0;0;0;5;0;0
2019-08-18 13:00:00;68;0;79;0;1;1;0;0;0;2;0;0
2019-08-18 13:15:00;87;0;59;0;1;4;0;0;0;4;1;0
2019-08-18 13:30:00;74;0;93;0;3;1;0;0;0;5;0;0
2019-08-18 13:45:00;82;0;57;0;4;1;0;0;0;3;0;0
2019-08-18 14:00:00;97;0;73;0;4;3;0;0;0;3;0;0
2019-08-18 14:15:00;87;0;75;0;5;0;0;0;0;1;0;0
2019-08-18 14:30:00;98;0;84;0;2;2;0;0;0;7;2;0
2019-08-18 14:45:00;87;0;92;0;9;2;0;0;0;7;1;0
2019-08-18 15:00:00;74;0;71;0;5;1;0;0;0;5;2;0
2019-08-18 15:15:00;74;0;55;0;5;4;0;0;0;3;2;0
2019-08-18 15:30:00;69;0;76;0;6;3;0;0;0;5;1;0
2019-08-18 15:45:00;83;0;90;0;6;5;0;0;0;5;0;0
2019-08-18 16:00:00;63;0;68;0;3;6;0;0;0;2;3;0
