DATUM;1(DA1);2(DB1);3(DC1);4(DD1);5(TARDB);6(TARDD);7(TAFGA);8(TAFBA);9(TAFBB);10(TAFGC);11(TAFBC);12(TAFBD)
2020-07-26 00:00:00;25;0;26;0;0;0;0;0;0;3;0;0
2020-07-26 00:15:00;32;0;21;0;0;0;0;0;0;0;0;0
2020-07-26 00:30:00;36;0;27;0;0;0;0;0;0;0;0;0
2020-07-26 00:45:00;24;0;17;0;0;0;0;0;0;0;0;0
2020-07-26 01:00:00;20;0;20;0;0;0;0;0;0;0;0;0
2020-07-26 01:15:00;25;0;20;0;0;0;0;0;0;0;0;0
2020-07-26 01:30:00;17;0;20;0;0;0;0;0;0;0;0;0
2020-07-26 01:45:00;15;0;15;0;0;0;0;0;0;0;0;0
2020-07-26 02:00:00;14;0;19;0;0;0;0;0;0;0;0;0
2020-07-26 02:15:00;7;0;10;0;0;0;0;0;0;0;0;0
2020-07-26 02:30:00;7;0;9;0;0;0;0;0;0;0;0;0
2020-07-26 02:45:00;7;0;10;0;0;0;0;0;0;0;0;0
2020-07-26 03:00:00;7;0;8;0;0;0;0;0;0;0;0;0
2020-07-26 03:15:00;5;0;6;0;0;0;0;0;0;0;0;0
2020-07-26 03:30:00;5;0;5;0;0;0;0;0;0;0;0;0
2020-07-26 03:45:00;4;0;5;0;0;0;0;0;0;0;0;0
2020-07-26 04:00:00;8;0;5;0;0;0;0;0;0;0;0;0
2020-07-26 04:15:00;8;0;8;0;0;0;0;0;0;0;0;0
2020-07-26 04:30:00;6;0;7;0;0;0;0;0;0;0;0;0
2020-07-26 04:45:00;4;0;10;0;0;0;0;0;0;0;0;0
2020-07-26 05:00:00;5;0;13;0;0;0;0;0;0;0;0;0
2020-07-26 05:15:00;4;0;14;0;0;0;0;0;0;0;0;0
2020-07-26 05:30:00;6;0;18;0;0;0;0;0;0;0;0;0
2020-07-26 05:45:00;4;0;8;0;0;0;0;0;0;0;0;0
2020-07-26 06:00:00;6;0;12;0;0;0;0;0;0;0;0;0
2020-07-26 06:15:00;5;0;11;0;0;0;0;0;0;0;0;0
2020-07-26 06:30:00;11;0;15;0;0;0;0;0;0;0;0;0
