DATUM;1(TAFGA);2(TAFBA)
2020-10-01 00:00:00;0;0
2020-10-01 00:15:00;0;0
2020-10-01 00:30:00;0;0
2020-10-01 00:45:00;0;0
2020-10-01 01:00:00;0;0
2020-10-01 01:15:00;0;0
2020-10-01 01:30:00;0;0
2020-10-01 01:45:00;0;0
2020-10-01 02:00:00;0;0
2020-10-01 02:15:00;0;0
2020-10-01 02:30:00;0;0
2020-10-01 02:45:00;0;0
2020-10-01 03:00:00;0;0
2020-10-01 03:15:00;0;0
2020-10-01 03:30:00;0;0
2020-10-01 03:45:00;0;0
2020-10-01 04:00:00;0;0
2020-10-01 04:15:00;0;0
2020-10-01 04:30:00;0;0
2020-10-01 04:45:00;0;0
2020-10-01 05:00:00;0;0
2020-10-01 05:15:00;0;0
2020-10-01 05:30:00;3;0
2020-10-01 05:45:00;3;1
2020-10-01 06:00:00;2;0
2020-10-01 06:15:00;7;0
2020-10-01 06:30:00;3;0
2020-10-01 06:45:00;9;3
2020-10-01 07:00:00;12;2
2020-10-01 07:15:00;16;4
2020-10-01 07:30:00;5;1
2020-10-01 07:45:00;18;5
2020-10-01 08:00:00;10;5
2020-10-01 08:15:00;13;2
2020-10-01 08:30:00;7;10
2020-10-01 08:45:00;15;0
2020-10-01 09:00:00;8;1
2020-10-01 09:15:00;16;4
2020-10-01 09:30:00;11;2
2020-10-01 09:45:00;14;1
2020-10-01 10:00:00;23;0
2020-10-01 10:15:00;15;1
2020-10-01 10:30:00;13;3
2020-10-01 10:45:00;15;3
2020-10-01 11:00:00;18;5
2020-10-01 11:15:00;14;3
2020-10-01 11:30:00;18;4
2020-10-01 11:45:00;18;1
2020-10-01 12:00:00;22;1
2020-10-01 12:15:00;17;2
2020-10-01 12:30:00;13;6
2020-10-01 12:45:00;18;13
2020-10-01 13:00:00;19;1
2020-10-01 13:15:00;19;1
2020-10-01 13:30:00;19;8
2020-10-01 13:45:00;14;6
2020-10-01 14:00:00;12;4
2020-10-01 14:15:00;20;8
2020-10-01 14:30:00;17;6
2020-10-01 14:45:00;15;2
2020-10-01 15:00:00;19;5
2020-10-01 15:15:00;16;7
2020-10-01 15:30:00;20;2
2020-10-01 15:45:00;16;13
2020-10-01 16:00:00;18;2
2020-10-01 16:15:00;24;11
2020-10-01 16:30:00;26;6
2020-10-01 16:45:00;24;7
2020-10-01 17:00:00;20;3
2020-10-01 17:15:00;20;4
2020-10-01 17:30:00;18;7
2020-10-01 17:45:00;21;5
2020-10-01 18:00:00;18;3
2020-10-01 18:15:00;21;3
2020-10-01 18:30:00;14;2
2020-10-01 18:45:00;18;22
2020-10-01 19:00:00;22;8
2020-10-01 19:15:00;11;13
2020-10-01 19:30:00;13;4
2020-10-01 19:45:00;10;7
2020-10-01 20:00:00;15;3
2020-10-01 20:15:00;12;0
2020-10-01 20:30:00;10;8
2020-10-01 20:45:00;7;2
2020-10-01 21:00:00;2;0
2020-10-01 21:15:00;5;3
2020-10-01 21:30:00;5;1
2020-10-01 21:45:00;6;0
2020-10-01 22:00:00;5;0
2020-10-01 22:15:00;2;0
2020-10-01 22:30:00;4;1
2020-10-01 22:45:00;1;0
2020-10-01 23:00:00;0;0
2020-10-01 23:15:00;0;0
2020-10-01 23:30:00;0;0
2020-10-01 23:45:00;0;0
