DATUM;1(DB1);2(DRDA);3(DRDB);4(TAFGA);5(TAFGB);6(TARDA1);7(TARDB1);8(TAFBA);9(TAFBB)
2019-10-02 00:00:00;2;0;0;0;0;0;0;0;0
2019-10-02 00:15:00;1;1;0;0;0;0;0;0;0
2019-10-02 00:30:00;2;0;0;0;0;0;0;0;0
2019-10-02 00:45:00;0;0;0;0;0;0;0;0;0
2019-10-02 01:00:00;4;0;0;0;0;0;0;0;0
2019-10-02 01:15:00;2;1;2;0;0;0;0;0;0
2019-10-02 01:30:00;0;0;0;0;0;0;0;0;0
2019-10-02 01:45:00;0;0;0;0;0;0;0;0;0
2019-10-02 02:00:00;0;0;1;0;0;0;0;0;0
2019-10-02 02:15:00;0;0;0;0;0;0;0;0;0
2019-10-02 02:30:00;0;0;0;0;0;0;0;0;0
2019-10-02 02:45:00;0;0;0;0;0;0;0;0;0
2019-10-02 03:00:00;1;0;1;0;0;0;0;0;0
2019-10-02 03:15:00;0;0;0;0;0;0;0;0;0
2019-10-02 03:30:00;2;0;0;0;0;0;0;0;0
2019-10-02 03:45:00;0;0;1;0;0;0;0;0;0
2019-10-02 04:00:00;1;0;0;0;0;0;0;0;0
2019-10-02 04:15:00;1;0;0;0;0;0;0;0;0
2019-10-02 04:30:00;2;0;1;0;0;0;0;0;0
2019-10-02 04:45:00;1;0;0;0;0;0;0;0;0
2019-10-02 05:00:00;1;0;2;0;0;0;0;0;0
2019-10-02 05:15:00;2;2;4;0;0;0;0;0;0
2019-10-02 05:30:00;8;2;4;0;0;1;0;0;0
2019-10-02 05:45:00;15;1;3;1;0;0;0;0;0
2019-10-02 06:00:00;13;1;2;1;0;1;0;0;0
2019-10-02 06:15:00;7;1;4;1;0;0;0;0;0
2019-10-02 06:30:00;4;2;7;4;1;0;0;1;1
2019-10-02 06:45:00;17;6;6;4;0;0;1;0;0
2019-10-02 07:00:00;25;1;10;5;0;1;1;0;0
2019-10-02 07:15:00;32;2;10;6;4;1;8;3;1
2019-10-02 07:30:00;47;12;14;5;0;0;3;1;0
2019-10-02 07:45:00;41;6;14;12;0;3;3;2;0
2019-10-02 08:00:00;36;8;10;4;0;1;1;7;0
2019-10-02 08:15:00;42;3;6;4;3;4;2;0;0
2019-10-02 08:30:00;46;6;6;13;3;3;0;1;1
2019-10-02 08:45:00;65;6;15;8;6;0;1;4;4
2019-10-02 09:00:00;48;4;6;10;9;0;2;0;19
2019-10-02 09:15:00;61;5;13;4;7;2;6;1;0
2019-10-02 09:30:00;64;10;15;5;8;2;1;0;0
2019-10-02 09:45:00;77;13;15;8;6;0;7;1;2
2019-10-02 10:00:00;84;7;9;2;8;2;3;0;1
2019-10-02 10:15:00;80;7;12;9;2;0;2;2;0
2019-10-02 10:30:00;93;8;17;3;8;3;1;0;0
2019-10-02 10:45:00;85;5;12;5;5;0;3;0;2
2019-10-02 11:00:00;138;19;6;5;6;1;1;1;8
2019-10-02 11:15:00;89;13;12;5;7;1;1;1;2
2019-10-02 11:30:00;68;16;12;10;5;1;3;0;4
2019-10-02 11:45:00;107;14;10;6;7;2;0;0;4
2019-10-02 12:00:00;96;16;10;6;9;4;2;2;0
2019-10-02 12:15:00;100;10;13;4;11;1;3;0;3
2019-10-02 12:30:00;100;6;7;2;8;1;7;0;0
2019-10-02 12:45:00;87;12;10;8;4;0;2;29;3
2019-10-02 13:00:00;94;10;19;4;4;2;2;1;0
2019-10-02 13:15:00;73;6;19;9;8;1;4;26;4
2019-10-02 13:30:00;92;10;17;4;6;2;4;10;0
2019-10-02 13:45:00;76;6;10;9;3;0;2;2;3
2019-10-02 14:00:00;77;5;14;5;12;0;3;4;5
2019-10-02 14:15:00;88;11;22;3;7;6;1;1;6
2019-10-02 14:30:00;108;13;13;5;8;1;3;0;0
2019-10-02 14:45:00;69;11;13;4;2;4;5;2;0
2019-10-02 15:00:00;83;10;13;5;3;2;5;6;3
2019-10-02 15:15:00;71;7;13;5;5;3;4;2;3
2019-10-02 15:30:00;75;22;7;4;6;7;0;1;2
2019-10-02 15:45:00;75;6;14;2;5;0;3;0;3
2019-10-02 16:00:00;71;12;13;5;3;6;1;0;11
2019-10-02 16:15:00;74;19;14;1;5;3;5;0;37
2019-10-02 16:30:00;97;23;20;2;4;2;5;4;2
2019-10-02 16:45:00;78;8;24;5;8;1;3;6;19
2019-10-02 17:00:00;60;11;23;7;7;2;5;0;0
2019-10-02 17:15:00;67;25;9;4;3;4;2;2;0
2019-10-02 17:30:00;79;15;24;2;4;2;3;1;0
2019-10-02 17:45:00;105;13;22;4;2;0;3;2;0
2019-10-02 18:00:00;90;8;10;5;1;1;4;0;3
2019-10-02 18:15:00;103;12;19;7;1;1;2;6;1
2019-10-02 18:30:00;124;16;12;5;2;3;9;5;3
2019-10-02 18:45:00;96;9;21;9;2;3;2;33;0
2019-10-02 19:00:00;94;6;12;2;3;1;3;0;1
2019-10-02 19:15:00;86;11;10;5;3;2;3;0;0
2019-10-02 19:30:00;97;7;16;4;2;3;7;6;3
2019-10-02 19:45:00;101;10;10;8;2;4;3;44;0
2019-10-02 20:00:00;110;11;13;5;1;1;6;3;1
2019-10-02 20:15:00;48;3;7;5;2;3;4;7;1
2019-10-02 20:30:00;20;0;3;1;0;0;5;3;0
2019-10-02 20:45:00;15;0;0;2;0;0;1;3;0
2019-10-02 21:00:00;16;1;3;0;0;1;0;0;0
2019-10-02 21:15:00;21;1;4;3;0;0;1;3;0
2019-10-02 21:30:00;21;2;2;0;2;0;3;0;1
2019-10-02 21:45:00;23;0;4;5;0;0;1;0;0
2019-10-02 22:00:00;31;6;7;2;0;2;1;1;0
2019-10-02 22:15:00;22;3;4;3;0;1;0;0;0
2019-10-02 22:30:00;17;2;1;0;0;2;0;0;1
2019-10-02 22:45:00;27;3;4;2;0;0;0;5;0
2019-10-02 23:00:00;20;1;4;3;1;0;6;0;0
2019-10-02 23:15:00;9;2;3;0;0;0;0;0;0
2019-10-02 23:30:00;9;0;0;0;0;0;0;0;0
2019-10-02 23:45:00;17;1;2;0;0;0;0;0;0
