DATUM;1(DB1);2(DRDA);3(DRDB);4(TAFGA);5(TAFGB);6(TARDA1);7(TARDB1);8(TAFBA);9(TAFBB)
2019-09-30 00:00:00;0;0;0;0;0;0;0;0;0
2019-09-30 00:15:00;2;0;0;0;0;0;0;0;0
2019-09-30 00:30:00;0;0;0;0;0;0;0;0;0
2019-09-30 00:45:00;0;0;1;0;0;0;0;0;0
2019-09-30 01:00:00;1;1;2;0;0;0;0;0;0
2019-09-30 01:15:00;0;0;1;0;0;0;0;0;0
2019-09-30 01:30:00;0;0;0;0;0;0;0;0;0
2019-09-30 01:45:00;0;0;0;0;0;0;0;0;0
2019-09-30 02:00:00;1;0;0;0;0;0;0;0;0
2019-09-30 02:15:00;0;0;1;0;0;0;0;0;0
2019-09-30 02:30:00;0;0;0;0;0;0;0;0;0
2019-09-30 02:45:00;0;0;1;0;0;0;0;0;0
2019-09-30 03:00:00;0;0;0;0;0;0;0;0;0
2019-09-30 03:15:00;1;0;0;0;0;0;0;0;0
2019-09-30 03:30:00;3;0;1;0;0;0;0;0;0
2019-09-30 03:45:00;1;0;0;0;0;0;0;0;0
2019-09-30 04:00:00;0;0;1;0;0;0;0;0;0
2019-09-30 04:15:00;0;0;0;0;0;0;0;0;0
2019-09-30 04:30:00;0;0;1;0;0;0;0;0;0
2019-09-30 04:45:00;2;0;0;0;0;0;0;0;0
2019-09-30 05:00:00;2;0;3;0;0;0;0;0;0
2019-09-30 05:15:00;2;1;3;0;0;0;0;0;0
2019-09-30 05:30:00;4;3;5;1;0;0;0;0;0
2019-09-30 05:45:00;1;0;3;1;0;0;0;1;0
2019-09-30 06:00:00;4;0;6;1;0;0;0;0;0
2019-09-30 06:15:00;3;0;0;2;0;0;1;1;0
2019-09-30 06:30:00;6;5;8;3;0;1;0;0;0
2019-09-30 06:45:00;9;10;8;2;0;3;0;1;0
2019-09-30 07:00:00;6;1;7;3;0;1;3;0;0
2019-09-30 07:15:00;12;1;8;4;0;0;3;2;0
2019-09-30 07:30:00;14;9;14;7;2;2;2;12;56
2019-09-30 07:45:00;22;9;18;7;1;2;2;2;2
2019-09-30 08:00:00;22;5;9;6;4;0;1;0;0
2019-09-30 08:15:00;27;7;14;5;3;0;0;0;0
2019-09-30 08:30:00;31;7;8;7;4;3;2;1;0
2019-09-30 08:45:00;42;6;4;7;5;2;1;0;0
2019-09-30 09:00:00;42;3;5;8;6;0;2;11;1
2019-09-30 09:15:00;53;5;11;13;1;0;0;2;0
2019-09-30 09:30:00;37;7;15;8;13;0;4;4;5
2019-09-30 09:45:00;66;12;8;4;9;0;0;0;1
2019-09-30 10:00:00;70;7;11;5;6;1;3;3;0
2019-09-30 10:15:00;65;13;13;3;10;1;1;0;3
2019-09-30 10:30:00;53;8;13;11;5;1;1;7;0
2019-09-30 10:45:00;64;18;10;6;12;1;1;0;0
2019-09-30 11:00:00;76;6;8;8;6;4;1;0;1
2019-09-30 11:15:00;71;21;13;7;4;4;5;0;0
2019-09-30 11:30:00;86;9;10;3;12;4;4;0;1
2019-09-30 11:45:00;87;6;10;4;7;1;4;11;0
2019-09-30 12:00:00;106;10;16;5;8;2;4;0;6
2019-09-30 12:15:00;92;11;12;7;6;3;6;2;1
2019-09-30 12:30:00;92;21;9;5;7;0;2;0;1
2019-09-30 12:45:00;85;21;21;17;8;2;1;9;0
2019-09-30 13:00:00;93;6;7;6;9;2;0;5;4
2019-09-30 13:15:00;82;8;7;10;5;1;2;1;19
2019-09-30 13:30:00;90;16;17;9;3;4;2;0;10
2019-09-30 13:45:00;79;16;16;6;5;2;1;5;1
2019-09-30 14:00:00;89;9;9;5;4;1;6;6;2
2019-09-30 14:15:00;86;11;10;2;7;2;2;0;0
2019-09-30 14:30:00;102;13;11;2;4;3;1;0;6
2019-09-30 14:45:00;67;8;20;7;5;0;7;7;1
2019-09-30 15:00:00;95;9;13;3;5;1;3;1;2
2019-09-30 15:15:00;99;19;12;11;8;0;15;0;1
2019-09-30 15:30:00;91;9;22;8;11;2;3;4;0
2019-09-30 15:45:00;67;12;12;4;7;0;3;2;28
2019-09-30 16:00:00;81;15;19;4;4;4;7;0;1
2019-09-30 16:15:00;75;15;28;8;4;0;2;0;0
2019-09-30 16:30:00;71;11;20;9;6;6;8;3;8
2019-09-30 16:45:00;64;15;26;11;3;0;6;17;2
2019-09-30 17:00:00;64;16;23;8;13;1;6;12;0
2019-09-30 17:15:00;67;16;16;7;8;1;1;0;9
2019-09-30 17:30:00;69;15;21;0;8;4;4;0;4
2019-09-30 17:45:00;82;15;26;3;2;3;3;1;0
2019-09-30 18:00:00;91;22;17;3;9;5;2;0;10
2019-09-30 18:15:00;87;15;22;1;3;1;5;1;3
2019-09-30 18:30:00;108;14;17;5;2;2;3;8;7
2019-09-30 18:45:00;98;8;13;6;2;1;1;2;0
2019-09-30 19:00:00;84;20;10;2;2;4;2;0;0
2019-09-30 19:15:00;109;8;9;6;4;2;6;0;8
2019-09-30 19:30:00;84;26;10;10;5;3;4;23;0
2019-09-30 19:45:00;77;5;9;4;4;2;3;1;0
2019-09-30 20:00:00;67;2;9;6;3;1;2;1;3
2019-09-30 20:15:00;28;4;8;3;5;1;2;1;0
2019-09-30 20:30:00;29;1;6;3;4;0;3;3;4
2019-09-30 20:45:00;26;4;5;1;2;2;3;0;0
2019-09-30 21:00:00;13;1;4;1;2;0;2;11;0
2019-09-30 21:15:00;9;0;6;2;1;0;2;3;0
2019-09-30 21:30:00;13;1;9;2;2;1;3;0;6
2019-09-30 21:45:00;19;0;4;1;0;0;0;0;0
2019-09-30 22:00:00;15;4;11;3;1;1;2;0;1
2019-09-30 22:15:00;11;3;1;1;0;0;0;0;0
2019-09-30 22:30:00;12;6;1;0;0;1;1;0;0
2019-09-30 22:45:00;5;1;2;1;0;0;2;1;0
2019-09-30 23:00:00;8;0;1;0;0;0;0;0;0
2019-09-30 23:15:00;5;0;3;0;0;0;0;0;0
2019-09-30 23:30:00;4;0;2;0;0;0;0;0;0
2019-09-30 23:45:00;3;0;1;0;0;0;0;0;0
