DATUM;1(DB1);2(DRDA);3(DRDB);4(TAFGA);5(TAFGB);6(TARDA1);7(TARDB1);8(TAFBA);9(TAFBB)
2020-04-20 00:00:00;0;1;1;0;0;0;0;0;0
2020-04-20 00:15:00;0;0;0;0;0;0;0;0;0
2020-04-20 00:30:00;0;0;0;0;0;0;0;0;0
2020-04-20 00:45:00;1;0;0;0;0;0;0;0;0
2020-04-20 01:00:00;0;0;0;0;0;0;0;0;0
2020-04-20 01:15:00;0;0;0;0;0;0;0;0;0
2020-04-20 01:30:00;0;0;0;0;0;0;0;0;0
2020-04-20 01:45:00;0;0;1;0;0;0;0;0;0
2020-04-20 02:00:00;0;0;0;0;0;0;0;0;0
2020-04-20 02:15:00;0;0;0;0;0;0;0;0;0
2020-04-20 02:30:00;0;0;0;0;0;0;0;0;0
2020-04-20 02:45:00;0;0;0;0;0;0;0;0;0
2020-04-20 03:00:00;0;0;0;0;0;0;0;0;0
2020-04-20 03:15:00;1;0;0;0;0;0;0;0;0
2020-04-20 03:30:00;0;0;0;0;0;0;0;0;0
2020-04-20 03:45:00;0;0;0;0;0;0;0;0;0
2020-04-20 04:00:00;0;0;0;0;0;0;0;0;0
2020-04-20 04:15:00;0;0;1;0;0;0;0;0;0
2020-04-20 04:30:00;0;1;0;0;0;0;0;0;0
2020-04-20 04:45:00;0;0;0;0;0;0;0;0;0
2020-04-20 05:00:00;1;0;1;0;0;0;0;0;0
2020-04-20 05:15:00;1;0;2;0;0;0;0;0;0
2020-04-20 05:30:00;2;0;1;0;0;0;0;0;0
2020-04-20 05:45:00;3;0;1;1;0;0;0;2;0
2020-04-20 06:00:00;1;0;1;0;0;0;0;0;0
2020-04-20 06:15:00;1;0;2;0;0;0;0;0;0
2020-04-20 06:30:00;0;1;5;0;0;0;0;0;0
2020-04-20 06:45:00;1;4;7;2;0;1;0;0;0
2020-04-20 07:00:00;5;1;4;0;1;0;0;3;0
2020-04-20 07:15:00;7;2;3;2;0;0;0;0;0
2020-04-20 07:30:00;4;2;7;2;0;1;0;0;0
2020-04-20 07:45:00;14;1;9;3;1;0;2;0;0
2020-04-20 08:00:00;11;3;1;1;0;1;0;3;0
2020-04-20 08:15:00;18;3;7;0;3;0;0;7;0
2020-04-20 08:30:00;27;2;6;5;2;1;1;0;0
2020-04-20 08:45:00;25;7;8;6;3;0;2;0;0
2020-04-20 09:00:00;24;2;7;1;4;1;1;2;0
2020-04-20 09:15:00;34;10;11;3;1;2;0;0;0
2020-04-20 09:30:00;46;18;8;6;3;1;1;0;3
2020-04-20 09:45:00;33;7;14;5;3;1;4;0;0
2020-04-20 10:00:00;43;11;12;2;6;2;1;0;0
2020-04-20 10:15:00;55;4;12;6;2;3;1;10;0
2020-04-20 10:30:00;49;8;13;5;6;0;3;0;2
2020-04-20 10:45:00;41;6;9;3;4;1;0;0;0
2020-04-20 11:00:00;59;16;23;7;2;3;1;1;0
2020-04-20 11:15:00;46;12;8;4;1;0;0;0;0
2020-04-20 11:30:00;39;7;16;6;5;1;2;0;1
2020-04-20 11:45:00;34;5;8;3;4;1;4;0;5
2020-04-20 12:00:00;51;12;18;3;8;3;2;0;2
2020-04-20 12:15:00;38;11;13;1;4;0;0;0;0
2020-04-20 12:30:00;38;2;5;3;1;1;4;2;0
2020-04-20 12:45:00;43;7;9;4;1;1;4;0;1
2020-04-20 13:00:00;47;6;10;3;1;1;1;0;0
2020-04-20 13:15:00;41;3;8;2;6;0;1;0;0
2020-04-20 13:30:00;36;7;13;3;3;1;5;2;0
2020-04-20 13:45:00;39;7;22;3;0;2;1;0;0
2020-04-20 14:00:00;40;8;12;3;1;0;1;0;0
2020-04-20 14:15:00;51;7;14;2;1;0;4;0;0
2020-04-20 14:30:00;41;10;16;4;4;0;4;1;2
2020-04-20 14:45:00;30;5;15;3;2;1;1;9;0
2020-04-20 15:00:00;38;8;17;5;4;1;2;0;0
2020-04-20 15:15:00;56;7;15;1;1;0;1;0;7
2020-04-20 15:30:00;54;14;15;4;1;2;2;0;1
2020-04-20 15:45:00;32;5;15;7;1;0;1;0;0
2020-04-20 16:00:00;48;12;14;1;3;1;4;2;0
