DATUM;1(DB1);2(DRDA);3(DRDB);4(TAFGA);5(TAFGB);6(TARDA1);7(TARDB1);8(TAFBA);9(TAFBB)
2020-01-31 00:00:00;1;0;1;0;0;0;0;0;0
2020-01-31 00:15:00;1;0;0;0;0;0;0;0;0
2020-01-31 00:30:00;0;0;0;0;0;0;0;0;0
2020-01-31 00:45:00;1;0;0;0;0;0;0;0;0
2020-01-31 01:00:00;0;0;0;0;0;0;0;0;0
2020-01-31 01:15:00;1;0;1;0;0;0;0;0;0
2020-01-31 01:30:00;0;1;1;0;0;0;0;0;0
2020-01-31 01:45:00;0;0;0;0;0;0;0;0;0
2020-01-31 02:00:00;2;1;2;0;0;0;0;0;0
2020-01-31 02:15:00;0;0;0;0;0;0;0;0;0
2020-01-31 02:30:00;0;0;2;0;0;0;0;0;0
2020-01-31 02:45:00;0;0;2;0;0;0;0;0;0
2020-01-31 03:00:00;0;0;1;0;0;0;0;0;0
2020-01-31 03:15:00;0;0;0;0;0;0;0;0;0
2020-01-31 03:30:00;0;0;2;0;0;0;0;0;0
2020-01-31 03:45:00;1;0;1;0;0;0;0;0;0
2020-01-31 04:00:00;0;0;0;0;0;0;0;0;0
2020-01-31 04:15:00;0;0;0;0;0;0;0;0;0
2020-01-31 04:30:00;0;1;1;0;0;0;0;0;0
2020-01-31 04:45:00;0;1;4;0;0;0;0;0;0
2020-01-31 05:00:00;0;0;1;0;0;0;0;0;0
2020-01-31 05:15:00;3;0;4;0;0;0;0;0;0
2020-01-31 05:30:00;2;0;4;0;0;0;1;0;0
2020-01-31 05:45:00;6;1;2;0;0;0;0;0;0
2020-01-31 06:00:00;5;0;2;1;0;0;0;0;0
2020-01-31 06:15:00;2;1;5;1;0;0;0;0;0
2020-01-31 06:30:00;2;2;10;1;0;0;0;3;0
2020-01-31 06:45:00;7;5;9;1;0;2;0;0;1
2020-01-31 07:00:00;2;7;9;1;1;2;1;2;1
2020-01-31 07:15:00;18;2;8;5;3;0;0;0;0
2020-01-31 07:30:00;16;3;9;9;2;0;2;0;0
2020-01-31 07:45:00;22;0;14;3;0;1;5;1;0
2020-01-31 08:00:00;25;2;6;5;4;0;3;2;1
2020-01-31 08:15:00;25;3;9;10;0;1;0;2;0
2020-01-31 08:30:00;30;2;6;9;5;0;0;5;0
2020-01-31 08:45:00;34;5;13;9;5;1;3;1;1
2020-01-31 09:00:00;39;8;15;9;2;1;2;2;0
2020-01-31 09:15:00;39;7;5;6;6;4;0;0;2
2020-01-31 09:30:00;48;6;13;11;3;1;1;4;0
2020-01-31 09:45:00;66;4;7;7;7;1;0;9;2
2020-01-31 10:00:00;63;23;8;3;8;4;2;0;1
2020-01-31 10:15:00;63;13;8;5;5;1;1;1;0
2020-01-31 10:30:00;57;22;12;14;5;0;1;0;0
2020-01-31 10:45:00;49;6;7;2;5;1;1;1;0
2020-01-31 11:00:00;79;5;8;6;10;0;1;3;0
2020-01-31 11:15:00;71;10;16;6;2;1;5;0;0
2020-01-31 11:30:00;58;13;15;6;3;1;6;5;8
2020-01-31 11:45:00;72;8;15;15;6;0;2;0;0
2020-01-31 12:00:00;84;11;18;13;8;0;0;2;5
2020-01-31 12:15:00;56;11;16;2;7;2;3;0;4
2020-01-31 12:30:00;70;6;17;6;2;1;2;1;0
2020-01-31 12:45:00;66;5;9;6;3;1;1;1;0
2020-01-31 13:00:00;68;10;18;6;51;3;4;1;1
2020-01-31 13:15:00;77;6;14;3;7;3;3;2;0
2020-01-31 13:30:00;60;4;12;3;7;2;3;0;3
2020-01-31 13:45:00;68;12;17;5;2;0;4;2;0
2020-01-31 14:00:00;70;9;11;6;3;0;5;1;0
2020-01-31 14:15:00;79;10;20;5;7;1;3;9;9
