DATUM;1(DB1);2(DRDA);3(DRDB);4(TAFGA);5(TAFGB);6(TARDA1);7(TARDB1);8(TAFBA);9(TAFBB)
2020-10-29 00:00:00;2;0;1;0;0;0;0;0;0
2020-10-29 00:15:00;3;1;1;0;0;0;0;0;0
2020-10-29 00:30:00;3;0;0;0;0;0;0;0;0
2020-10-29 00:45:00;1;0;0;0;0;0;0;0;0
2020-10-29 01:00:00;0;0;1;0;0;0;0;0;0
2020-10-29 01:15:00;0;0;0;0;0;0;0;0;0
2020-10-29 01:30:00;0;0;0;0;0;0;0;0;0
2020-10-29 01:45:00;0;0;0;0;0;0;0;0;0
2020-10-29 02:00:00;0;0;1;0;0;0;0;0;0
2020-10-29 02:15:00;0;0;0;0;0;0;0;0;0
2020-10-29 02:30:00;0;0;1;0;0;0;0;0;0
2020-10-29 02:45:00;0;0;0;0;0;0;0;0;0
2020-10-29 03:00:00;0;0;1;0;0;0;0;0;0
2020-10-29 03:15:00;0;0;0;0;0;0;0;0;0
2020-10-29 03:30:00;0;0;0;0;0;0;0;0;0
2020-10-29 03:45:00;0;0;0;0;0;0;0;0;0
2020-10-29 04:00:00;0;0;0;0;0;0;0;0;0
2020-10-29 04:15:00;0;0;0;0;0;0;0;0;0
2020-10-29 04:30:00;0;0;0;0;0;0;0;0;0
2020-10-29 04:45:00;0;0;0;0;0;0;0;0;0
2020-10-29 05:00:00;1;0;2;0;0;0;0;0;0
2020-10-29 05:15:00;1;0;1;0;0;0;0;0;0
2020-10-29 05:30:00;5;0;5;1;0;0;0;0;0
2020-10-29 05:45:00;9;3;2;1;0;1;0;0;0
2020-10-29 06:00:00;9;4;4;0;0;0;1;3;0
2020-10-29 06:15:00;2;0;5;0;0;0;0;0;0
2020-10-29 06:30:00;2;2;6;2;0;0;0;0;0
2020-10-29 06:45:00;5;6;5;1;1;0;0;0;1
2020-10-29 07:00:00;10;3;7;1;0;0;0;2;0
2020-10-29 07:15:00;9;3;5;3;0;0;1;0;2
2020-10-29 07:30:00;18;3;11;2;0;0;1;0;0
2020-10-29 07:45:00;16;7;7;6;0;2;0;3;0
2020-10-29 08:00:00;27;14;6;3;1;1;0;0;0
2020-10-29 08:15:00;26;3;4;8;1;1;0;0;0
2020-10-29 08:30:00;33;8;7;6;1;2;0;0;0
2020-10-29 08:45:00;43;7;8;5;3;0;1;0;1
2020-10-29 09:00:00;32;6;2;5;5;0;0;2;10
2020-10-29 09:15:00;58;4;4;5;4;2;0;0;5
2020-10-29 09:30:00;45;4;8;6;6;1;3;3;2
2020-10-29 09:45:00;55;3;5;6;6;1;0;0;1
2020-10-29 10:00:00;59;1;7;7;4;0;0;4;0
2020-10-29 10:15:00;51;6;10;4;3;0;1;2;0
2020-10-29 10:30:00;47;8;8;5;4;2;3;1;4
2020-10-29 10:45:00;66;10;9;4;13;2;0;2;0
2020-10-29 11:00:00;62;14;7;5;6;1;0;0;18
2020-10-29 11:15:00;53;11;9;4;3;0;1;3;0
2020-10-29 11:30:00;63;4;6;1;2;1;4;5;0
2020-10-29 11:45:00;71;7;12;4;6;0;0;4;1
2020-10-29 12:00:00;93;4;13;5;4;1;3;0;0
2020-10-29 12:15:00;68;3;5;8;2;0;0;9;0
2020-10-29 12:30:00;67;4;5;7;2;2;2;3;0
2020-10-29 12:45:00;57;6;8;2;3;0;2;20;1
2020-10-29 13:00:00;53;5;10;9;5;1;1;0;0
2020-10-29 13:15:00;56;12;13;4;2;0;1;1;0
2020-10-29 13:30:00;54;12;13;4;4;0;3;2;3
2020-10-29 13:45:00;64;6;10;7;2;0;1;21;0
2020-10-29 14:00:00;52;4;11;5;2;0;1;22;0
2020-10-29 14:15:00;45;10;20;4;1;2;1;0;0
2020-10-29 14:30:00;75;17;21;1;1;2;1;0;0
2020-10-29 14:45:00;58;11;14;3;5;0;1;0;11
2020-10-29 15:00:00;68;18;17;5;3;0;2;2;2
2020-10-29 15:15:00;68;5;7;4;3;1;3;2;2
2020-10-29 15:30:00;65;5;12;3;7;2;1;1;0
2020-10-29 15:45:00;69;12;16;5;4;3;3;0;0
2020-10-29 16:00:00;68;12;18;6;1;2;4;1;0
2020-10-29 16:15:00;72;5;17;3;8;2;5;0;0
2020-10-29 16:30:00;61;43;20;3;2;2;3;0;0
2020-10-29 16:45:00;67;6;17;1;3;0;3;0;2
2020-10-29 17:00:00;57;4;16;3;6;0;1;4;8
2020-10-29 17:15:00;99;9;18;2;6;1;3;1;7
2020-10-29 17:30:00;72;28;11;3;1;2;3;5;1
2020-10-29 17:45:00;68;11;19;8;4;1;5;1;2
2020-10-29 18:00:00;76;10;24;5;1;2;2;1;2
2020-10-29 18:15:00;79;9;13;3;1;1;0;8;2
2020-10-29 18:30:00;75;5;6;3;2;0;2;1;1
2020-10-29 18:45:00;58;5;10;5;2;0;0;1;0
2020-10-29 19:00:00;59;4;11;3;3;0;1;0;6
2020-10-29 19:15:00;59;12;13;5;4;1;2;1;0
2020-10-29 19:30:00;51;7;14;2;2;1;1;0;3
2020-10-29 19:45:00;37;3;5;3;2;2;4;2;2
2020-10-29 20:00:00;59;4;8;4;1;2;3;3;1
2020-10-29 20:15:00;23;1;3;1;0;0;0;0;0
2020-10-29 20:30:00;13;6;5;0;1;1;2;0;0
2020-10-29 20:45:00;14;0;10;4;0;0;1;0;0
2020-10-29 21:00:00;16;1;3;1;1;1;0;0;0
2020-10-29 21:15:00;5;2;2;0;3;0;3;0;0
2020-10-29 21:30:00;10;0;6;0;3;2;1;2;0
2020-10-29 21:45:00;10;3;4;1;0;0;0;0;0
2020-10-29 22:00:00;10;3;7;1;0;0;0;0;2
2020-10-29 22:15:00;14;0;2;0;0;0;0;0;0
2020-10-29 22:30:00;3;1;2;1;0;0;0;0;0
2020-10-29 22:45:00;6;1;1;0;0;0;0;0;0
2020-10-29 23:00:00;3;0;0;0;0;0;0;0;0
2020-10-29 23:15:00;4;0;0;0;0;0;0;0;0
2020-10-29 23:30:00;5;0;1;0;0;0;0;0;0
2020-10-29 23:45:00;ERROR:;ORA-12541:;TNS:no;listener;SP2-0640:;Not;connected
