DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(TAA);6(TAFBA)
2020-07-21 00:00:00;15;7;12;9;0;0
2020-07-21 00:15:00;12;11;24;13;0;0
2020-07-21 00:30:00;8;3;11;7;0;0
2020-07-21 00:45:00;13;5;10;5;0;0
2020-07-21 01:00:00;7;6;8;4;0;0
2020-07-21 01:15:00;13;7;11;7;0;0
2020-07-21 01:30:00;10;3;9;5;0;0
2020-07-21 01:45:00;4;4;2;2;0;0
2020-07-21 02:00:00;15;12;7;2;0;0
2020-07-21 02:15:00;9;1;7;3;0;0
2020-07-21 02:30:00;7;3;16;7;0;0
2020-07-21 02:45:00;6;6;5;3;0;0
2020-07-21 03:00:00;4;3;3;2;0;0
2020-07-21 03:15:00;7;9;5;5;0;0
2020-07-21 03:30:00;7;2;6;6;0;0
2020-07-21 03:45:00;9;3;10;10;0;0
2020-07-21 04:00:00;11;5;5;5;0;0
2020-07-21 04:15:00;17;15;17;12;0;0
2020-07-21 04:30:00;12;6;14;5;0;0
2020-07-21 04:45:00;18;9;46;20;0;0
2020-07-21 05:00:00;28;23;78;41;0;0
2020-07-21 05:15:00;45;39;124;120;0;0
2020-07-21 05:30:00;55;60;147;134;0;0
2020-07-21 05:45:00;106;110;108;113;0;0
2020-07-21 06:00:00;114;195;110;125;0;0
2020-07-21 06:15:00;82;135;113;130;0;1
2020-07-21 06:30:00;71;88;147;156;35;0
2020-07-21 06:45:00;80;96;156;153;3;0
2020-07-21 07:00:00;62;65;120;135;15;0
2020-07-21 07:15:00;66;85;151;165;19;0
2020-07-21 07:30:00;89;94;141;151;7;0
2020-07-21 07:45:00;98;110;145;157;5;0
2020-07-21 08:00:00;82;82;119;139;20;0
2020-07-21 08:15:00;73;77;112;137;3;0
2020-07-21 08:30:00;82;95;128;113;1;0
2020-07-21 08:45:00;86;74;116;112;13;0
2020-07-21 09:00:00;75;89;109;109;7;0
2020-07-21 09:15:00;83;89;104;111;16;0
2020-07-21 09:30:00;77;80;88;71;7;1
2020-07-21 09:45:00;95;93;84;103;13;0
2020-07-21 10:00:00;85;98;98;83;3;0
2020-07-21 10:15:00;120;90;79;85;17;5
2020-07-21 10:30:00;100;103;95;108;8;0
2020-07-21 10:45:00;91;92;110;91;9;0
2020-07-21 11:00:00;87;112;92;80;11;0
2020-07-21 11:15:00;100;101;94;84;29;0
2020-07-21 11:30:00;106;118;100;74;15;0
2020-07-21 11:45:00;95;107;96;77;10;0
2020-07-21 12:00:00;105;139;94;86;26;0
2020-07-21 12:15:00;93;101;86;88;14;0
2020-07-21 12:30:00;96;106;91;89;1;0
2020-07-21 12:45:00;103;114;92;62;22;0
2020-07-21 13:00:00;102;118;113;107;23;0
2020-07-21 13:15:00;84;90;118;112;31;0
2020-07-21 13:30:00;125;111;141;140;69;0
2020-07-21 13:45:00;119;153;127;131;25;0
2020-07-21 14:00:00;146;158;106;119;16;4
2020-07-21 14:15:00;174;219;100;92;17;1
2020-07-21 14:30:00;181;215;94;100;14;0
2020-07-21 14:45:00;142;172;70;71;19;2
2020-07-21 15:00:00;162;203;92;80;4;0
2020-07-21 15:15:00;154;208;100;81;12;0
2020-07-21 15:30:00;152;186;83;77;27;2
2020-07-21 15:45:00;138;166;93;72;94;0
2020-07-21 16:00:00;162;186;93;98;7;1
2020-07-21 16:15:00;150;203;98;97;18;0
2020-07-21 16:30:00;143;189;103;82;4;1
2020-07-21 16:45:00;188;240;122;110;7;0
2020-07-21 17:00:00;168;179;108;88;27;2
2020-07-21 17:15:00;176;232;115;89;11;0
2020-07-21 17:30:00;144;209;103;96;8;0
2020-07-21 17:45:00;144;179;90;77;12;0
2020-07-21 18:00:00;122;148;100;79;19;0
2020-07-21 18:15:00;119;140;92;64;39;7
2020-07-21 18:30:00;98;111;80;84;13;0
2020-07-21 18:45:00;102;104;81;76;16;0
2020-07-21 19:00:00;86;96;72;58;10;0
2020-07-21 19:15:00;80;93;89;54;2;0
2020-07-21 19:30:00;81;70;73;47;20;0
2020-07-21 19:45:00;74;60;55;55;9;0
2020-07-21 20:00:00;54;55;52;45;0;0
2020-07-21 20:15:00;56;65;74;53;3;0
2020-07-21 20:30:00;56;53;50;42;5;0
2020-07-21 20:45:00;49;39;77;59;7;0
2020-07-21 21:00:00;58;57;121;102;1;0
2020-07-21 21:15:00;52;48;113;107;4;0
2020-07-21 21:30:00;68;62;62;65;0;0
2020-07-21 21:45:00;102;126;34;33;6;10
2020-07-21 22:00:00;140;141;42;36;0;0
2020-07-21 22:15:00;74;75;43;41;1;0
2020-07-21 22:30:00;52;50;45;33;0;0
2020-07-21 22:45:00;26;20;27;18;0;0
2020-07-21 23:00:00;19;25;25;15;0;0
2020-07-21 23:15:00;17;24;21;17;0;0
2020-07-21 23:30:00;24;13;13;11;0;0
