DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(TAA);6(TAFBA)
2020-03-23 00:00:00;0;0;2;3;0;0
2020-03-23 00:15:00;6;4;5;1;0;0
2020-03-23 00:30:00;2;1;3;3;0;0
2020-03-23 00:45:00;0;0;0;0;0;0
2020-03-23 01:00:00;1;2;1;0;0;0
2020-03-23 01:15:00;5;2;6;3;0;0
2020-03-23 01:30:00;2;2;1;1;0;0
2020-03-23 01:45:00;5;1;3;3;0;0
2020-03-23 02:00:00;5;3;2;1;0;0
2020-03-23 02:15:00;2;0;2;2;0;0
2020-03-23 02:30:00;5;3;5;2;0;0
2020-03-23 02:45:00;1;1;6;3;0;0
2020-03-23 03:00:00;8;2;3;0;0;0
2020-03-23 03:15:00;0;2;4;3;0;0
2020-03-23 03:30:00;7;5;6;6;0;0
2020-03-23 03:45:00;3;1;4;4;0;0
2020-03-23 04:00:00;11;6;3;6;0;0
2020-03-23 04:15:00;6;7;2;5;0;0
2020-03-23 04:30:00;18;15;10;4;0;0
2020-03-23 04:45:00;16;10;15;13;0;0
2020-03-23 05:00:00;33;24;27;15;0;0
2020-03-23 05:15:00;28;25;63;28;0;0
2020-03-23 05:30:00;40;45;78;68;0;0
2020-03-23 05:45:00;50;53;91;77;0;0
2020-03-23 06:00:00;53;62;71;64;0;0
2020-03-23 06:15:00;49;50;77;79;2;0
2020-03-23 06:30:00;64;66;113;90;0;0
2020-03-23 06:45:00;63;64;88;90;0;0
2020-03-23 07:00:00;57;58;80;85;0;0
2020-03-23 07:15:00;66;64;91;74;0;0
2020-03-23 07:30:00;48;52;90;87;0;0
2020-03-23 07:45:00;69;58;78;78;0;0
2020-03-23 08:00:00;65;49;82;56;6;0
2020-03-23 08:15:00;56;40;77;59;6;0
2020-03-23 08:30:00;48;43;50;25;5;0
2020-03-23 08:45:00;16;10;31;14;3;0
2020-03-23 09:00:00;68;52;65;53;4;0
2020-03-23 09:15:00;67;60;67;58;5;0
2020-03-23 09:30:00;70;53;72;43;2;0
2020-03-23 09:45:00;78;63;58;44;12;2
2020-03-23 10:00:00;65;47;61;45;1;0
2020-03-23 10:15:00;69;55;50;33;12;0
2020-03-23 10:30:00;73;67;78;45;10;0
2020-03-23 10:45:00;59;59;70;56;2;0
2020-03-23 11:00:00;59;67;53;49;5;4
2020-03-23 11:15:00;70;71;70;30;14;0
2020-03-23 11:30:00;69;51;65;36;2;0
2020-03-23 11:45:00;88;66;67;51;8;5
2020-03-23 12:00:00;60;57;51;27;10;1
2020-03-23 12:15:00;75;74;61;47;1;0
2020-03-23 12:30:00;69;58;52;39;1;0
2020-03-23 12:45:00;55;58;54;44;4;0
2020-03-23 13:00:00;57;60;68;62;6;1
2020-03-23 13:15:00;70;53;56;47;8;0
2020-03-23 13:30:00;65;73;68;42;2;0
2020-03-23 13:45:00;78;78;75;49;26;0
2020-03-23 14:00:00;92;80;61;51;13;0
2020-03-23 14:15:00;111;109;84;51;0;0
2020-03-23 14:30:00;104;96;46;51;27;0
2020-03-23 14:45:00;87;77;51;38;20;4
2020-03-23 15:00:00;101;117;66;51;6;3
2020-03-23 15:15:00;95;106;69;49;5;0
2020-03-23 15:30:00;101;102;74;54;6;0
2020-03-23 15:45:00;95;100;56;53;3;8
2020-03-23 16:00:00;103;128;60;46;6;2
2020-03-23 16:15:00;100;131;79;57;8;0
2020-03-23 16:30:00;91;98;66;56;37;2
2020-03-23 16:45:00;76;79;50;42;20;0
2020-03-23 17:00:00;89;94;50;56;14;0
2020-03-23 17:15:00;81;104;54;42;5;3
2020-03-23 17:30:00;82;78;67;47;10;2
2020-03-23 17:45:00;71;57;60;49;4;0
2020-03-23 18:00:00;64;66;45;34;12;49
2020-03-23 18:15:00;50;37;45;20;1;0
2020-03-23 18:30:00;54;56;51;38;1;0
2020-03-23 18:45:00;37;40;33;22;8;0
2020-03-23 19:00:00;48;31;33;27;4;0
2020-03-23 19:15:00;46;29;26;25;2;0
2020-03-23 19:30:00;24;16;26;18;1;0
2020-03-23 19:45:00;24;20;28;21;0;0
2020-03-23 20:00:00;19;16;20;17;0;0
2020-03-23 20:15:00;31;20;12;6;1;0
2020-03-23 20:30:00;21;10;24;17;0;0
2020-03-23 20:45:00;15;10;14;8;0;0
2020-03-23 21:00:00;20;14;28;19;0;0
2020-03-23 21:15:00;23;6;30;26;0;0
2020-03-23 21:30:00;23;16;23;17;0;0
2020-03-23 21:45:00;21;17;15;10;0;0
2020-03-23 22:00:00;38;31;16;9;0;0
2020-03-23 22:15:00;17;11;20;17;8;0
2020-03-23 22:30:00;11;10;11;12;0;0
2020-03-23 22:45:00;11;7;10;5;0;0
2020-03-23 23:00:00;6;3;7;5;0;0
2020-03-23 23:15:00;1;4;5;3;0;0
2020-03-23 23:30:00;3;2;12;4;0;0
2020-03-23 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
