DATUM;1(TAA);2(TAFBA);3(MP3711);4(MP3712);5(MP3713);6(MP3714);7(MP3715);8(MP3716);9(MP3717);10(MP3718);11(MP3719);12(MP3720);13(MP3721);14(MP3722)
2019-09-20 00:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 00:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 00:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 00:45:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 01:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 01:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 01:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 01:45:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 02:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 02:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 02:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 02:45:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 03:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 03:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 03:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 03:45:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 04:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 04:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 04:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 04:45:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 05:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 05:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 05:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 05:45:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 06:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 06:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 06:30:00;1;5;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 06:45:00;11;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 07:00:00;14;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 07:15:00;10;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 07:30:00;38;2;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 07:45:00;26;1;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 08:00:00;4;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 08:15:00;16;2;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 08:30:00;6;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 08:45:00;4;1;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 09:00:00;3;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 09:15:00;7;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 09:30:00;12;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 09:45:00;9;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 10:00:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 10:15:00;3;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 10:30:00;29;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 10:45:00;9;2;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 11:00:00;14;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 11:15:00;6;2;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 11:30:00;19;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 11:45:00;9;3;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 12:00:00;15;1;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 12:15:00;28;2;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 12:30:00;11;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 12:45:00;12;2;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 13:00:00;24;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 13:15:00;14;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 13:30:00;9;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 13:45:00;9;4;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 14:00:00;6;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 14:15:00;6;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 14:30:00;3;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 14:45:00;31;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 15:00:00;37;14;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 15:15:00;29;2;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 15:30:00;16;2;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 15:45:00;20;4;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 16:00:00;28;14;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 16:15:00;12;6;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 16:30:00;21;3;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 16:45:00;5;5;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 17:00:00;28;11;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 17:15:00;10;3;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 17:30:00;12;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 17:45:00;9;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 18:00:00;5;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 18:15:00;4;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 18:30:00;9;4;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 18:45:00;13;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 19:00:00;4;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 19:15:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 19:30:00;16;3;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 19:45:00;5;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 20:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 20:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 20:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 20:45:00;2;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 21:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 21:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 21:30:00;5;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 21:45:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 22:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 22:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 22:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 22:45:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 23:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 23:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 23:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-09-20 23:45:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
