DATUM;1(DA1);2(DB1);3(DC1);4(DC2);5(DRES1);6(DRES2);7(TAFGA);8(TAFBA)
2019-11-16 00:00:00;11;6;0;0;0;0;0;0
2019-11-16 00:15:00;10;5;1;1;0;0;0;0
2019-11-16 00:30:00;7;5;1;0;0;0;0;0
2019-11-16 00:45:00;12;7;0;1;0;0;0;0
2019-11-16 01:00:00;5;10;1;1;0;0;0;0
2019-11-16 01:15:00;12;11;1;6;0;0;0;0
2019-11-16 01:30:00;6;3;1;0;0;0;0;0
2019-11-16 01:45:00;9;3;0;1;0;0;0;0
2019-11-16 02:00:00;3;7;2;1;0;0;0;0
2019-11-16 02:15:00;10;7;1;1;0;0;0;0
2019-11-16 02:30:00;4;6;0;0;0;0;0;0
2019-11-16 02:45:00;5;3;2;2;0;0;0;0
2019-11-16 03:00:00;2;6;1;2;0;0;0;0
2019-11-16 03:15:00;6;6;0;0;0;0;0;0
2019-11-16 03:30:00;5;5;1;1;0;0;0;0
2019-11-16 03:45:00;2;3;0;0;0;0;0;0
2019-11-16 04:00:00;9;2;6;2;0;0;0;0
2019-11-16 04:15:00;4;5;0;2;0;0;0;0
2019-11-16 04:30:00;3;3;3;2;0;0;0;0
2019-11-16 04:45:00;4;4;1;0;0;0;0;0
2019-11-16 05:00:00;2;5;2;2;0;0;0;0
2019-11-16 05:15:00;6;5;0;1;0;0;1;0
2019-11-16 05:30:00;15;12;1;0;0;0;0;0
2019-11-16 05:45:00;10;10;0;1;0;0;0;0
2019-11-16 06:00:00;6;28;3;1;0;0;0;0
2019-11-16 06:15:00;9;24;0;3;0;0;0;0
2019-11-16 06:30:00;14;16;2;2;0;0;0;0
2019-11-16 06:45:00;11;13;1;1;0;0;0;0
2019-11-16 07:00:00;13;16;2;2;0;0;0;0
2019-11-16 07:15:00;14;14;1;2;0;0;0;0
2019-11-16 07:30:00;16;24;1;0;0;0;0;0
2019-11-16 07:45:00;23;18;1;1;0;0;0;0
2019-11-16 08:00:00;22;20;6;6;0;0;0;0
2019-11-16 08:15:00;15;22;0;2;0;0;0;0
2019-11-16 08:30:00;22;23;1;0;0;0;0;0
2019-11-16 08:45:00;33;30;3;3;0;0;0;0
