DATUM;1(DA1);2(DB1);3(DC1);4(DC2);5(DRES1);6(DRES2);7(TAFGA);8(TAFBA)
2019-09-10 00:00:00;4;5;4;4;0;0;0;0
2019-09-10 00:15:00;7;6;1;0;0;0;0;0
2019-09-10 00:30:00;2;3;1;1;0;0;0;0
2019-09-10 00:45:00;1;2;1;2;0;0;0;0
2019-09-10 01:00:00;4;2;3;0;0;0;0;0
2019-09-10 01:15:00;2;1;3;1;0;0;0;0
2019-09-10 01:30:00;3;3;0;0;0;0;0;0
2019-09-10 01:45:00;1;4;0;0;0;0;0;0
2019-09-10 02:00:00;3;0;1;1;0;0;0;0
2019-09-10 02:15:00;4;3;2;2;0;0;0;0
2019-09-10 02:30:00;2;2;3;0;0;0;0;0
2019-09-10 02:45:00;3;2;2;5;0;0;0;0
2019-09-10 03:00:00;1;0;1;2;0;0;0;0
2019-09-10 03:15:00;2;0;1;0;0;0;0;0
2019-09-10 03:30:00;1;1;1;1;0;0;0;0
2019-09-10 03:45:00;1;2;1;3;0;0;0;0
2019-09-10 04:00:00;3;0;2;3;0;0;0;0
2019-09-10 04:15:00;1;2;2;2;0;0;0;0
2019-09-10 04:30:00;6;1;0;0;0;0;0;0
2019-09-10 04:45:00;14;13;2;0;0;0;0;0
2019-09-10 05:00:00;8;10;3;1;0;0;0;0
2019-09-10 05:15:00;28;15;3;3;0;0;0;0
2019-09-10 05:30:00;23;15;1;1;0;0;0;0
2019-09-10 05:45:00;29;37;1;2;0;0;0;0
2019-09-10 06:00:00;37;29;1;1;0;0;0;0
2019-09-10 06:15:00;56;25;4;8;0;0;0;0
2019-09-10 06:30:00;68;34;3;3;0;0;0;0
2019-09-10 06:45:00;63;39;1;1;0;0;2;0
2019-09-10 07:00:00;53;51;4;3;0;0;0;0
2019-09-10 07:15:00;70;80;2;3;0;0;0;0
2019-09-10 07:30:00;82;89;4;3;0;0;0;0
2019-09-10 07:45:00;60;67;4;1;0;0;0;0
2019-09-10 08:00:00;77;65;4;3;0;0;3;1
2019-09-10 08:15:00;82;70;3;1;0;0;0;0
2019-09-10 08:30:00;89;41;3;3;0;0;0;0
2019-09-10 08:45:00;76;54;2;3;0;0;0;0
2019-09-10 09:00:00;62;44;2;2;0;0;0;0
2019-09-10 09:15:00;45;38;1;3;0;0;0;0
2019-09-10 09:30:00;47;40;2;0;0;0;0;0
2019-09-10 09:45:00;43;40;2;0;0;0;0;0
2019-09-10 10:00:00;57;34;3;3;0;0;1;5
2019-09-10 10:15:00;39;36;5;4;0;0;4;3
2019-09-10 10:30:00;55;39;1;1;0;0;0;0
2019-09-10 10:45:00;45;37;4;0;0;0;0;0
2019-09-10 11:00:00;43;43;0;0;0;0;0;0
2019-09-10 11:15:00;61;54;3;1;0;0;0;0
2019-09-10 11:30:00;81;57;4;3;0;0;2;6
2019-09-10 11:45:00;76;57;0;0;0;0;0;6
2019-09-10 12:00:00;65;45;3;2;0;0;0;0
2019-09-10 12:15:00;53;37;5;4;0;0;0;0
2019-09-10 12:30:00;77;37;8;6;0;0;5;0
2019-09-10 12:45:00;65;57;1;0;0;0;3;0
2019-09-10 13:00:00;68;45;2;2;0;0;1;0
2019-09-10 13:15:00;68;55;5;5;0;0;0;0
2019-09-10 13:30:00;74;49;2;0;0;0;0;0
2019-09-10 13:45:00;46;61;0;2;0;0;7;4
2019-09-10 14:00:00;49;39;3;3;0;0;0;0
2019-09-10 14:15:00;57;65;8;7;0;0;7;0
2019-09-10 14:30:00;67;54;2;1;0;0;0;0
2019-09-10 14:45:00;61;81;3;4;0;0;2;0
2019-09-10 15:00:00;57;57;6;3;0;0;3;0
2019-09-10 15:15:00;50;49;0;0;0;0;7;0
2019-09-10 15:30:00;70;63;3;4;0;0;0;0
2019-09-10 15:45:00;67;68;4;4;0;0;6;14
2019-09-10 16:00:00;81;76;7;12;0;0;8;0
2019-09-10 16:15:00;66;68;3;2;0;0;2;0
2019-09-10 16:30:00;71;63;3;5;0;0;2;3
2019-09-10 16:45:00;62;54;3;4;0;0;5;1
2019-09-10 17:00:00;82;79;3;1;0;0;4;2
