DATUM;1(DA1);2(DB1);3(DC1);4(DC2);5(DRES1);6(DRES2);7(TAFGA);8(TAFBA)
2020-08-16 00:00:00;7;10;1;1;0;0;0;0
2020-08-16 00:15:00;15;9;1;1;0;0;0;0
2020-08-16 00:30:00;8;3;1;0;0;0;0;0
2020-08-16 00:45:00;15;7;2;1;0;0;0;0
2020-08-16 01:00:00;3;2;0;0;0;0;0;0
2020-08-16 01:15:00;3;6;1;0;0;0;0;0
2020-08-16 01:30:00;8;11;1;1;0;0;0;0
2020-08-16 01:45:00;3;2;0;0;0;0;0;0
2020-08-16 02:00:00;2;3;0;0;0;0;0;0
2020-08-16 02:15:00;3;2;1;1;0;0;0;0
2020-08-16 02:30:00;4;2;1;1;0;0;0;0
2020-08-16 02:45:00;4;1;2;2;0;0;0;0
2020-08-16 03:00:00;1;1;0;1;0;0;0;0
2020-08-16 03:15:00;2;1;0;0;0;0;0;0
2020-08-16 03:30:00;1;1;0;0;0;0;0;0
2020-08-16 03:45:00;6;1;1;1;0;0;0;0
2020-08-16 04:00:00;1;3;0;0;0;0;0;0
2020-08-16 04:15:00;5;4;1;0;0;0;0;0
2020-08-16 04:30:00;2;3;0;0;0;0;0;0
2020-08-16 04:45:00;2;3;0;0;0;0;0;0
2020-08-16 05:00:00;1;4;0;0;0;0;0;0
2020-08-16 05:15:00;6;5;3;1;0;0;0;0
2020-08-16 05:30:00;5;9;2;2;0;0;0;0
2020-08-16 05:45:00;3;5;1;0;0;0;0;0
2020-08-16 06:00:00;2;1;1;3;0;0;0;0
2020-08-16 06:15:00;3;0;1;1;0;0;0;0
2020-08-16 06:30:00;1;7;0;0;0;0;0;0
2020-08-16 06:45:00;5;6;0;0;0;0;0;0
2020-08-16 07:00:00;2;3;1;1;0;0;0;0
2020-08-16 07:15:00;2;4;1;0;0;0;0;0
2020-08-16 07:30:00;1;5;0;1;0;0;0;0
2020-08-16 07:45:00;5;10;3;2;0;0;0;0
2020-08-16 08:00:00;3;5;0;0;0;0;0;0
2020-08-16 08:15:00;6;5;2;0;0;0;0;0
2020-08-16 08:30:00;5;3;1;1;0;0;0;0
2020-08-16 08:45:00;8;7;0;0;0;0;0;0
2020-08-16 09:00:00;9;5;1;1;0;0;0;0
2020-08-16 09:15:00;7;18;2;4;0;0;0;0
2020-08-16 09:30:00;10;16;2;0;0;0;0;0
2020-08-16 09:45:00;5;18;0;1;0;0;0;0
2020-08-16 10:00:00;16;12;0;1;0;0;0;0
2020-08-16 10:15:00;13;15;0;0;0;0;0;0
2020-08-16 10:30:00;17;6;1;0;0;0;0;0
2020-08-16 10:45:00;15;22;2;2;0;0;0;0
2020-08-16 11:00:00;19;21;1;1;0;0;0;0
2020-08-16 11:15:00;18;16;1;0;0;0;0;0
2020-08-16 11:30:00;20;14;2;1;0;0;0;0
2020-08-16 11:45:00;15;28;2;0;0;0;0;0
2020-08-16 12:00:00;21;8;3;1;0;0;0;0
2020-08-16 12:15:00;19;15;3;1;0;0;0;0
2020-08-16 12:30:00;26;17;2;0;0;0;0;0
2020-08-16 12:45:00;16;19;2;1;0;0;0;0
2020-08-16 13:00:00;17;10;2;0;0;0;0;0
2020-08-16 13:15:00;25;25;0;0;0;0;0;0
2020-08-16 13:30:00;16;14;2;1;0;0;0;0
2020-08-16 13:45:00;16;26;2;3;0;0;0;0
2020-08-16 14:00:00;28;18;4;4;0;0;0;0
2020-08-16 14:15:00;23;20;1;1;0;0;0;0
2020-08-16 14:30:00;18;16;2;4;0;0;0;0
2020-08-16 14:45:00;23;26;5;3;0;0;0;0
2020-08-16 15:00:00;24;19;5;4;0;0;0;0
2020-08-16 15:15:00;20;13;2;3;0;0;0;0
2020-08-16 15:30:00;20;14;1;1;0;0;0;0
2020-08-16 15:45:00;22;13;4;2;0;0;0;0
2020-08-16 16:00:00;16;21;0;0;0;0;0;0
2020-08-16 16:15:00;22;35;2;2;0;0;0;0
2020-08-16 16:30:00;25;16;1;1;0;0;0;0
2020-08-16 16:45:00;11;21;2;1;0;0;0;0
2020-08-16 17:00:00;20;18;3;3;0;0;0;0
2020-08-16 17:15:00;16;20;4;0;0;0;0;0
2020-08-16 17:30:00;20;20;0;1;0;0;0;0
2020-08-16 17:45:00;16;27;6;3;0;0;0;0
2020-08-16 18:00:00;25;19;3;4;0;0;0;0
2020-08-16 18:15:00;9;24;1;2;0;0;0;0
2020-08-16 18:30:00;29;25;1;0;0;0;0;0
2020-08-16 18:45:00;25;18;0;0;0;0;0;0
2020-08-16 19:00:00;22;24;2;3;0;0;0;0
2020-08-16 19:15:00;16;25;3;2;0;0;0;0
2020-08-16 19:30:00;26;15;4;3;0;0;0;0
2020-08-16 19:45:00;27;22;1;1;0;0;0;0
2020-08-16 20:00:00;28;19;1;0;0;0;0;0
2020-08-16 20:15:00;31;21;3;2;0;0;0;0
2020-08-16 20:30:00;20;22;1;1;0;0;0;0
2020-08-16 20:45:00;16;23;2;1;0;0;0;0
2020-08-16 21:00:00;25;12;1;1;0;0;0;0
2020-08-16 21:15:00;25;14;4;4;0;0;0;0
2020-08-16 21:30:00;15;10;1;0;0;0;0;0
2020-08-16 21:45:00;10;19;0;0;0;0;0;0
2020-08-16 22:00:00;8;16;0;0;0;0;0;0
2020-08-16 22:15:00;10;11;2;2;0;0;0;0
2020-08-16 22:30:00;9;8;2;0;0;0;0;0
2020-08-16 22:45:00;6;7;2;0;0;0;0;0
2020-08-16 23:00:00;17;10;2;0;0;0;0;0
2020-08-16 23:15:00;8;5;1;0;0;0;0;0
2020-08-16 23:30:00;8;11;0;0;0;0;0;0
2020-08-16 23:45:00;6;3;1;0;0;0;0;0
