DATUM;1(DA1);2(DB1);3(DC1);4(DC2);5(DRES1);6(DRES2);7(TAFGA);8(TAFBA)
2020-10-16 00:00:00;6;5;1;0;0;0;0;0
2020-10-16 00:15:00;3;7;0;1;0;0;0;0
2020-10-16 00:30:00;0;3;1;1;0;0;0;0
2020-10-16 00:45:00;2;3;1;0;0;0;0;0
2020-10-16 01:00:00;2;1;0;0;0;0;0;0
2020-10-16 01:15:00;2;2;0;0;0;0;0;0
2020-10-16 01:30:00;1;0;0;0;0;0;0;0
2020-10-16 01:45:00;2;1;1;0;0;0;0;0
2020-10-16 02:00:00;1;4;0;0;0;0;0;0
2020-10-16 02:15:00;0;0;0;0;0;0;0;0
2020-10-16 02:30:00;1;1;1;0;0;0;0;0
2020-10-16 02:45:00;2;1;1;3;0;0;0;0
2020-10-16 03:00:00;1;1;2;0;0;0;0;0
2020-10-16 03:15:00;1;1;0;0;0;0;0;0
2020-10-16 03:30:00;3;1;0;0;0;0;0;0
2020-10-16 03:45:00;3;0;0;0;0;0;0;0
2020-10-16 04:00:00;0;0;0;0;0;0;0;0
2020-10-16 04:15:00;2;3;0;1;0;0;0;0
2020-10-16 04:30:00;5;5;1;0;0;0;0;0
2020-10-16 04:45:00;4;6;1;0;0;0;0;0
2020-10-16 05:00:00;6;5;0;0;0;0;0;0
2020-10-16 05:15:00;10;5;4;3;0;0;0;0
2020-10-16 05:30:00;21;16;2;1;0;0;0;0
2020-10-16 05:45:00;21;26;1;0;0;0;0;0
2020-10-16 06:00:00;22;40;1;1;0;0;0;0
2020-10-16 06:15:00;34;34;2;4;0;0;0;0
2020-10-16 06:30:00;46;40;3;3;0;0;2;2
2020-10-16 06:45:00;45;41;2;1;0;0;0;0
2020-10-16 07:00:00;43;39;3;1;0;0;0;0
2020-10-16 07:15:00;58;83;4;5;0;0;1;1
2020-10-16 07:30:00;72;76;2;2;0;0;0;0
2020-10-16 07:45:00;84;60;4;1;0;0;0;12
2020-10-16 08:00:00;78;54;2;2;0;0;0;1
2020-10-16 08:15:00;40;36;2;1;0;0;3;0
2020-10-16 08:30:00;
2020-10-16 08:45:00;
2020-10-16 09:00:00;
2020-10-16 09:15:00;
2020-10-16 09:30:00;
2020-10-16 09:45:00;
2020-10-16 10:00:00;
2020-10-16 10:15:00;
2020-10-16 10:30:00;
2020-10-16 10:45:00;
2020-10-16 11:00:00;
2020-10-16 11:15:00;
2020-10-16 11:30:00;
2020-10-16 11:45:00;
2020-10-16 12:00:00;
2020-10-16 12:15:00;
2020-10-16 12:30:00;
2020-10-16 12:45:00;70;70;2;2;0;0;0;0
2020-10-16 13:00:00;100;77;4;6;0;0;12;0
2020-10-16 13:15:00;104;52;0;0;0;0;2;2
2020-10-16 13:30:00;85;69;4;0;0;0;0;0
2020-10-16 13:45:00;82;83;1;0;0;0;0;0
2020-10-16 14:00:00;111;72;3;1;0;0;0;0
2020-10-16 14:15:00;69;72;2;1;0;0;0;0
2020-10-16 14:30:00;66;91;5;2;0;0;0;0
2020-10-16 14:45:00;70;73;5;4;0;0;1;0
2020-10-16 15:00:00;53;69;0;0;0;0;0;0
2020-10-16 15:15:00;67;67;1;1;0;0;2;0
2020-10-16 15:30:00;86;47;3;4;0;0;8;4
2020-10-16 15:45:00;60;47;4;2;0;0;0;9
2020-10-16 16:00:00;72;61;4;2;0;0;4;6
2020-10-16 16:15:00;52;64;2;0;0;0;5;1
2020-10-16 16:30:00;66;74;10;4;0;0;0;0
2020-10-16 16:45:00;66;53;3;5;0;0;0;0
2020-10-16 17:00:00;74;64;5;7;0;0;1;0
2020-10-16 17:15:00;55;42;0;2;0;0;0;0
2020-10-16 17:30:00;45;50;3;7;0;0;0;0
2020-10-16 17:45:00;51;62;1;0;0;0;0;0
2020-10-16 18:00:00;63;43;1;1;0;0;0;0
2020-10-16 18:15:00;71;50;6;2;0;0;0;0
2020-10-16 18:30:00;42;43;2;1;0;0;0;0
2020-10-16 18:45:00;46;53;0;0;0;0;1;0
2020-10-16 19:00:00;34;31;5;1;0;0;0;0
2020-10-16 19:15:00;26;36;2;1;0;0;0;0
2020-10-16 19:30:00;45;43;0;1;0;0;0;0
2020-10-16 19:45:00;22;34;1;0;0;0;0;0
2020-10-16 20:00:00;34;27;3;1;0;0;0;0
2020-10-16 20:15:00;34;40;5;0;0;0;0;0
2020-10-16 20:30:00;26;22;4;2;0;0;0;0
2020-10-16 20:45:00;18;23;0;1;0;0;0;0
2020-10-16 21:00:00;18;13;1;1;0;0;0;0
2020-10-16 21:15:00;27;17;1;0;0;0;0;0
2020-10-16 21:30:00;22;16;1;0;0;0;0;0
2020-10-16 21:45:00;14;32;1;1;0;0;0;0
2020-10-16 22:00:00;18;33;2;0;0;0;0;0
2020-10-16 22:15:00;16;26;2;2;0;0;0;0
2020-10-16 22:30:00;8;11;1;3;0;0;0;0
2020-10-16 22:45:00;22;13;1;0;0;0;0;0
2020-10-16 23:00:00;12;20;0;1;0;0;0;0
2020-10-16 23:15:00;12;10;1;0;0;0;0;0
2020-10-16 23:30:00;13;10;0;0;0;0;0;0
2020-10-16 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
