DATUM;1(DA1);2(DA2);3(DA3);4(DAL1);5(DB1);6(DB2);7(DB3);8(DBL1);9(DBL2);10(DC1);11(DCL1);12(DCL2);13(DD1);14(DD2);15(DD3);16(DDL1);17(DEG21);18(DEG22);19(DEG23);20(DEG24);21(DEG25);22(DEG26);23(DEG27);24(DEG28)
2019-11-04 00:00:00;4;5;5;1;1;12;9;3;1;2;7;4;10;19;9;2;0;0;24;0;0;0;0;0
2019-11-04 00:15:00;8;8;5;2;3;12;5;5;10;9;18;5;5;12;7;1;0;0;30;0;0;0;0;0
2019-11-04 00:30:00;0;0;6;1;4;12;5;1;7;4;10;4;9;14;7;1;0;0;30;0;0;0;0;0
2019-11-04 00:45:00;1;4;4;1;2;9;6;1;4;0;8;4;8;14;6;0;0;0;30;0;0;0;0;0
2019-11-04 01:00:00;2;1;0;2;0;7;6;4;5;2;5;4;6;11;6;0;0;0;37;0;0;0;0;0
2019-11-04 01:15:00;0;0;1;1;1;4;3;4;3;2;4;1;3;10;8;0;0;2;39;0;0;0;0;0
2019-11-04 01:30:00;1;2;1;0;1;2;3;1;4;2;4;0;4;8;5;0;0;0;36;0;0;0;0;0
2019-11-04 01:45:00;0;0;0;1;1;10;5;1;7;0;1;1;6;11;6;0;0;2;39;0;0;0;0;0
2019-11-04 02:00:00;0;1;1;0;2;4;0;0;4;0;0;0;4;8;4;0;0;1;39;0;0;0;0;0
2019-11-04 02:15:00;0;0;0;0;0;6;3;0;3;2;6;3;6;13;9;0;0;0;39;0;0;0;0;0
2019-11-04 02:30:00;0;0;0;0;1;2;1;2;4;1;5;2;1;4;4;1;0;1;36;0;0;0;0;0
2019-11-04 02:45:00;1;1;0;1;2;7;5;0;4;2;1;0;6;9;3;0;0;1;39;0;0;0;0;0
2019-11-04 03:00:00;1;2;2;3;2;6;4;3;8;0;1;0;3;8;5;0;0;0;39;0;0;0;0;0
2019-11-04 03:15:00;0;0;1;1;0;2;0;1;1;0;2;0;0;6;6;0;0;0;36;0;0;0;0;0
2019-11-04 03:30:00;0;0;2;2;0;6;5;2;4;0;5;1;4;10;8;0;0;1;39;0;0;0;0;0
2019-11-04 03:45:00;1;1;0;1;1;4;3;1;1;3;2;2;5;12;7;0;0;1;39;0;0;0;0;0
2019-11-04 04:00:00;1;0;2;1;1;4;6;2;3;2;5;1;7;14;7;1;0;1;39;0;0;0;0;0
2019-11-04 04:15:00;0;1;0;1;2;4;0;4;7;1;6;2;17;30;19;1;0;0;39;0;0;0;0;0
2019-11-04 04:30:00;0;1;1;2;0;3;2;4;5;3;8;0;15;30;18;0;0;0;39;0;0;0;0;0
2019-11-04 04:45:00;1;1;1;0;3;9;7;1;7;3;10;3;13;30;23;1;0;0;39;0;0;0;0;0
2019-11-04 05:00:00;1;3;4;3;5;17;9;10;8;9;13;11;25;49;25;3;0;0;27;0;0;0;0;0
