DATUM;1(DA1);2(DA2);3(DA3);4(DAL1);5(DB1);6(DB2);7(DB3);8(DBL1);9(DBL2);10(DC1);11(DCL1);12(DCL2);13(DD1);14(DD2);15(DD3);16(DDL1);17(DEG21);18(DEG22);19(DEG23);20(DEG24);21(DEG25);22(DEG26);23(DEG27);24(DEG28)
2020-08-18 00:00:00;0;1;1;1;0;7;7;4;3;1;5;3;8;12;6;0;0;0;21;0;0;0;0;0
2020-08-18 00:15:00;3;6;5;3;2;7;6;3;6;2;8;6;6;14;9;0;0;0;30;0;0;0;0;0
2020-08-18 00:30:00;1;0;5;4;3;10;9;2;8;1;4;3;6;9;6;0;0;0;30;0;0;0;0;0
2020-08-18 00:45:00;0;1;3;1;2;4;9;2;2;3;3;0;3;8;6;0;0;0;30;0;0;0;0;0
2020-08-18 01:00:00;2;2;1;4;0;5;8;1;2;0;2;2;7;10;4;0;0;0;37;0;0;0;0;0
2020-08-18 01:15:00;2;1;0;0;0;8;6;0;1;1;3;2;6;8;4;1;0;0;36;0;0;0;0;0
2020-08-18 01:30:00;1;0;0;0;1;5;5;0;3;2;3;3;2;12;10;0;0;0;39;0;0;0;0;0
2020-08-18 01:45:00;1;1;0;0;1;7;4;1;3;0;1;0;6;16;9;0;0;0;39;0;0;0;0;0
2020-08-18 02:00:00;0;0;1;0;0;2;5;0;2;0;3;1;2;11;9;0;0;0;39;0;0;0;0;0
2020-08-18 02:15:00;1;1;1;1;1;2;3;5;5;0;1;0;3;12;10;0;0;0;39;0;0;0;0;0
2020-08-18 02:30:00;0;0;0;1;0;2;1;0;3;0;3;0;2;9;7;0;0;0;39;0;0;0;0;0
2020-08-18 02:45:00;0;1;0;0;3;6;4;0;3;1;5;2;3;11;8;0;0;0;39;0;0;0;0;0
2020-08-18 03:00:00;0;0;2;1;0;2;2;1;3;1;1;1;4;12;8;0;0;0;36;0;0;0;0;0
2020-08-18 03:15:00;0;0;0;0;1;4;3;2;4;2;1;0;2;9;8;0;0;0;39;0;0;0;0;0
2020-08-18 03:30:00;0;0;0;0;0;3;3;0;3;0;1;1;3;6;5;0;0;0;39;0;0;0;0;0
2020-08-18 03:45:00;0;0;0;0;1;5;3;0;4;0;2;0;3;10;6;0;0;0;39;0;0;0;0;0
2020-08-18 04:00:00;0;0;1;0;1;6;3;2;3;0;3;2;4;12;8;0;0;0;39;0;0;0;0;0
2020-08-18 04:15:00;0;2;2;1;1;5;2;1;4;1;7;1;7;13;9;1;0;0;39;0;0;0;0;0
2020-08-18 04:30:00;0;0;1;1;1;4;3;0;2;2;5;2;15;25;15;1;0;0;39;0;0;0;0;0
2020-08-18 04:45:00;1;2;0;2;1;2;5;2;8;3;2;4;4;28;27;0;0;0;36;0;0;0;0;0
2020-08-18 05:00:00;0;1;3;1;2;13;5;5;3;5;14;14;17;35;20;3;0;0;28;0;0;0;0;0
2020-08-18 05:15:00;2;1;5;3;2;14;9;3;4;4;15;6;30;60;38;1;0;0;30;0;0;0;0;0
2020-08-18 05:30:00;1;3;7;6;1;31;22;10;12;6;25;25;32;69;54;1;0;0;30;0;0;0;0;0
2020-08-18 05:45:00;2;2;10;9;5;25;14;11;9;10;28;21;38;87;73;2;0;0;30;0;0;0;0;0
2020-08-18 06:00:00;2;8;13;9;6;29;23;13;13;18;32;28;34;63;53;6;0;0;30;0;0;0;0;0
2020-08-18 06:15:00;4;8;12;8;14;32;25;20;21;21;41;40;36;73;63;10;0;0;30;0;0;0;0;0
2020-08-18 06:30:00;4;10;19;12;8;34;32;19;20;28;57;53;39;85;81;12;0;0;30;0;0;0;0;0
2020-08-18 06:45:00;5;8;15;14;19;49;31;23;20;32;39;31;39;84;78;7;0;0;30;0;0;0;0;0
2020-08-18 07:00:00;4;8;18;17;19;45;45;23;21;32;43;50;48;83;86;15;0;0;30;0;0;0;0;0
2020-08-18 07:15:00;7;5;17;18;22;51;37;21;26;40;59;65;50;91;86;17;0;0;30;0;0;0;0;0
2020-08-18 07:30:00;10;8;17;14;33;65;51;20;31;31;58;58;56;98;86;21;0;0;30;0;0;0;0;0
2020-08-18 07:45:00;12;9;18;14;24;57;60;31;28;36;54;48;64;102;71;20;0;0;30;0;0;0;0;0
2020-08-18 08:00:00;11;14;24;20;20;41;48;31;22;30;45;45;66;93;78;20;0;0;30;0;0;0;0;0
