DATUM;1(DA1);2(DA2);3(DA3);4(DAL1);5(DB1);6(DB2);7(DB3);8(DBL1);9(DBL2);10(DC1);11(DCL1);12(DCL2);13(DD1);14(DD2);15(DD3);16(DDL1);17(DEG21);18(DEG22);19(DEG23);20(DEG24);21(DEG25);22(DEG26);23(DEG27);24(DEG28)
2020-02-08 00:00:00;3;4;6;8;3;11;10;6;6;6;10;7;21;37;22;0;0;0;24;0;0;0;0;0
2020-02-08 00:15:00;5;12;15;9;2;21;19;7;10;10;12;2;28;39;19;0;0;0;30;0;0;0;0;0
2020-02-08 00:30:00;1;5;6;6;7;29;19;5;6;6;17;8;14;26;17;1;0;0;30;0;0;0;0;0
2020-02-08 00:45:00;5;6;9;6;5;14;13;5;10;2;7;1;23;39;19;1;0;0;30;0;0;0;0;0
2020-02-08 01:00:00;1;8;8;4;3;14;12;6;6;5;8;5;17;30;20;4;0;0;35;0;0;0;0;0
2020-02-08 01:15:00;4;5;9;6;2;10;12;3;6;6;5;1;18;38;20;0;0;0;39;0;0;0;0;0
2020-02-08 01:30:00;0;1;5;6;2;13;8;3;3;9;12;0;11;17;9;0;0;0;39;0;0;0;0;0
2020-02-08 01:45:00;2;3;8;4;2;4;4;2;7;8;7;2;18;34;20;0;0;0;39;0;0;0;0;0
2020-02-08 02:00:00;5;4;8;1;6;13;3;0;9;7;6;4;14;25;16;3;0;0;39;0;0;0;0;0
2020-02-08 02:15:00;2;3;5;4;1;5;4;5;9;4;1;3;15;24;11;2;0;0;36;0;0;0;0;0
2020-02-08 02:30:00;4;2;1;2;3;9;2;1;4;6;5;1;14;29;21;4;0;0;39;0;0;0;0;0
2020-02-08 02:45:00;2;2;4;3;1;7;5;3;1;1;5;5;5;15;14;2;0;0;39;0;0;0;0;0
2020-02-08 03:00:00;3;3;4;2;5;11;6;1;3;5;1;1;6;11;8;1;0;0;39;0;0;0;0;0
2020-02-08 03:15:00;3;4;3;1;2;8;3;2;3;2;1;2;9;16;10;2;0;0;39;0;0;0;0;0
2020-02-08 03:30:00;2;2;8;6;2;7;4;3;8;5;7;0;2;7;6;3;0;0;39;0;0;0;0;0
2020-02-08 03:45:00;0;2;1;1;1;5;6;4;1;2;2;0;12;14;5;2;0;0;39;0;0;0;0;0
2020-02-08 04:00:00;1;1;3;1;3;9;3;1;5;5;3;1;8;15;10;3;0;0;36;0;0;0;0;0
2020-02-08 04:15:00;0;0;2;2;4;7;2;2;3;5;4;4;7;16;11;2;0;0;39;0;0;0;0;0
2020-02-08 04:30:00;1;1;3;2;0;8;4;5;8;4;1;1;3;10;7;0;0;0;39;0;0;0;0;0
2020-02-08 04:45:00;0;1;1;2;2;7;1;4;2;5;3;1;9;23;13;1;0;0;39;0;0;0;0;0
2020-02-08 05:00:00;1;3;5;3;1;5;4;3;5;4;9;5;17;36;26;3;0;0;30;0;0;0;0;0
2020-02-08 05:15:00;3;2;3;4;3;6;3;2;9;7;10;6;12;42;37;2;0;0;30;0;0;0;0;0
2020-02-08 05:30:00;1;1;4;2;3;20;15;6;11;9;15;14;14;35;26;5;0;0;30;0;0;0;0;0
2020-02-08 05:45:00;2;5;4;2;5;13;21;29;19;6;15;10;43;61;20;2;0;0;30;0;0;0;0;0
2020-02-08 06:00:00;0;3;5;3;2;14;16;17;11;9;11;4;53;68;31;4;0;0;30;0;0;0;0;0
2020-02-08 06:15:00;4;9;7;5;6;12;12;8;13;11;16;7;72;103;51;3;0;0;30;0;0;0;0;0
2020-02-08 06:30:00;2;6;8;5;5;21;12;17;18;13;10;4;31;56;36;1;0;0;30;0;0;0;0;0
2020-02-08 06:45:00;2;7;7;6;7;12;11;40;48;10;13;14;33;51;31;5;0;0;30;0;0;0;0;0
2020-02-08 07:00:00;3;9;7;4;7;21;15;54;36;9;13;9;19;32;17;6;0;0;27;0;0;0;0;0
2020-02-08 07:15:00;2;6;16;5;15;29;16;62;44;14;25;19;40;66;51;14;0;0;30;0;0;0;0;0
2020-02-08 07:30:00;2;8;9;5;18;59;33;70;51;23;33;19;43;70;51;16;0;0;30;0;0;0;0;0
2020-02-08 07:45:00;6;7;9;7;8;64;50;73;49;18;37;22;52;81;55;15;0;0;30;0;0;0;0;0
2020-02-08 08:00:00;9;6;13;6;10;37;28;50;30;15;23;15;27;57;52;6;0;0;30;0;0;0;0;0
2020-02-08 08:15:00;10;8;13;8;5;28;23;25;22;30;16;18;47;79;64;17;0;0;30;0;0;0;0;0
2020-02-08 08:30:00;6;11;20;10;8;37;26;36;38;27;26;20;59;93;60;12;0;0;30;0;0;0;0;0
2020-02-08 08:45:00;10;13;14;12;19;46;34;38;24;41;39;38;67;95;58;6;0;0;30;0;0;0;0;0
2020-02-08 09:00:00;14;20;13;15;15;45;42;32;31;32;48;33;42;70;54;20;0;0;30;0;0;0;0;0
2020-02-08 09:15:00;17;14;14;8;17;50;44;45;35;43;50;30;68;94;63;26;0;0;30;0;0;0;0;0
2020-02-08 09:30:00;10;16;18;15;15;52;47;47;40;49;57;45;70;92;75;31;0;0;30;0;0;0;0;0
2020-02-08 09:45:00;19;20;33;16;21;52;63;42;42;52;58;52;78;98;81;30;0;0;30;0;0;0;0;0
2020-02-08 10:00:00;13;25;37;21;22;58;60;39;45;37;63;47;80;110;79;27;0;0;30;0;0;0;0;0
2020-02-08 10:15:00;17;21;28;22;22;59;65;53;46;48;55;49;80;103;92;32;0;0;30;0;0;0;0;0
2020-02-08 10:30:00;18;12;33;16;24;70;56;61;47;52;53;47;83;82;84;26;0;0;30;0;0;0;0;0
2020-02-08 10:45:00;24;15;30;17;25;59;68;60;57;52;69;49;96;117;99;26;0;0;30;0;0;0;0;0
2020-02-08 11:00:00;17;24;33;21;17;60;78;55;42;63;66;57;81;97;94;32;0;0;30;0;0;0;0;0
2020-02-08 11:15:00;15;16;23;18;34;71;81;67;52;52;57;41;95;119;100;20;0;0;30;0;0;0;0;0
2020-02-08 11:30:00;22;14;30;23;29;69;67;74;55;54;63;49;98;89;90;23;0;0;27;0;0;0;0;0
2020-02-08 11:45:00;23;13;28;27;24;89;70;64;48;52;62;52;120;109;86;20;0;0;30;0;0;0;0;0
2020-02-08 12:00:00;18;28;27;29;24;74;81;61;52;51;67;59;107;97;85;22;0;0;30;0;0;0;0;0
2020-02-08 12:15:00;11;17;33;22;22;89;88;70;55;38;69;52;111;119;103;21;0;0;30;0;0;0;0;0
2020-02-08 12:30:00;21;22;27;27;25;86;75;60;46;30;61;58;91;107;101;20;0;0;30;0;0;0;0;0
2020-02-08 12:45:00;27;18;27;14;23;90;75;47;49;39;57;47;100;120;95;16;0;0;30;0;0;0;0;0
2020-02-08 13:00:00;26;23;31;26;23;80;79;52;53;37;67;64;110;100;91;14;0;0;30;0;0;0;0;0
2020-02-08 13:15:00;35;29;36;34;30;69;87;70;56;31;71;58;109;121;90;13;0;0;30;0;0;0;0;0
2020-02-08 13:30:00;20;29;39;26;23;85;86;52;42;34;65;55;126;97;111;18;0;0;30;0;0;0;0;0
2020-02-08 13:45:00;25;22;34;24;29;74;85;53;50;46;75;64;103;121;95;21;0;0;30;0;0;0;0;0
2020-02-08 14:00:00;18;20;26;16;20;78;70;45;40;42;56;55;97;100;77;14;0;0;27;0;0;0;0;0
2020-02-08 14:15:00;24;24;34;31;25;76;79;44;47;37;67;57;105;107;95;18;0;0;30;0;0;0;0;0
2020-02-08 14:30:00;21;27;36;20;19;77;67;49;45;40;69;65;111;103;105;11;0;0;30;0;0;0;0;0
2020-02-08 14:45:00;27;27;39;23;16;89;85;49;50;36;68;65;83;105;94;14;0;0;29;0;0;0;0;0
2020-02-08 15:00:00;19;24;31;20;19;82;80;64;51;47;79;70;125;97;108;10;0;0;30;1;0;0;0;0
2020-02-08 15:15:00;18;23;34;35;20;73;75;58;53;36;56;40;114;128;107;15;0;0;30;0;0;0;0;0
2020-02-08 15:30:00;23;19;30;36;22;83;81;49;52;33;48;44;95;142;94;12;0;0;30;0;0;0;0;0
2020-02-08 15:45:00;18;19;36;25;20;88;90;52;46;28;62;51;110;107;92;20;0;0;30;0;0;0;0;0
2020-02-08 16:00:00;21;16;34;27;13;74;75;48;37;22;55;53;96;115;87;14;0;0;30;0;0;0;0;0
2020-02-08 16:15:00;21;20;28;29;18;77;76;57;60;36;56;42;112;113;101;15;0;0;29;0;0;0;0;0
2020-02-08 16:30:00;14;25;41;25;19;72;75;48;46;34;57;52;134;131;95;9;0;0;30;1;0;0;0;0
2020-02-08 16:45:00;21;27;38;22;28;77;74;58;47;36;54;51;117;109;105;17;0;0;30;0;0;0;0;0
2020-02-08 17:00:00;15;19;33;33;16;74;77;33;34;33;69;55;110;130;109;15;0;0;30;0;0;0;0;0
2020-02-08 17:15:00;15;20;36;21;21;79;79;46;30;31;54;46;106;140;91;13;0;0;30;0;0;0;0;0
2020-02-08 17:30:00;19;15;29;27;15;69;83;49;50;22;60;40;116;107;103;12;0;0;30;0;0;0;0;0
2020-02-08 17:45:00;20;30;28;14;22;68;81;56;41;44;53;48;93;139;103;12;0;0;30;0;0;0;0;0
2020-02-08 18:00:00;9;15;25;13;18;79;78;44;41;42;63;52;99;110;96;19;0;0;30;0;0;0;0;0
2020-02-08 18:15:00;12;22;31;20;29;68;65;39;34;32;61;52;103;102;111;19;0;0;30;0;0;0;0;0
2020-02-08 18:30:00;19;11;26;14;21;72;73;40;39;33;56;45;88;127;85;13;0;0;30;0;0;0;0;0
2020-02-08 18:45:00;10;15;26;21;31;80;79;40;48;49;66;56;92;110;93;20;0;0;30;0;0;0;0;0
2020-02-08 19:00:00;16;12;20;14;22;67;65;51;37;41;46;41;65;95;71;16;0;0;27;0;0;0;0;0
2020-02-08 19:15:00;18;18;17;8;24;70;61;43;45;39;51;44;96;117;93;24;0;0;30;0;0;0;0;0
2020-02-08 19:30:00;10;18;22;22;18;65;62;30;36;26;47;33;74;102;75;30;0;0;30;0;0;0;0;0
2020-02-08 19:45:00;8;6;16;13;28;63;62;32;27;34;42;33;73;99;77;9;0;0;29;1;0;0;0;0
2020-02-08 20:00:00;14;12;22;14;19;64;52;39;41;24;41;31;74;93;74;13;0;0;30;0;0;0;0;0
2020-02-08 20:15:00;17;15;19;11;13;49;62;25;20;24;45;27;71;108;81;10;0;0;29;0;0;0;0;0
2020-02-08 20:30:00;11;19;25;10;11;37;44;24;23;27;31;23;57;90;76;20;0;0;29;1;0;0;0;0
2020-02-08 20:45:00;3;10;10;11;17;55;48;30;29;21;36;19;61;98;76;16;0;0;30;1;0;0;0;0
2020-02-08 21:00:00;6;9;17;11;14;41;35;25;30;19;26;16;37;65;54;10;0;0;26;1;0;0;0;0
2020-02-08 21:15:00;8;18;22;13;12;47;33;16;17;19;35;22;50;86;57;11;0;0;30;0;0;0;0;0
2020-02-08 21:30:00;12;8;11;9;13;32;32;21;26;14;25;17;50;86;62;12;0;0;30;0;0;0;0;0
2020-02-08 21:45:00;7;10;12;9;8;46;37;27;26;14;24;14;42;85;65;15;0;0;30;0;0;0;0;0
2020-02-08 22:00:00;8;13;35;15;10;39;32;27;25;23;24;20;36;76;51;5;0;0;30;0;0;0;0;0
2020-02-08 22:15:00;16;12;22;17;10;38;30;20;30;15;27;14;44;93;65;4;0;0;30;0;0;0;0;0
2020-02-08 22:30:00;22;16;21;11;9;38;28;12;12;12;19;10;52;90;60;8;0;0;30;0;0;0;0;0
2020-02-08 22:45:00;8;6;16;11;13;35;32;18;21;18;20;13;54;86;58;5;0;0;30;0;0;0;0;0
2020-02-08 23:00:00;10;9;11;7;12;41;27;17;21;24;27;18;38;60;42;5;0;0;30;0;0;0;0;0
2020-02-08 23:15:00;6;8;5;8;16;32;28;14;10;11;18;8;32;57;49;4;0;0;30;0;0;0;0;0
2020-02-08 23:30:00;6;10;14;14;8;23;19;5;13;9;10;12;28;53;42;3;0;0;30;0;0;0;0;0
2020-02-08 23:45:00;5;12;9;10;9;29;23;12;12;8;13;12;24;39;24;1;0;0;30;0;0;0;0;0
