DATUM;1(DAL1);2(DBR1);3(DBL1);4(DBL2);5(DC1);6(DC2);7(DC3);8(DEG11);9(DEG12);10(DEG13);11(DEG14);12(DEG15);13(DEG16);14(DEG17)
2019-12-02 00:00:00;6;0;3;0;12;4;5;16;8;23;16;8;23;0
2019-12-02 00:15:00;9;1;4;1;8;4;7;20;10;30;20;10;30;0
2019-12-02 00:30:00;7;2;1;0;5;0;2;20;10;30;20;10;30;0
2019-12-02 00:45:00;8;3;5;0;4;1;2;20;10;31;20;10;31;0
2019-12-02 01:00:00;4;1;1;1;3;1;5;26;13;38;26;13;38;0
2019-12-02 01:15:00;3;0;0;1;2;2;1;26;13;39;26;13;39;0
2019-12-02 01:30:00;2;1;1;1;7;2;1;24;12;36;24;12;36;0
2019-12-02 01:45:00;3;2;1;0;10;1;1;26;13;39;26;13;39;0
2019-12-02 02:00:00;3;2;3;0;13;5;0;26;13;39;26;13;39;0
2019-12-02 02:15:00;2;1;2;0;8;1;3;26;13;39;26;13;39;0
2019-12-02 02:30:00;3;0;1;0;5;1;0;26;13;39;26;13;39;0
2019-12-02 02:45:00;1;5;1;0;9;7;2;26;13;39;26;13;39;0
2019-12-02 03:00:00;1;1;1;0;6;1;1;26;13;39;26;13;39;0
2019-12-02 03:15:00;2;4;1;2;4;0;0;24;12;36;24;12;36;0
2019-12-02 03:30:00;3;2;5;0;6;3;4;26;13;39;26;13;39;0
2019-12-02 03:45:00;5;3;2;1;9;3;2;24;12;36;24;12;36;0
2019-12-02 04:00:00;2;5;2;1;16;6;2;26;13;39;26;13;39;0
2019-12-02 04:15:00;3;2;8;2;16;1;3;26;13;39;26;13;39;0
2019-12-02 04:30:00;11;12;9;10;19;11;1;26;13;39;26;13;39;0
2019-12-02 04:45:00;15;7;17;8;25;5;3;26;13;39;26;13;39;0
2019-12-02 05:00:00;31;19;26;20;54;16;5;18;9;28;18;9;28;0
2019-12-02 05:15:00;47;42;55;53;56;14;8;20;10;30;20;10;30;0
2019-12-02 05:30:00;54;63;61;61;85;34;9;20;10;30;20;10;30;0
2019-12-02 05:45:00;40;55;62;56;58;32;12;20;10;30;20;10;30;0
2019-12-02 06:00:00;39;56;59;54;77;36;14;20;10;30;20;10;30;0
2019-12-02 06:15:00;71;72;72;72;93;43;22;20;10;30;20;10;30;0
2019-12-02 06:30:00;84;87;93;95;109;56;31;20;10;29;20;10;29;0
2019-12-02 06:45:00;109;88;103;101;112;57;32;20;10;30;20;10;30;0
2019-12-02 07:00:00;108;87;107;109;111;71;43;20;10;30;20;10;30;0
2019-12-02 07:15:00;137;101;106;104;118;68;52;20;10;31;20;10;31;0
2019-12-02 07:30:00;123;112;99;97;124;76;51;21;11;29;21;11;29;0
2019-12-02 07:45:00;116;139;86;84;104;63;56;21;11;30;21;11;30;0
2019-12-02 08:00:00;117;95;81;91;134;73;57;20;10;31;20;10;31;0
2019-12-02 08:15:00;96;104;68;67;109;47;62;20;10;29;20;10;29;0
2019-12-02 08:30:00;84;94;67;70;119;70;54;20;10;30;20;10;30;0
2019-12-02 08:45:00;93;103;67;67;103;60;52;20;10;30;20;10;30;0
2019-12-02 09:00:00;99;91;51;48;112;66;67;20;10;30;20;10;30;0
2019-12-02 09:15:00;87;84;58;58;103;52;58;20;10;30;20;10;30;0
2019-12-02 09:30:00;97;86;52;44;125;58;67;20;10;30;20;10;30;0
2019-12-02 09:45:00;100;87;56;41;110;50;63;20;10;30;20;10;30;0
2019-12-02 10:00:00;108;87;52;42;112;63;66;20;10;30;20;10;30;0
2019-12-02 10:15:00;96;52;55;42;120;58;59;20;10;30;20;10;30;0
2019-12-02 10:30:00;99;77;41;39;131;67;72;20;10;30;20;10;30;0
2019-12-02 10:45:00;102;56;45;38;123;46;91;20;10;30;20;10;30;0
2019-12-02 11:00:00;108;60;41;29;120;55;70;20;10;30;20;10;30;0
2019-12-02 11:15:00;101;71;51;31;117;60;69;21;11;30;21;11;30;0
2019-12-02 11:30:00;90;50;41;30;120;65;87;18;9;27;18;9;27;0
2019-12-02 11:45:00;87;82;44;30;136;64;92;20;10;30;20;10;30;0
2019-12-02 12:00:00;100;50;43;34;137;55;79;20;10;30;20;10;30;0
2019-12-02 12:15:00;110;56;33;30;146;58;105;21;11;30;21;11;30;0
2019-12-02 12:30:00;109;71;48;41;142;78;93;20;10;30;20;10;30;0
2019-12-02 12:45:00;103;72;49;43;148;66;86;20;10;30;20;10;30;0
2019-12-02 13:00:00;109;79;52;56;135;62;99;20;10;30;20;10;30;0
2019-12-02 13:15:00;136;75;51;55;144;75;101;20;10;30;20;10;30;0
2019-12-02 13:30:00;117;72;57;53;150;70;136;20;10;30;20;10;30;0
2019-12-02 13:45:00;116;71;47;45;143;66;107;20;10;30;20;10;30;0
2019-12-02 14:00:00;109;81;47;41;143;64;97;20;10;30;20;10;30;0
2019-12-02 14:15:00;121;52;46;37;154;75;106;20;10;30;20;10;30;0
2019-12-02 14:30:00;121;74;36;24;144;54;153;20;10;30;20;10;30;0
2019-12-02 14:45:00;121;84;50;39;141;71;150;20;10;30;20;10;30;0
2019-12-02 15:00:00;134;78;39;29;152;64;126;20;10;30;20;10;30;0
2019-12-02 15:15:00;119;79;56;44;146;62;154;21;11;30;21;11;30;0
2019-12-02 15:30:00;131;68;44;34;151;61;127;20;10;30;20;10;30;0
2019-12-02 15:45:00;125;72;42;34;154;70;169;20;10;30;20;10;30;0
2019-12-02 16:00:00;121;79;47;34;150;53;153;20;10;30;20;10;30;0
2019-12-02 16:15:00;132;74;53;36;161;56;148;20;10;30;20;10;30;0
2019-12-02 16:30:00;115;73;50;33;146;68;170;20;10;30;20;10;30;0
2019-12-02 16:45:00;108;67;41;38;143;76;164;20;10;30;20;10;30;0
2019-12-02 17:00:00;109;93;56;34;146;70;133;20;10;30;20;10;30;0
2019-12-02 17:15:00;101;80;45;39;140;61;173;20;10;30;20;10;30;0
