DATUM;1(DA1);2(DA2RES);3(DB1);4(DC1);5(DC2RES);6(DD1);7(TAFBA);8(TAFGB);9(TAFBB);10(TAFBC);11(TAFGD);12(TAFBD);13(TAFGB2);14(TAFBB2)
2020-09-25 00:00:00;1;0;8;0;1;19;0;0;0;0;0;0;0;0
2020-09-25 00:15:00;0;0;4;0;0;12;0;0;0;0;0;0;0;0
2020-09-25 00:30:00;0;0;5;0;0;10;0;0;0;0;0;0;0;0
2020-09-25 00:45:00;1;0;4;0;0;7;0;0;0;0;0;0;0;0
2020-09-25 01:00:00;0;0;3;0;0;6;0;0;0;0;0;0;0;0
2020-09-25 01:15:00;1;0;6;1;2;9;0;1;0;0;0;0;0;0
2020-09-25 01:30:00;0;0;4;0;0;1;0;0;0;0;0;0;0;0
2020-09-25 01:45:00;0;0;3;0;0;10;0;0;0;0;0;0;0;0
2020-09-25 02:00:00;1;0;7;0;0;5;0;0;0;0;0;0;0;0
2020-09-25 02:15:00;0;0;1;0;0;1;0;0;0;0;0;0;0;0
2020-09-25 02:30:00;0;0;3;0;0;1;0;0;0;0;0;0;0;0
2020-09-25 02:45:00;0;0;1;0;0;2;0;0;0;0;0;0;0;0
2020-09-25 03:00:00;0;0;3;1;1;3;0;0;0;0;0;0;0;0
2020-09-25 03:15:00;0;0;3;0;0;6;0;0;0;0;0;0;0;0
2020-09-25 03:30:00;1;0;3;0;0;3;0;0;0;0;0;0;0;0
2020-09-25 03:45:00;0;0;6;0;0;2;0;0;0;0;0;0;0;0
2020-09-25 04:00:00;1;0;3;0;0;2;0;0;0;0;0;0;0;0
2020-09-25 04:15:00;0;0;14;0;0;2;0;0;0;0;0;0;0;0
2020-09-25 04:30:00;0;0;11;0;0;4;0;0;0;0;0;0;0;0
2020-09-25 04:45:00;0;0;26;0;1;9;0;0;0;0;0;0;0;0
2020-09-25 05:00:00;0;0;73;1;1;5;0;0;0;0;0;0;0;0
2020-09-25 05:15:00;3;0;149;3;4;13;0;0;0;0;0;0;0;0
2020-09-25 05:30:00;0;0;141;4;4;18;0;0;0;0;0;0;0;0
2020-09-25 05:45:00;1;0;124;1;3;60;0;0;0;0;0;0;0;0
2020-09-25 06:00:00;0;0;115;3;3;63;0;0;0;0;0;0;0;0
2020-09-25 06:15:00;1;0;151;1;1;60;0;0;0;0;0;0;0;0
2020-09-25 06:30:00;4;0;219;8;8;63;0;0;0;0;0;0;0;0
2020-09-25 06:45:00;0;0;225;7;10;76;0;1;0;0;1;0;0;0
2020-09-25 07:00:00;0;0;222;13;18;58;0;3;0;0;0;0;2;0
2020-09-25 07:15:00;1;0;256;35;37;84;0;3;0;0;0;0;0;0
2020-09-25 07:30:00;1;0;38;9;12;20;0;1;0;0;0;0;0;0
2020-09-25 07:45:00;
2020-09-25 08:00:00;
2020-09-25 08:15:00;
2020-09-25 08:30:00;
2020-09-25 08:45:00;
2020-09-25 09:00:00;
2020-09-25 09:15:00;2;0;133;5;5;76;0;4;0;0;2;0;0;0
2020-09-25 09:30:00;5;0;143;9;11;87;0;1;0;0;0;0;1;0
2020-09-25 09:45:00;5;0;154;9;17;126;0;1;0;0;0;0;0;0
2020-09-25 10:00:00;1;0;149;8;12;100;0;0;0;0;0;0;0;0
2020-09-25 10:15:00;3;0;123;6;7;119;0;3;0;0;0;0;1;0
2020-09-25 10:30:00;2;0;142;13;15;123;0;1;0;0;0;0;1;0
2020-09-25 10:45:00;1;0;153;10;12;137;0;1;0;0;0;0;0;0
2020-09-25 11:00:00;9;0;151;13;13;138;0;1;0;0;0;0;0;0
2020-09-25 11:15:00;2;0;121;9;12;150;0;0;0;0;1;0;0;0
2020-09-25 11:30:00;2;0;180;4;11;179;0;1;0;0;0;0;0;0
2020-09-25 11:45:00;2;0;143;10;10;164;0;0;0;0;0;0;1;0
2020-09-25 12:00:00;1;0;146;6;12;188;0;5;0;0;0;0;0;0
2020-09-25 12:15:00;1;0;126;11;14;189;0;3;0;0;0;0;0;0
2020-09-25 12:30:00;1;0;149;9;13;197;0;4;0;0;0;0;0;0
2020-09-25 12:45:00;2;0;169;16;24;232;0;5;0;0;1;0;0;0
2020-09-25 13:00:00;2;0;212;15;16;238;0;5;0;0;0;0;1;0
2020-09-25 13:15:00;5;0;182;11;15;217;0;3;0;0;0;0;1;0
2020-09-25 13:30:00;3;0;194;7;15;199;0;2;0;0;0;0;0;0
2020-09-25 13:45:00;3;0;200;14;16;198;0;2;0;0;1;0;0;0
2020-09-25 14:00:00;2;0;170;6;9;191;0;1;0;0;0;0;0;0
2020-09-25 14:15:00;1;0;146;13;18;245;0;0;0;0;0;0;0;0
2020-09-25 14:30:00;7;0;184;12;13;248;0;5;0;0;0;0;0;0
2020-09-25 14:45:00;3;0;172;11;18;262;0;3;0;0;0;0;1;0
2020-09-25 15:00:00;5;0;172;11;18;261;0;0;0;0;0;0;0;0
2020-09-25 15:15:00;7;0;149;15;19;249;0;3;0;0;0;0;1;0
2020-09-25 15:30:00;1;0;155;12;19;206;0;3;0;0;0;0;2;0
2020-09-25 15:45:00;3;0;166;13;17;223;0;3;0;0;0;0;0;0
2020-09-25 16:00:00;6;0;136;13;22;251;0;1;0;0;0;0;0;0
2020-09-25 16:15:00;3;0;132;6;13;228;0;2;0;0;0;0;0;0
2020-09-25 16:30:00;2;0;171;9;13;186;0;2;0;0;1;0;1;0
2020-09-25 16:45:00;3;0;169;15;18;200;0;2;0;0;0;0;3;0
2020-09-25 17:00:00;2;0;151;12;14;207;0;1;0;0;3;0;4;0
2020-09-25 17:15:00;7;0;178;7;14;203;0;2;0;0;0;0;0;0
2020-09-25 17:30:00;1;0;165;8;14;193;0;1;0;0;0;0;0;0
2020-09-25 17:45:00;1;0;151;10;11;175;0;0;0;0;0;0;0;0
2020-09-25 18:00:00;6;0;144;13;27;219;0;1;0;0;0;0;0;0
2020-09-25 18:15:00;3;0;128;4;13;173;0;2;0;0;0;0;1;0
2020-09-25 18:30:00;4;0;155;5;7;181;0;1;0;0;0;0;0;0
2020-09-25 18:45:00;1;0;132;7;16;173;0;0;0;0;1;0;0;0
2020-09-25 19:00:00;4;0;114;9;16;153;0;2;0;0;0;0;0;0
2020-09-25 19:15:00;3;0;107;5;11;154;0;3;0;0;0;0;1;0
2020-09-25 19:30:00;2;0;93;6;14;148;0;1;0;0;1;0;1;0
2020-09-25 19:45:00;3;0;107;6;11;106;0;2;0;0;1;0;0;0
2020-09-25 20:00:00;4;0;76;6;8;109;0;1;0;0;0;0;0;0
2020-09-25 20:15:00;1;0;55;4;10;113;0;0;0;0;2;0;0;0
2020-09-25 20:30:00;0;0;59;3;7;79;0;0;0;0;3;0;0;0
2020-09-25 20:45:00;0;0;77;4;5;84;0;0;0;0;0;0;0;0
2020-09-25 21:00:00;1;0;113;3;4;85;0;0;0;0;0;0;0;0
2020-09-25 21:15:00;0;0;92;11;12;78;0;2;0;0;0;0;1;0
2020-09-25 21:30:00;0;0;50;1;2;76;0;0;0;0;0;0;0;0
2020-09-25 21:45:00;0;0;46;4;5;108;0;0;0;0;0;0;0;0
2020-09-25 22:00:00;2;0;29;5;6;125;0;0;0;0;0;0;0;0
2020-09-25 22:15:00;0;0;46;9;14;101;0;0;0;0;0;0;0;0
2020-09-25 22:30:00;4;0;42;1;5;65;0;0;0;0;0;0;0;0
2020-09-25 22:45:00;2;0;25;3;3;48;0;0;0;0;0;0;0;0
2020-09-25 23:00:00;0;0;20;1;2;38;0;0;0;0;0;0;0;0
2020-09-25 23:15:00;0;0;25;3;6;56;0;0;0;0;0;0;0;0
2020-09-25 23:30:00;1;0;13;3;4;41;0;0;0;0;0;0;0;0
2020-09-25 23:45:00;2;0;14;1;2;36;0;0;0;0;0;0;0;0
