DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(DCL1);6(DDR1);7(DDL1)
2019-08-12 00:00:00;21;9;20;7;6;4;2
2019-08-12 00:15:00;10;7;19;5;0;4;0
2019-08-12 00:30:00;20;13;14;7;4;3;2
2019-08-12 00:45:00;15;6;12;6;2;2;7
2019-08-12 01:00:00;10;4;11;2;1;1;1
2019-08-12 01:15:00;10;7;6;3;4;1;5
2019-08-12 01:30:00;13;4;13;0;2;3;2
2019-08-12 01:45:00;14;9;14;1;2;4;6
2019-08-12 02:00:00;2;4;11;3;3;2;0
2019-08-12 02:15:00;8;4;10;2;0;1;2
2019-08-12 02:30:00;6;8;3;1;3;4;4
2019-08-12 02:45:00;8;3;9;2;3;11;4
2019-08-12 03:00:00;8;3;7;5;4;7;0
2019-08-12 03:15:00;11;5;4;3;3;5;5
2019-08-12 03:30:00;7;2;7;3;1;8;2
2019-08-12 03:45:00;12;6;9;2;5;5;1
2019-08-12 04:00:00;2;6;11;2;4;3;5
2019-08-12 04:15:00;8;4;14;4;3;2;0
2019-08-12 04:30:00;11;6;19;6;1;5;4
2019-08-12 04:45:00;9;10;33;8;1;0;1
2019-08-12 05:00:00;17;14;34;7;2;3;1
2019-08-12 05:15:00;17;13;66;22;1;0;0
2019-08-12 05:30:00;41;20;97;49;2;2;0
2019-08-12 05:45:00;44;35;99;54;1;0;0
2019-08-12 06:00:00;47;21;93;44;3;2;0
2019-08-12 06:15:00;70;39;123;58;3;0;1
2019-08-12 06:30:00;101;35;146;81;6;0;1
2019-08-12 06:45:00;85;56;144;74;9;1;0
2019-08-12 07:00:00;110;54;160;77;4;0;2
2019-08-12 07:15:00;126;74;163;86;11;3;0
2019-08-12 07:30:00;136;64;160;91;8;0;1
2019-08-12 07:45:00;144;80;159;88;14;2;2
2019-08-12 08:00:00;126;85;158;81;13;1;0
2019-08-12 08:15:00;109;75;147;74;13;0;0
2019-08-12 08:30:00;128;68;154;72;9;0;0
2019-08-12 08:45:00;112;72;145;89;12;1;0
2019-08-12 09:00:00;123;76;134;84;10;2;1
2019-08-12 09:15:00;120;73;129;72;10;0;0
2019-08-12 09:30:00;112;93;142;83;7;2;0
2019-08-12 09:45:00;147;102;170;90;13;1;0
2019-08-12 10:00:00;120;89;138;66;8;2;1
2019-08-12 10:15:00;135;101;166;70;10;2;2
2019-08-12 10:30:00;119;87;158;85;6;1;1
2019-08-12 10:45:00;146;117;160;72;8;2;5
2019-08-12 11:00:00;137;96;144;86;9;0;2
2019-08-12 11:15:00;150;97;143;70;12;2;1
2019-08-12 11:30:00;141;98;163;76;6;3;6
2019-08-12 11:45:00;134;112;147;62;11;2;2
2019-08-12 12:00:00;129;100;159;75;9;8;5
2019-08-12 12:15:00;157;118;143;84;11;6;5
2019-08-12 12:30:00;156;102;133;77;12;7;3
2019-08-12 12:45:00;119;97;153;78;5;3;2
2019-08-12 13:00:00;129;94;149;88;16;2;1
2019-08-12 13:15:00;129;96;159;87;10;2;1
2019-08-12 13:30:00;140;106;147;86;9;1;3
2019-08-12 13:45:00;162;107;152;83;13;4;1
2019-08-12 14:00:00;154;124;159;76;11;1;0
2019-08-12 14:15:00;124;116;147;76;8;2;2
2019-08-12 14:30:00;164;120;159;89;11;2;6
2019-08-12 14:45:00;166;134;144;77;12;3;1
2019-08-12 15:00:00;166;118;171;84;8;3;2
2019-08-12 15:15:00;170;127;143;79;10;2;1
2019-08-12 15:30:00;195;138;158;90;19;6;7
2019-08-12 15:45:00;167;127;187;96;9;3;1
2019-08-12 16:00:00;191;117;181;109;12;8;7
2019-08-12 16:15:00;225;157;161;123;11;7;8
2019-08-12 16:30:00;195;140;184;100;12;5;5
2019-08-12 16:45:00;199;135;156;84;12;4;4
2019-08-12 17:00:00;198;149;173;116;16;5;3
2019-08-12 17:15:00;194;159;153;102;12;3;4
2019-08-12 17:30:00;184;134;168;88;9;4;3
2019-08-12 17:45:00;170;102;171;99;8;6;3
2019-08-12 18:00:00;189;135;164;75;6;0;4
2019-08-12 18:15:00;154;129;158;82;7;3;1
2019-08-12 18:30:00;174;116;139;78;9;4;1
2019-08-12 18:45:00;147;82;131;60;5;2;2
2019-08-12 19:00:00;119;67;123;60;7;4;0
2019-08-12 19:15:00;108;67;113;52;2;0;0
2019-08-12 19:30:00;111;58;92;57;4;1;1
2019-08-12 19:45:00;94;62;113;38;6;1;0
2019-08-12 20:00:00;65;59;95;49;1;2;1
2019-08-12 20:15:00;109;65;87;47;8;1;0
2019-08-12 20:30:00;57;41;82;25;2;0;0
2019-08-12 20:45:00;65;44;78;40;1;1;1
2019-08-12 21:00:00;49;42;83;26;1;0;0
2019-08-12 21:15:00;62;36;67;38;2;0;1
2019-08-12 21:30:00;60;34;48;20;4;1;0
2019-08-12 21:45:00;53;34;61;31;6;2;1
2019-08-12 22:00:00;40;44;41;35;4;1;2
2019-08-12 22:15:00;59;30;42;16;1;0;1
2019-08-12 22:30:00;35;24;34;17;1;0;1
2019-08-12 22:45:00;40;28;35;14;5;0;0
2019-08-12 23:00:00;24;22;34;12;4;2;3
2019-08-12 23:15:00;31;20;47;8;2;0;2
2019-08-12 23:30:00;17;17;21;9;2;0;1
2019-08-12 23:45:00;21;12;20;5;4;3;3
