DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(DCL1);6(DDR1);7(DDL1)
2020-10-12 00:00:00;10;5;9;1;3;3;1
2020-10-12 00:15:00;10;5;18;5;2;8;5
2020-10-12 00:30:00;9;3;11;1;3;3;0
2020-10-12 00:45:00;7;2;8;3;3;5;4
2020-10-12 01:00:00;9;2;10;2;2;0;3
2020-10-12 01:15:00;3;4;7;0;2;0;2
2020-10-12 01:30:00;6;5;7;2;6;4;3
2020-10-12 01:45:00;9;1;8;3;5;2;3
2020-10-12 02:00:00;8;1;8;2;2;3;4
2020-10-12 02:15:00;3;0;9;1;1;6;3
2020-10-12 02:30:00;3;0;4;1;1;3;3
2020-10-12 02:45:00;6;1;6;1;2;4;3
2020-10-12 03:00:00;9;4;7;1;3;5;1
2020-10-12 03:15:00;5;1;6;2;3;6;2
2020-10-12 03:30:00;5;1;7;1;4;4;3
2020-10-12 03:45:00;6;3;5;0;2;2;2
2020-10-12 04:00:00;5;5;12;0;2;4;3
2020-10-12 04:15:00;10;4;10;2;3;2;5
2020-10-12 04:30:00;16;9;23;6;1;3;2
2020-10-12 04:45:00;19;11;47;10;3;3;3
2020-10-12 05:00:00;28;16;73;18;3;3;0
2020-10-12 05:15:00;31;24;114;28;1;3;0
2020-10-12 05:30:00;39;28;117;60;0;0;0
2020-10-12 05:45:00;62;32;117;46;0;0;0
2020-10-12 06:00:00;56;44;106;48;0;0;0
2020-10-12 06:15:00;78;52;145;65;1;0;0
2020-10-12 06:30:00;97;58;174;87;4;1;2
2020-10-12 06:45:00;132;66;180;103;6;1;1
2020-10-12 07:00:00;147;68;138;92;9;0;0
2020-10-12 07:15:00;198;119;190;115;15;1;0
2020-10-12 07:30:00;155;185;228;133;25;3;0
2020-10-12 07:45:00;158;148;201;131;26;0;0
2020-10-12 08:00:00;168;112;195;105;19;0;0
2020-10-12 08:15:00;141;84;192;89;17;1;0
2020-10-12 08:30:00;146;96;178;102;14;2;2
2020-10-12 08:45:00;134;91;152;91;13;0;0
2020-10-12 09:00:00;119;80;158;71;19;1;4
2020-10-12 09:15:00;135;81;153;60;7;3;0
2020-10-12 09:30:00;101;81;131;67;5;1;1
2020-10-12 09:45:00;147;96;183;104;12;3;0
2020-10-12 10:00:00;113;72;147;73;8;2;0
2020-10-12 10:15:00;140;98;157;93;4;2;0
2020-10-12 10:30:00;139;112;197;92;9;1;1
2020-10-12 10:45:00;151;121;166;74;9;1;0
2020-10-12 11:00:00;135;96;152;79;10;1;2
2020-10-12 11:15:00;151;105;173;80;6;2;0
2020-10-12 11:30:00;131;131;168;86;10;3;0
2020-10-12 11:45:00;140;105;164;87;13;2;1
2020-10-12 12:00:00;127;89;144;69;11;2;0
2020-10-12 12:15:00;142;113;167;74;8;3;4
2020-10-12 12:30:00;148;109;164;97;11;3;4
2020-10-12 12:45:00;157;124;173;88;12;2;2
2020-10-12 13:00:00;149;109;197;98;12;2;4
2020-10-12 13:15:00;160;102;191;102;9;1;3
2020-10-12 13:30:00;162;90;179;91;8;2;3
2020-10-12 13:45:00;146;117;171;97;8;2;5
2020-10-12 14:00:00;160;107;186;82;11;1;1
2020-10-12 14:15:00;185;118;167;90;13;1;1
2020-10-12 14:30:00;188;125;172;89;6;0;2
2020-10-12 14:45:00;178;160;170;102;7;2;3
2020-10-12 15:00:00;163;126;154;99;5;1;4
2020-10-12 15:15:00;210;127;194;94;11;0;0
2020-10-12 15:30:00;205;148;187;112;18;6;2
2020-10-12 15:45:00;179;141;212;121;10;5;4
2020-10-12 16:00:00;199;149;218;130;13;4;4
2020-10-12 16:15:00;218;158;217;122;17;5;4
2020-10-12 16:30:00;206;136;177;89;11;6;5
2020-10-12 16:45:00;217;159;192;106;12;2;1
2020-10-12 17:00:00;207;161;201;100;17;3;5
2020-10-12 17:15:00;224;149;178;101;7;3;5
2020-10-12 17:30:00;179;147;198;102;12;2;7
2020-10-12 17:45:00;204;138;192;108;8;1;2
2020-10-12 18:00:00;158;125;178;103;13;5;4
2020-10-12 18:15:00;193;115;170;89;12;5;3
2020-10-12 18:30:00;165;103;138;88;8;5;3
2020-10-12 18:45:00;135;79;149;84;3;8;4
2020-10-12 19:00:00;113;93;137;50;5;0;0
2020-10-12 19:15:00;90;64;138;52;4;0;1
2020-10-12 19:30:00;95;63;102;44;5;1;0
2020-10-12 19:45:00;91;69;98;43;5;1;0
2020-10-12 20:00:00;77;48;93;49;2;1;0
2020-10-12 20:15:00;89;53;100;51;7;1;0
2020-10-12 20:30:00;57;39;94;29;1;0;0
2020-10-12 20:45:00;67;36;92;37;2;0;1
2020-10-12 21:00:00;48;36;74;37;2;0;1
2020-10-12 21:15:00;60;32;97;35;1;0;0
2020-10-12 21:30:00;43;28;46;29;4;0;2
2020-10-12 21:45:00;61;54;62;20;8;0;0
2020-10-12 22:00:00;64;63;57;21;6;2;4
2020-10-12 22:15:00;57;43;55;22;5;0;1
2020-10-12 22:30:00;42;16;34;14;2;0;0
2020-10-12 22:45:00;31;17;33;7;4;1;1
2020-10-12 23:00:00;14;13;22;3;1;1;2
2020-10-12 23:15:00;25;11;35;12;1;2;1
2020-10-12 23:30:00;13;7;19;5;6;2;2
2020-10-12 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
