DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(DCL1);6(DDR1);7(DDL1)
2020-09-28 00:00:00;14;3;15;3;4;2;1
2020-09-28 00:15:00;25;4;5;3;5;12;2
2020-09-28 00:30:00;12;3;5;3;0;3;4
2020-09-28 00:45:00;14;4;8;2;4;1;4
2020-09-28 01:00:00;10;4;3;0;1;2;1
2020-09-28 01:15:00;8;3;7;2;0;1;5
2020-09-28 01:30:00;7;1;8;2;4;3;2
2020-09-28 01:45:00;3;3;6;0;4;4;2
2020-09-28 02:00:00;2;1;6;3;4;3;4
2020-09-28 02:15:00;9;2;11;1;4;4;1
2020-09-28 02:30:00;6;2;10;0;0;2;4
2020-09-28 02:45:00;5;1;7;2;3;6;2
2020-09-28 03:00:00;9;2;5;1;1;6;1
2020-09-28 03:15:00;7;2;13;2;4;1;3
2020-09-28 03:30:00;8;2;6;0;3;7;5
2020-09-28 03:45:00;3;1;6;0;2;5;2
2020-09-28 04:00:00;11;6;8;2;3;3;4
2020-09-28 04:15:00;8;9;15;3;1;1;0
2020-09-28 04:30:00;11;5;16;5;4;2;5
2020-09-28 04:45:00;21;12;40;7;3;1;1
2020-09-28 05:00:00;18;11;61;18;3;3;2
2020-09-28 05:15:00;37;25;109;30;1;1;1
2020-09-28 05:30:00;44;26;104;45;0;0;0
2020-09-28 05:45:00;58;42;109;65;1;0;0
2020-09-28 06:00:00;64;28;102;44;1;0;0
2020-09-28 06:15:00;65;42;141;73;5;1;1
2020-09-28 06:30:00;112;63;176;100;7;0;0
2020-09-28 06:45:00;124;68;168;89;7;0;1
2020-09-28 07:00:00;155;92;175;102;12;1;1
2020-09-28 07:15:00;218;123;161;102;17;0;1
2020-09-28 07:30:00;173;152;208;121;29;3;0
2020-09-28 07:45:00;151;150;199;121;44;0;2
2020-09-28 08:00:00;142;102;193;115;16;0;0
2020-09-28 08:15:00;127;84;167;77;8;2;1
2020-09-28 08:30:00;145;104;173;95;17;1;0
2020-09-28 08:45:00;166;129;144;73;13;4;3
2020-09-28 09:00:00;133;87;127;73;6;1;0
2020-09-28 09:15:00;121;92;125;66;5;0;0
2020-09-28 09:30:00;102;84;145;70;7;1;0
2020-09-28 09:45:00;142;102;165;85;12;2;2
2020-09-28 10:00:00;114;68;152;76;10;1;0
2020-09-28 10:15:00;131;97;158;86;16;4;2
2020-09-28 10:30:00;140;101;152;96;11;0;0
2020-09-28 10:45:00;139;122;167;86;12;4;1
2020-09-28 11:00:00;134;96;152;84;10;1;1
2020-09-28 11:15:00;143;96;173;91;6;1;1
2020-09-28 11:30:00;132;96;151;82;9;2;1
2020-09-28 11:45:00;143;100;157;82;5;1;1
2020-09-28 12:00:00;164;97;154;101;14;3;2
2020-09-28 12:15:00;147;97;147;94;12;4;3
2020-09-28 12:30:00;141;85;151;78;7;4;7
2020-09-28 12:45:00;157;114;137;72;13;4;2
2020-09-28 13:00:00;150;98;184;92;8;3;3
2020-09-28 13:15:00;165;112;186;124;14;1;4
2020-09-28 13:30:00;154;137;174;101;13;2;2
2020-09-28 13:45:00;168;118;181;98;19;1;0
2020-09-28 14:00:00;168;106;149;78;11;3;1
2020-09-28 14:15:00;159;113;167;79;8;1;2
2020-09-28 14:30:00;176;126;163;76;16;0;1
2020-09-28 14:45:00;180;128;158;84;14;2;2
2020-09-28 15:00:00;177;134;187;100;13;3;4
2020-09-28 15:15:00;188;125;177;81;13;2;0
2020-09-28 15:30:00;182;132;167;103;8;5;3
2020-09-28 15:45:00;203;142;185;107;15;1;1
2020-09-28 16:00:00;194;121;200;115;18;2;4
2020-09-28 16:15:00;201;153;180;114;12;4;4
2020-09-28 16:30:00;208;165;182;109;10;4;2
2020-09-28 16:45:00;198;178;195;104;16;4;1
2020-09-28 17:00:00;195;153;220;88;10;5;3
2020-09-28 17:15:00;231;153;184;109;21;2;2
2020-09-28 17:30:00;210;159;172;105;12;6;7
2020-09-28 17:45:00;209;146;171;101;13;1;5
2020-09-28 18:00:00;183;109;186;101;12;7;2
2020-09-28 18:15:00;167;111;166;103;10;4;1
2020-09-28 18:30:00;147;105;145;76;12;5;3
2020-09-28 18:45:00;145;109;124;69;7;3;2
2020-09-28 19:00:00;129;94;121;57;12;1;2
2020-09-28 19:15:00;103;80;138;55;5;1;0
2020-09-28 19:30:00;89;69;104;48;3;1;0
2020-09-28 19:45:00;89;59;108;54;5;2;0
2020-09-28 20:00:00;91;61;104;45;6;1;0
2020-09-28 20:15:00;104;52;98;39;3;0;0
2020-09-28 20:30:00;58;31;74;35;4;0;0
2020-09-28 20:45:00;60;54;92;37;3;0;0
2020-09-28 21:00:00;63;34;77;33;2;0;1
2020-09-28 21:15:00;48;34;107;35;1;0;0
2020-09-28 21:30:00;51;31;58;27;0;0;2
2020-09-28 21:45:00;67;49;45;28;7;0;1
2020-09-28 22:00:00;67;56;62;29;7;2;1
2020-09-28 22:15:00;51;43;59;25;4;0;0
2020-09-28 22:30:00;34;15;43;12;0;3;0
2020-09-28 22:45:00;26;17;38;5;0;0;1
2020-09-28 23:00:00;25;18;28;9;1;0;2
2020-09-28 23:15:00;22;12;21;7;2;2;2
2020-09-28 23:30:00;14;7;23;5;5;1;0
2020-09-28 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
