DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC3);7(DD12);8(TAFBB);9(TAFBC);10(TAFBD);11(TARDB);12(TARDD)
2019-10-31 00:00:00;8;7;10;0;0;3;0;0;0;0;0;0
2019-10-31 00:15:00;2;4;21;7;5;9;0;0;0;0;0;0
2019-10-31 00:30:00;6;9;14;0;0;7;0;0;0;0;0;0
2019-10-31 00:45:00;0;0;6;2;1;4;0;0;0;0;0;0
2019-10-31 01:00:00;3;3;9;1;0;4;0;0;0;0;0;0
2019-10-31 01:15:00;2;4;12;0;0;5;0;0;0;0;0;0
2019-10-31 01:30:00;2;5;7;0;0;1;0;0;0;0;0;0
2019-10-31 01:45:00;0;0;4;0;0;4;0;0;0;0;0;0
2019-10-31 02:00:00;2;6;11;0;0;2;0;0;0;0;0;0
2019-10-31 02:15:00;1;1;6;0;0;4;0;0;0;0;0;0
2019-10-31 02:30:00;2;4;8;0;0;1;0;0;0;0;0;0
2019-10-31 02:45:00;0;0;3;0;0;2;0;0;0;0;0;0
2019-10-31 03:00:00;2;3;7;0;0;1;0;0;0;0;0;0
2019-10-31 03:15:00;1;1;4;0;0;3;0;0;0;0;0;0
2019-10-31 03:30:00;0;1;6;0;0;3;0;0;0;0;0;0
2019-10-31 03:45:00;0;0;1;1;1;0;0;0;0;0;0;0
2019-10-31 04:00:00;1;2;8;0;0;4;0;0;0;0;0;0
2019-10-31 04:15:00;0;0;2;0;0;2;0;0;0;0;0;0
2019-10-31 04:30:00;0;0;2;0;0;2;0;0;0;0;0;0
2019-10-31 04:45:00;4;4;2;0;0;2;1;0;0;0;0;0
2019-10-31 05:00:00;4;3;6;0;1;4;0;0;0;0;0;0
2019-10-31 05:15:00;8;8;9;0;1;5;0;0;0;0;0;0
2019-10-31 05:30:00;10;10;19;2;3;9;0;0;0;0;0;0
2019-10-31 05:45:00;15;14;26;0;4;14;0;0;0;0;0;0
2019-10-31 06:00:00;19;18;30;1;7;15;0;0;0;0;0;0
2019-10-31 06:15:00;20;25;41;8;5;19;0;0;0;0;0;0
2019-10-31 06:30:00;30;30;43;12;9;23;0;0;0;0;0;0
2019-10-31 06:45:00;36;41;55;18;6;35;0;0;0;0;0;0
2019-10-31 07:00:00;36;60;68;29;8;25;0;0;0;0;0;0
2019-10-31 07:15:00;42;71;74;42;5;40;0;0;0;0;0;0
2019-10-31 07:30:00;62;54;79;14;10;45;0;0;0;0;0;0
2019-10-31 07:45:00;55;55;74;16;7;42;1;0;1;0;0;0
2019-10-31 08:00:00;55;48;76;21;8;37;0;0;0;0;0;0
2019-10-31 08:15:00;61;52;82;13;4;53;2;0;3;0;0;0
2019-10-31 08:30:00;50;60;80;17;10;48;0;0;0;0;0;0
2019-10-31 08:45:00;66;67;104;15;5;58;0;0;0;0;0;0
2019-10-31 09:00:00;44;41;67;8;8;37;0;0;1;0;0;0
2019-10-31 09:15:00;49;43;86;10;9;59;0;2;0;0;0;0
2019-10-31 09:30:00;53;38;85;13;8;58;0;0;2;0;0;0
2019-10-31 09:45:00;46;49;91;13;6;66;0;0;1;0;0;0
