DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC3);7(DD12);8(TAFBB);9(TAFBC);10(TAFBD);11(TARDB);12(TARDD)
2020-12-25 00:00:00;1;2;4;0;1;3;0;0;0;0;0;0
2020-12-25 00:15:00;1;1;1;0;5;0;0;0;0;0;0;0
2020-12-25 00:30:00;0;0;1;0;0;1;0;0;0;0;0;0
2020-12-25 00:45:00;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-25 01:00:00;1;0;0;0;0;0;0;0;0;0;0;0
2020-12-25 01:15:00;0;0;1;0;0;1;0;0;0;0;0;0
2020-12-25 01:30:00;0;0;1;0;0;1;0;0;0;0;0;0
2020-12-25 01:45:00;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-25 02:00:00;0;1;1;0;0;0;0;0;0;0;0;0
2020-12-25 02:15:00;0;1;2;0;0;1;0;0;0;0;0;0
2020-12-25 02:30:00;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-25 02:45:00;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-25 03:00:00;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-25 03:15:00;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-25 03:30:00;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-25 03:45:00;1;1;0;0;0;0;0;0;0;0;0;0
2020-12-25 04:00:00;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-25 04:15:00;0;0;1;0;3;2;0;0;0;0;0;0
2020-12-25 04:30:00;0;0;1;0;0;0;1;0;0;0;0;0
2020-12-25 04:45:00;0;0;0;0;1;0;0;0;0;0;0;0
2020-12-25 05:00:00;3;3;2;0;0;0;0;0;0;0;0;0
2020-12-25 05:15:00;1;2;1;0;3;0;0;0;0;0;0;0
2020-12-25 05:30:00;2;3;3;0;0;0;0;0;0;0;0;0
2020-12-25 05:45:00;0;0;1;0;1;1;0;0;0;0;0;0
2020-12-25 06:00:00;3;5;6;0;0;3;0;0;0;0;0;0
2020-12-25 06:15:00;0;0;3;0;2;3;0;0;0;0;0;0
2020-12-25 06:30:00;3;3;7;0;0;4;0;0;0;0;0;0
2020-12-25 06:45:00;2;0;2;1;1;2;0;0;0;0;0;0
2020-12-25 07:00:00;3;3;8;0;0;4;0;0;0;0;0;0
2020-12-25 07:15:00;1;1;3;0;2;2;0;0;0;0;0;0
2020-12-25 07:30:00;4;6;12;3;1;3;0;0;0;0;0;0
2020-12-25 07:45:00;6;6;9;0;1;4;0;0;0;0;0;0
2020-12-25 08:00:00;2;1;3;1;4;4;0;0;0;0;0;0
2020-12-25 08:15:00;2;3;4;1;0;1;0;0;0;0;0;0
2020-12-25 08:30:00;3;6;7;1;3;4;0;0;0;0;0;0
2020-12-25 08:45:00;5;7;8;0;0;2;0;0;0;0;0;0
2020-12-25 09:00:00;5;3;7;1;3;5;0;0;0;0;0;0
2020-12-25 09:15:00;4;6;14;0;0;8;0;0;0;0;0;0
2020-12-25 09:30:00;5;6;8;2;5;6;0;0;0;0;0;0
2020-12-25 09:45:00;8;12;15;0;0;5;0;0;1;0;0;0
2020-12-25 10:00:00;4;6;12;2;5;12;0;0;0;0;0;0
2020-12-25 10:15:00;5;6;12;1;0;6;0;0;0;0;0;0
2020-12-25 10:30:00;4;6;20;2;3;14;0;0;0;0;0;0
2020-12-25 10:45:00;11;14;28;0;0;18;0;0;1;0;0;0
2020-12-25 11:00:00;8;7;27;2;4;28;0;0;0;0;0;0
2020-12-25 11:15:00;16;16;26;1;0;14;0;0;1;0;0;0
2020-12-25 11:30:00;7;9;25;2;4;17;0;0;0;0;0;0
2020-12-25 11:45:00;8;10;29;3;2;25;0;0;0;0;0;0
2020-12-25 12:00:00;8;9;17;2;4;12;0;0;0;0;0;0
2020-12-25 12:15:00;11;9;32;1;2;22;0;0;0;0;0;0
2020-12-25 12:30:00;11;9;29;2;4;21;0;0;0;0;0;0
2020-12-25 12:45:00;6;11;30;3;0;18;0;0;0;0;0;0
2020-12-25 13:00:00;5;14;23;2;4;17;0;0;0;0;0;0
2020-12-25 13:15:00;7;11;30;5;0;24;0;0;0;0;0;0
2020-12-25 13:30:00;12;9;22;2;5;16;0;0;0;0;0;0
2020-12-25 13:45:00;13;18;29;9;0;18;0;0;0;0;0;0
2020-12-25 14:00:00;13;13;23;2;4;17;0;0;0;0;0;0
2020-12-25 14:15:00;9;10;25;3;0;16;0;0;0;0;0;0
2020-12-25 14:30:00;7;13;25;4;4;13;0;0;0;0;0;0
2020-12-25 14:45:00;9;13;29;5;0;21;0;0;0;0;0;0
2020-12-25 15:00:00;11;10;35;10;4;26;0;0;0;4;0;0
2020-12-25 15:15:00;7;14;33;5;0;19;0;0;0;0;0;0
2020-12-25 15:30:00;6;14;28;5;5;22;1;0;1;0;0;0
2020-12-25 15:45:00;9;18;34;5;0;24;0;0;0;0;0;0
2020-12-25 16:00:00;13;20;41;6;4;37;0;0;0;0;0;0
2020-12-25 16:15:00;10;17;34;7;0;26;0;0;0;0;0;0
2020-12-25 16:30:00;8;15;37;6;3;26;0;0;0;2;0;0
2020-12-25 16:45:00;6;17;44;5;0;28;0;0;0;0;0;0
2020-12-25 17:00:00;10;16;30;2;4;18;0;13;0;0;0;0
2020-12-25 17:15:00;10;13;32;2;1;25;0;2;2;0;0;0
2020-12-25 17:30:00;5;13;24;6;6;12;0;0;0;0;0;0
2020-12-25 17:45:00;6;13;35;2;0;22;0;0;0;0;0;0
