DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC3);7(DD12);8(TAFBB);9(TAFBC);10(TAFBD);11(TARDB);12(TARDD)
2020-02-15 00:00:00;7;16;34;4;0;20;0;0;0;0;0;0
2020-02-15 00:15:00;6;14;34;1;6;21;0;0;0;0;0;0
2020-02-15 00:30:00;3;13;31;4;0;19;0;0;0;0;0;0
2020-02-15 00:45:00;4;12;23;0;1;14;0;0;0;0;0;0
2020-02-15 01:00:00;7;15;22;1;1;11;0;0;0;0;0;0
2020-02-15 01:15:00;1;6;19;0;3;15;0;0;0;0;0;0
2020-02-15 01:30:00;1;6;21;4;2;14;0;0;0;0;0;0
2020-02-15 01:45:00;0;7;10;0;1;4;0;0;0;0;0;0
2020-02-15 02:00:00;7;13;23;0;0;10;0;0;0;0;0;0
2020-02-15 02:15:00;1;4;8;0;3;7;0;0;0;0;0;0
2020-02-15 02:30:00;2;3;9;0;1;10;0;0;0;0;0;0
2020-02-15 02:45:00;1;4;8;0;1;3;0;0;0;0;0;0
2020-02-15 03:00:00;4;8;13;3;0;6;0;0;0;0;0;0
2020-02-15 03:15:00;3;11;23;0;3;14;0;0;0;0;0;0
2020-02-15 03:30:00;1;4;7;2;0;5;0;0;0;0;0;0
2020-02-15 03:45:00;2;4;7;1;1;4;0;0;0;0;0;0
2020-02-15 04:00:00;7;14;17;2;0;5;0;0;0;0;0;0
2020-02-15 04:15:00;2;4;6;0;0;5;0;0;0;0;0;0
2020-02-15 04:30:00;4;9;12;0;0;6;0;0;0;0;0;0
2020-02-15 04:45:00;1;5;9;0;0;4;0;0;0;0;0;0
2020-02-15 05:00:00;4;9;13;0;2;6;0;0;0;0;0;0
2020-02-15 05:15:00;7;7;17;3;1;12;0;0;0;0;0;0
2020-02-15 05:30:00;6;8;12;0;0;10;0;0;0;0;0;0
2020-02-15 05:45:00;4;8;14;0;0;8;0;0;0;0;0;0
2020-02-15 06:00:00;5;8;15;0;0;11;0;0;0;0;0;0
2020-02-15 06:15:00;5;13;17;0;3;10;0;0;0;0;0;0
2020-02-15 06:30:00;13;13;14;4;1;8;0;0;0;0;0;0
2020-02-15 06:45:00;7;13;22;7;3;12;0;0;0;0;0;0
2020-02-15 07:00:00;16;22;24;9;5;16;0;0;0;0;0;0
2020-02-15 07:15:00;14;32;39;24;5;21;0;0;0;0;0;0
2020-02-15 07:30:00;14;50;58;42;4;22;0;0;0;0;0;0
2020-02-15 07:45:00;28;58;62;42;6;32;0;0;0;0;0;0
2020-02-15 08:00:00;17;30;37;22;5;19;0;0;0;0;0;0
2020-02-15 08:15:00;18;30;41;22;5;20;0;0;0;0;0;0
2020-02-15 08:30:00;30;50;58;33;8;25;0;0;0;0;0;0
2020-02-15 08:45:00;44;57;86;48;8;46;0;0;0;0;0;0
2020-02-15 09:00:00;36;44;64;35;7;35;0;0;0;0;0;0
2020-02-15 09:15:00;46;47;71;33;5;42;1;0;1;0;0;0
2020-02-15 09:30:00;57;67;90;44;7;52;1;0;0;0;0;0
2020-02-15 09:45:00;55;63;81;36;2;42;1;0;0;2;0;0
2020-02-15 10:00:00;38;53;100;38;7;64;0;0;1;0;0;0
2020-02-15 10:15:00;51;59;83;34;4;64;0;0;2;0;0;0
2020-02-15 10:30:00;52;57;90;36;7;57;0;3;0;0;0;0
2020-02-15 10:45:00;54;67;97;48;4;71;0;0;0;0;0;0
