DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DB3);6(DB4);7(DC1);8(DC2);9(TAFBA);10(TAFBB);11(TAFBC)
2020-03-19 00:00:00;2;3;0;2;0;1;0;0;0;0;0
2020-03-19 00:15:00;1;3;0;7;0;0;1;0;0;0;0
2020-03-19 00:30:00;2;5;0;4;0;2;0;1;0;0;0
2020-03-19 00:45:00;1;1;0;4;0;1;0;1;0;0;0
2020-03-19 01:00:00;0;0;0;2;0;2;0;0;0;0;0
2020-03-19 01:15:00;0;1;0;0;0;0;0;0;0;0;0
2020-03-19 01:30:00;1;1;0;3;1;2;1;1;0;0;0
2020-03-19 01:45:00;0;1;0;1;0;1;2;2;0;0;0
2020-03-19 02:00:00;0;1;0;4;0;1;0;0;0;0;0
2020-03-19 02:15:00;0;1;0;0;0;0;0;1;0;0;0
2020-03-19 02:30:00;0;2;0;1;0;0;0;0;0;0;0
2020-03-19 02:45:00;0;1;0;0;0;0;0;0;0;0;0
2020-03-19 03:00:00;0;0;0;0;0;0;0;0;0;0;0
2020-03-19 03:15:00;1;1;0;0;0;0;0;0;0;0;0
2020-03-19 03:30:00;0;0;0;1;0;1;0;0;0;0;0
2020-03-19 03:45:00;0;2;0;2;0;1;0;0;0;0;0
2020-03-19 04:00:00;1;1;0;1;0;1;0;0;0;0;0
2020-03-19 04:15:00;0;1;0;1;1;1;0;0;0;0;0
2020-03-19 04:30:00;1;2;0;3;1;3;1;3;0;0;0
2020-03-19 04:45:00;2;0;0;2;1;2;0;3;0;0;0
2020-03-19 05:00:00;6;6;0;5;0;2;2;2;0;0;0
2020-03-19 05:15:00;5;3;0;2;1;1;2;4;0;0;0
2020-03-19 05:30:00;5;4;0;12;1;6;2;9;0;0;0
2020-03-19 05:45:00;15;24;0;12;1;5;3;6;0;0;0
2020-03-19 06:00:00;11;19;0;20;5;13;2;9;0;0;0
2020-03-19 06:15:00;34;32;0;25;8;22;5;22;0;1;0
2020-03-19 06:30:00;27;26;0;24;7;18;7;20;0;0;0
2020-03-19 06:45:00;38;27;0;29;9;22;5;17;0;0;0
2020-03-19 07:00:00;35;39;0;25;11;21;1;25;0;0;0
2020-03-19 07:15:00;50;42;0;32;9;21;4;15;1;0;0
2020-03-19 07:30:00;61;41;0;23;8;23;2;26;0;0;0
2020-03-19 07:45:00;60;62;0;40;9;36;7;20;0;0;0
2020-03-19 08:00:00;40;40;0;47;8;35;4;18;0;2;0
2020-03-19 08:15:00;41;39;0;50;15;34;1;19;0;0;0
2020-03-19 08:30:00;34;36;0;41;11;29;7;16;0;0;0
2020-03-19 08:45:00;39;44;0;52;2;44;4;10;0;0;0
2020-03-19 09:00:00;30;34;0;31;6;26;5;7;0;0;0
2020-03-19 09:15:00;35;32;0;44;9;38;5;15;1;0;0
2020-03-19 09:30:00;30;27;0;35;4;31;4;5;0;0;0
2020-03-19 09:45:00;33;43;0;46;4;30;7;12;0;0;0
2020-03-19 10:00:00;26;24;0;60;7;44;3;7;0;0;0
2020-03-19 10:15:00;37;41;0;39;6;37;7;13;0;0;0
2020-03-19 10:30:00;25;37;0;40;8;28;5;7;0;0;0
2020-03-19 10:45:00;33;40;0;48;5;38;4;15;0;0;0
2020-03-19 11:00:00;19;28;0;41;3;24;6;9;0;1;0
2020-03-19 11:15:00;30;33;0;54;7;32;0;10;0;0;0
2020-03-19 11:30:00;28;35;0;51;10;37;9;15;0;0;0
2020-03-19 11:45:00;26;37;0;45;1;38;3;10;0;1;0
2020-03-19 12:00:00;26;20;0;55;6;42;3;8;2;1;0
2020-03-19 12:15:00;23;35;0;43;5;36;5;17;0;0;0
2020-03-19 12:30:00;21;23;0;56;6;47;4;13;3;0;0
2020-03-19 12:45:00;33;31;0;54;5;37;5;18;0;0;0
2020-03-19 13:00:00;22;24;0;58;4;46;10;12;0;0;0
2020-03-19 13:15:00;25;24;0;51;8;40;6;16;2;0;0
2020-03-19 13:30:00;30;34;0;49;11;40;6;14;0;3;0
2020-03-19 13:45:00;29;39;0;42;6;30;6;9;0;0;0
2020-03-19 14:00:00;25;22;0;43;3;27;9;17;0;0;0
2020-03-19 14:15:00;30;37;0;50;6;31;6;14;0;0;0
2020-03-19 14:30:00;24;32;0;53;6;39;7;14;2;2;0
2020-03-19 14:45:00;33;41;0;53;5;39;9;17;0;2;0
2020-03-19 15:00:00;23;29;0;60;8;36;8;14;0;0;1
2020-03-19 15:15:00;27;40;0;51;7;38;6;17;12;3;0
2020-03-19 15:30:00;31;35;0;75;9;61;8;7;1;0;0
2020-03-19 15:45:00;36;38;0;58;8;43;11;17;0;42;0
2020-03-19 16:00:00;21;34;0;70;7;53;7;7;0;1;0
2020-03-19 16:15:00;32;37;0;70;13;51;7;11;0;0;0
2020-03-19 16:30:00;30;29;0;58;5;42;12;24;0;0;0
2020-03-19 16:45:00;34;41;0;51;5;32;10;27;0;7;0
2020-03-19 17:00:00;25;29;0;66;8;51;13;18;0;0;0
2020-03-19 17:15:00;20;23;0;56;6;41;11;20;0;3;0
2020-03-19 17:30:00;23;30;0;63;11;46;8;21;0;0;0
2020-03-19 17:45:00;34;34;0;54;7;45;12;22;0;0;0
2020-03-19 18:00:00;24;31;0;45;4;36;5;16;0;0;0
2020-03-19 18:15:00;30;26;0;60;9;34;10;34;0;0;0
2020-03-19 18:30:00;24;33;0;49;5;29;6;19;0;0;34
2020-03-19 18:45:00;15;23;0;33;5;23;6;15;0;0;0
2020-03-19 19:00:00;15;21;0;31;2;18;4;9;0;0;0
2020-03-19 19:15:00;15;27;0;31;4;19;3;6;0;0;0
2020-03-19 19:30:00;11;22;0;34;1;22;0;9;0;0;0
2020-03-19 19:45:00;16;20;0;25;2;17;2;5;0;0;0
2020-03-19 20:00:00;12;18;0;24;2;14;3;6;2;0;0
2020-03-19 20:15:00;11;15;0;14;2;14;0;6;0;0;0
2020-03-19 20:30:00;10;15;0;17;4;10;1;2;0;0;0
2020-03-19 20:45:00;6;8;0;20;2;12;3;5;0;0;0
2020-03-19 21:00:00;4;12;0;12;0;7;2;2;0;0;0
2020-03-19 21:15:00;2;5;0;16;2;10;3;9;0;0;0
2020-03-19 21:30:00;3;4;0;16;1;6;1;4;0;0;0
2020-03-19 21:45:00;7;8;0;9;1;5;0;3;0;0;0
2020-03-19 22:00:00;2;5;0;9;2;5;0;0;0;0;0
2020-03-19 22:15:00;4;5;0;14;0;8;3;6;0;0;0
2020-03-19 22:30:00;2;5;0;11;2;4;2;5;0;0;0
2020-03-19 22:45:00;6;13;0;5;1;4;0;0;0;0;0
2020-03-19 23:00:00;2;2;0;13;3;8;0;2;0;0;0
2020-03-19 23:15:00;3;3;0;4;1;2;0;0;0;0;0
2020-03-19 23:30:00;1;3;0;6;0;2;0;0;0;0;0
2020-03-19 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
