DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DB3);6(DB4);7(DC1);8(DC2);9(TAFBA);10(TAFBB);11(TAFBC)
2020-05-17 00:00:00;1;2;0;4;1;1;0;1;0;0;0
2020-05-17 00:15:00;2;2;0;10;0;2;0;1;0;0;0
2020-05-17 00:30:00;1;1;0;4;0;3;2;1;0;0;0
2020-05-17 00:45:00;0;5;0;3;1;2;0;1;0;0;0
2020-05-17 01:00:00;0;3;0;8;0;5;0;0;0;0;0
2020-05-17 01:15:00;0;4;0;2;0;2;1;1;0;0;0
2020-05-17 01:30:00;3;4;0;4;0;3;0;1;0;0;0
2020-05-17 01:45:00;0;1;0;4;0;1;0;0;0;0;0
2020-05-17 02:00:00;2;1;0;2;0;1;0;0;0;0;0
2020-05-17 02:15:00;2;3;0;6;0;5;0;1;0;0;0
2020-05-17 02:30:00;1;1;0;1;0;1;0;0;0;0;0
2020-05-17 02:45:00;2;2;0;3;0;2;1;1;0;0;0
2020-05-17 03:00:00;0;0;0;1;0;1;0;0;0;0;0
2020-05-17 03:15:00;0;0;0;0;0;0;0;0;0;0;0
2020-05-17 03:30:00;0;0;0;0;0;0;0;0;0;0;0
2020-05-17 03:45:00;0;0;0;0;0;0;0;0;0;0;0
2020-05-17 04:00:00;0;0;0;0;0;0;0;0;0;0;0
2020-05-17 04:15:00;0;1;0;5;0;2;0;0;0;0;0
2020-05-17 04:30:00;0;1;0;0;0;0;0;0;0;0;0
2020-05-17 04:45:00;0;0;0;3;0;0;0;0;0;0;0
2020-05-17 05:00:00;4;3;0;2;0;1;0;0;0;0;0
2020-05-17 05:15:00;1;2;0;5;0;1;0;2;0;0;0
2020-05-17 05:30:00;0;0;0;2;0;0;1;3;0;0;0
2020-05-17 05:45:00;0;1;0;2;0;1;0;0;0;0;0
2020-05-17 06:00:00;4;2;0;2;0;2;0;0;0;0;0
2020-05-17 06:15:00;1;0;0;5;0;2;0;0;0;0;0
2020-05-17 06:30:00;2;3;0;1;0;0;1;1;0;0;0
2020-05-17 06:45:00;2;1;0;6;0;4;0;0;0;0;0
2020-05-17 07:00:00;4;4;0;6;2;5;0;0;0;0;0
2020-05-17 07:15:00;6;2;0;13;2;8;0;4;0;0;0
2020-05-17 07:30:00;2;8;0;7;0;4;0;0;0;0;0
2020-05-17 07:45:00;7;7;0;7;0;5;2;2;0;0;0
2020-05-17 08:00:00;4;2;0;11;1;7;0;0;0;0;0
2020-05-17 08:15:00;4;8;0;5;0;3;0;3;0;0;0
2020-05-17 08:30:00;3;8;0;10;2;5;2;4;0;0;0
2020-05-17 08:45:00;6;12;0;8;1;6;1;7;0;0;0
2020-05-17 09:00:00;9;6;0;9;0;5;2;2;0;0;0
2020-05-17 09:15:00;14;10;0;15;1;9;2;6;0;0;0
2020-05-17 09:30:00;12;10;0;23;4;13;1;4;0;0;0
2020-05-17 09:45:00;13;16;0;16;1;13;7;2;0;0;0
2020-05-17 10:00:00;9;8;0;14;1;8;3;7;2;9;0
2020-05-17 10:15:00;14;19;0;19;2;10;4;8;0;0;0
2020-05-17 10:30:00;10;11;0;30;3;13;2;4;0;0;0
2020-05-17 10:45:00;11;13;0;15;2;10;4;10;0;0;0
2020-05-17 11:00:00;13;13;0;27;3;18;8;8;0;0;0
2020-05-17 11:15:00;18;15;0;22;3;10;2;7;0;0;0
2020-05-17 11:30:00;14;13;0;18;1;12;12;9;0;0;0
2020-05-17 11:45:00;13;17;0;24;1;17;5;10;2;0;0
2020-05-17 12:00:00;13;14;0;28;3;12;4;14;0;0;0
2020-05-17 12:15:00;19;16;0;33;2;21;3;14;0;0;0
2020-05-17 12:30:00;14;12;0;22;3;15;3;12;0;0;1
2020-05-17 12:45:00;20;19;0;35;3;27;7;14;0;0;0
2020-05-17 13:00:00;13;13;0;19;1;9;9;10;0;0;4
2020-05-17 13:15:00;14;16;0;33;5;18;5;8;0;0;0
2020-05-17 13:30:00;11;19;0;41;5;17;2;10;0;0;0
2020-05-17 13:45:00;23;26;0;32;3;23;14;15;0;0;0
2020-05-17 14:00:00;17;15;0;27;4;15;11;12;0;0;0
2020-05-17 14:15:00;22;23;0;29;3;15;7;13;0;0;0
2020-05-17 14:30:00;15;14;0;38;5;23;10;10;0;0;0
2020-05-17 14:45:00;18;15;0;36;4;23;10;15;0;12;0
2020-05-17 15:00:00;21;25;0;42;3;31;9;13;0;0;0
2020-05-17 15:15:00;18;16;0;41;6;30;6;14;0;2;0
2020-05-17 15:30:00;25;13;0;37;3;28;9;19;0;1;0
2020-05-17 15:45:00;17;20;0;45;5;26;5;12;0;2;0
2020-05-17 16:00:00;24;21;0;42;7;26;15;18;7;0;0
2020-05-17 16:15:00;26;21;0;38;2;20;17;20;2;0;0
2020-05-17 16:30:00;14;14;0;44;6;27;8;8;0;8;0
2020-05-17 16:45:00;30;25;0;31;1;17;14;10;1;0;9
2020-05-17 17:00:00;29;26;0;54;10;40;12;26;0;0;0
2020-05-17 17:15:00;18;17;0;41;3;18;10;20;0;0;0
2020-05-17 17:30:00;14;18;0;47;1;33;12;19;6;0;0
2020-05-17 17:45:00;21;20;0;36;4;19;7;11;0;2;0
2020-05-17 18:00:00;23;25;0;43;3;29;12;13;3;3;0
2020-05-17 18:15:00;28;24;0;49;5;38;14;15;0;5;0
2020-05-17 18:30:00;15;20;0;51;12;31;9;8;0;5;0
2020-05-17 18:45:00;17;21;0;42;8;36;9;16;0;0;0
2020-05-17 19:00:00;24;13;0;41;3;28;6;14;0;0;0
2020-05-17 19:15:00;9;14;0;26;6;19;4;17;0;0;0
2020-05-17 19:30:00;12;16;0;34;3;23;4;11;0;0;0
2020-05-17 19:45:00;15;17;0;39;2;23;12;14;0;0;0
2020-05-17 20:00:00;19;25;0;29;3;20;7;9;0;0;0
2020-05-17 20:15:00;18;18;0;31;3;20;3;15;14;0;0
2020-05-17 20:30:00;12;24;0;32;2;19;5;8;0;0;0
2020-05-17 20:45:00;15;24;0;21;4;15;6;8;0;0;0
2020-05-17 21:00:00;7;8;0;27;4;17;1;6;0;0;0
2020-05-17 21:15:00;9;17;0;11;1;7;2;2;0;0;0
2020-05-17 21:30:00;8;7;0;20;5;11;3;5;0;0;0
2020-05-17 21:45:00;13;15;0;15;8;10;3;7;0;0;0
2020-05-17 22:00:00;3;10;0;19;1;12;3;0;0;0;0
2020-05-17 22:15:00;7;12;0;12;1;8;0;3;0;0;0
2020-05-17 22:30:00;1;0;0;4;1;2;1;3;0;0;0
2020-05-17 22:45:00;7;5;0;7;1;4;1;1;0;0;0
2020-05-17 23:00:00;5;5;0;10;1;3;1;1;0;0;0
2020-05-17 23:15:00;2;3;0;6;1;4;0;2;0;0;0
2020-05-17 23:30:00;1;1;0;5;0;3;0;1;0;0;0
2020-05-17 23:45:00;5;6;0;2;1;1;0;1;0;0;0
