DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DB3);6(DB4);7(DC1);8(DC2);9(TAFBA);10(TAFBB);11(TAFBC)
2020-10-31 00:00:00;4;5;0;5;0;2;3;2;0;0;0
2020-10-31 00:15:00;5;3;0;15;2;10;2;2;0;0;0
2020-10-31 00:30:00;3;2;0;6;2;7;0;2;0;0;0
2020-10-31 00:45:00;1;4;0;6;1;4;1;2;0;0;0
2020-10-31 01:00:00;2;2;0;6;0;5;1;0;0;0;0
2020-10-31 01:15:00;0;1;0;3;0;2;0;1;0;0;0
2020-10-31 01:30:00;4;5;0;10;7;8;7;8;0;0;0
2020-10-31 01:45:00;2;6;0;0;0;0;0;0;0;0;0
2020-10-31 02:00:00;2;3;0;6;2;3;0;1;0;0;0
2020-10-31 02:15:00;1;4;0;3;0;2;1;1;0;0;0
2020-10-31 02:30:00;2;3;0;2;0;1;1;2;0;0;0
2020-10-31 02:45:00;1;1;0;2;0;1;1;0;0;0;0
2020-10-31 03:00:00;1;3;0;5;1;4;1;0;0;0;0
2020-10-31 03:15:00;0;1;0;2;1;1;1;1;0;0;0
2020-10-31 03:30:00;1;2;0;1;0;0;0;1;0;0;0
2020-10-31 03:45:00;0;0;0;2;0;1;2;0;0;0;0
2020-10-31 04:00:00;0;1;0;1;0;1;1;1;0;0;0
2020-10-31 04:15:00;1;1;0;3;0;2;1;0;0;0;0
2020-10-31 04:30:00;0;2;0;2;1;2;0;0;0;0;0
2020-10-31 04:45:00;1;0;0;1;0;1;0;0;0;0;0
2020-10-31 05:00:00;1;2;0;2;0;1;1;0;0;0;0
2020-10-31 05:15:00;5;6;0;5;0;5;2;3;0;0;0
2020-10-31 05:30:00;1;2;0;4;1;3;1;1;0;0;0
2020-10-31 05:45:00;4;6;0;3;0;1;2;0;0;0;0
2020-10-31 06:00:00;4;5;0;11;3;7;2;3;0;0;0
2020-10-31 06:15:00;8;8;0;9;2;7;0;3;0;0;0
2020-10-31 06:30:00;16;16;0;8;1;6;4;2;0;0;0
2020-10-31 06:45:00;16;10;0;20;2;13;5;3;0;0;0
2020-10-31 07:00:00;10;15;0;12;1;7;4;2;0;0;0
2020-10-31 07:15:00;21;29;0;19;1;11;2;2;0;0;0
2020-10-31 07:30:00;28;30;0;29;0;17;4;3;0;0;0
2020-10-31 07:45:00;28;30;0;26;1;18;1;0;2;0;0
2020-10-31 08:00:00;22;16;0;16;0;11;2;2;0;0;0
2020-10-31 08:15:00;30;26;0;30;6;26;6;6;0;0;0
2020-10-31 08:30:00;31;29;0;28;1;15;4;6;0;0;0
2020-10-31 08:45:00;35;44;0;32;4;25;5;6;0;0;0
2020-10-31 09:00:00;47;31;0;56;6;47;6;8;0;0;0
2020-10-31 09:15:00;35;33;0;47;3;33;8;8;12;0;0
2020-10-31 09:30:00;56;41;0;50;5;42;9;11;0;0;0
2020-10-31 09:45:00;53;44;0;54;6;42;12;7;0;0;0
2020-10-31 10:00:00;46;38;0;80;10;52;14;8;0;0;0
2020-10-31 10:15:00;43;41;0;60;9;43;12;12;0;0;0
2020-10-31 10:30:00;33;41;0;52;4;39;14;8;0;0;1
2020-10-31 10:45:00;38;46;0;66;7;53;6;7;0;0;0
2020-10-31 11:00:00;36;48;0;56;7;47;6;6;3;0;0
2020-10-31 11:15:00;52;41;0;59;9;41;21;11;0;0;0
2020-10-31 11:30:00;39;34;0;64;4;43;8;8;0;3;0
2020-10-31 11:45:00;40;44;0;81;8;57;8;12;0;0;0
2020-10-31 12:00:00;37;46;0;67;12;48;18;17;0;0;0
2020-10-31 12:15:00;40;43;0;68;5;47;12;7;0;0;0
2020-10-31 12:30:00;47;35;0;73;8;57;18;7;4;0;0
2020-10-31 12:45:00;34;39;0;79;10;66;17;10;0;1;0
2020-10-31 13:00:00;31;38;0;68;7;42;21;8;1;0;0
2020-10-31 13:15:00;37;31;0;68;4;41;8;10;21;8;0
2020-10-31 13:30:00;41;43;0;71;12;50;9;8;21;6;0
2020-10-31 13:45:00;36;26;0;66;8;46;14;7;2;0;0
2020-10-31 14:00:00;38;42;0;78;11;48;14;15;0;3;4
2020-10-31 14:15:00;34;39;0;69;8;45;10;10;0;7;0
2020-10-31 14:30:00;29;32;0;75;6;61;11;9;1;0;0
2020-10-31 14:45:00;28;30;0;73;3;47;19;7;1;0;31
2020-10-31 15:00:00;43;34;0;68;10;50;14;16;0;23;0
2020-10-31 15:15:00;30;33;0;57;7;30;22;18;0;5;0
2020-10-31 15:30:00;36;38;0;79;11;59;16;12;0;0;0
2020-10-31 15:45:00;36;41;0;82;9;76;20;13;5;1;5
2020-10-31 16:00:00;36;35;0;90;11;103;22;13;4;0;0
