DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DB3);6(DB4);7(DC1);8(DC2);9(TAFBA);10(TAFBB);11(TAFBC)
2020-09-04 00:00:00;2;5;0;6;0;5;1;2;0;0;0
2020-09-04 00:15:00;5;3;0;17;2;8;0;0;0;0;0
2020-09-04 00:30:00;1;1;0;6;1;5;1;2;0;0;0
2020-09-04 00:45:00;3;4;0;8;2;6;1;3;0;0;0
2020-09-04 01:00:00;4;3;0;4;1;2;0;2;0;0;0
2020-09-04 01:15:00;1;2;0;7;2;5;0;3;0;0;0
2020-09-04 01:30:00;3;4;0;2;0;1;0;2;0;0;0
2020-09-04 01:45:00;1;1;0;3;0;2;1;1;0;0;0
2020-09-04 02:00:00;0;4;0;0;0;0;1;1;0;0;0
2020-09-04 02:15:00;0;2;0;3;0;2;0;2;0;0;0
2020-09-04 02:30:00;0;1;0;4;0;2;0;0;0;0;0
2020-09-04 02:45:00;0;1;0;1;0;1;0;0;0;0;0
2020-09-04 03:00:00;0;2;0;3;0;3;0;0;0;0;0
2020-09-04 03:15:00;2;3;0;1;0;1;0;1;0;0;0
2020-09-04 03:30:00;2;1;0;1;0;1;0;2;0;0;0
2020-09-04 03:45:00;0;4;0;2;0;2;0;1;0;0;0
2020-09-04 04:00:00;2;1;0;2;0;2;0;1;0;0;0
2020-09-04 04:15:00;0;0;0;4;0;4;0;1;0;0;0
2020-09-04 04:30:00;1;2;0;3;0;2;0;2;0;0;0
2020-09-04 04:45:00;0;1;0;4;0;4;1;1;0;0;0
2020-09-04 05:00:00;5;8;0;7;1;5;0;1;0;0;0
2020-09-04 05:15:00;8;7;0;7;3;5;4;2;0;0;0
2020-09-04 05:30:00;7;9;0;6;3;5;2;6;0;0;0
2020-09-04 05:45:00;15;19;0;15;3;8;3;3;0;0;0
2020-09-04 06:00:00;13;16;0;15;3;10;1;10;0;0;0
2020-09-04 06:15:00;27;28;0;38;10;26;3;17;0;0;0
2020-09-04 06:30:00;28;31;0;18;4;10;2;11;1;2;0
2020-09-04 06:45:00;45;45;0;30;7;18;4;16;0;2;0
2020-09-04 07:00:00;31;40;0;35;8;26;5;15;0;0;0
2020-09-04 07:15:00;48;41;0;30;8;34;3;18;0;0;1
2020-09-04 07:30:00;46;58;0;33;9;22;6;17;2;0;0
2020-09-04 07:45:00;52;51;0;51;6;38;9;14;0;0;0
2020-09-04 08:00:00;66;36;0;50;11;40;4;22;0;4;0
2020-09-04 08:15:00;47;52;0;43;12;33;2;13;0;0;0
2020-09-04 08:30:00;41;46;0;43;4;29;7;12;0;0;0
2020-09-04 08:45:00;42;54;0;39;4;31;5;10;1;3;0
2020-09-04 09:00:00;42;44;0;57;10;44;11;12;0;0;0
2020-09-04 09:15:00;35;42;0;56;7;36;4;12;0;0;0
2020-09-04 09:30:00;47;27;0;49;15;41;5;12;1;0;0
2020-09-04 09:45:00;52;44;0;51;11;42;8;10;0;0;0
2020-09-04 10:00:00;32;36;0;54;12;47;7;7;0;0;0
2020-09-04 10:15:00;44;41;0;62;9;49;6;14;0;1;0
2020-09-04 10:30:00;42;51;0;68;17;53;6;15;0;3;0
2020-09-04 10:45:00;44;50;0;52;12;39;15;13;0;0;0
2020-09-04 11:00:00;36;33;0;74;6;44;5;14;0;0;0
2020-09-04 11:15:00;43;51;0;54;8;38;6;18;0;0;0
2020-09-04 11:30:00;34;29;0;76;7;53;8;8;6;0;0
2020-09-04 11:45:00;36;49;0;88;7;72;5;7;0;0;0
2020-09-04 12:00:00;26;30;0;90;16;73;6;12;0;0;0
2020-09-04 12:15:00;37;46;0;88;15;65;15;15;0;1;0
2020-09-04 12:30:00;35;30;0;121;13;88;4;26;0;4;0
2020-09-04 12:45:00;34;53;0;137;31;103;10;23;2;0;1
2020-09-04 13:00:00;33;44;0;116;12;93;7;21;0;0;0
2020-09-04 13:15:00;35;38;0;123;17;88;6;19;1;5;0
2020-09-04 13:30:00;40;29;0;82;14;64;6;20;1;0;0
2020-09-04 13:45:00;46;47;0;66;6;48;9;17;0;0;0
2020-09-04 14:00:00;30;36;0;71;10;58;5;16;0;0;0
2020-09-04 14:15:00;41;31;0;56;7;54;5;19;0;0;0
2020-09-04 14:30:00;36;38;0;73;13;50;10;22;0;0;0
2020-09-04 14:45:00;48;56;0;104;7;77;12;16;0;0;0
2020-09-04 15:00:00;33;34;0;109;20;81;5;14;0;0;0
2020-09-04 15:15:00;39;38;0;70;17;59;9;16;2;1;0
2020-09-04 15:30:00;40;43;0;99;19;75;5;13;0;4;0
2020-09-04 15:45:00;35;42;0;84;15;71;6;17;1;0;0
2020-09-04 16:00:00;37;37;0;72;17;55;5;17;0;0;0
