DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1)
2019-12-19 00:00:00;7;0;2;5;5
2019-12-19 00:15:00;7;3;5;7;8
2019-12-19 00:30:00;4;0;1;1;3
2019-12-19 00:45:00;2;0;1;3;3
2019-12-19 01:00:00;1;0;1;4;3
2019-12-19 01:15:00;2;1;1;1;4
2019-12-19 01:30:00;1;0;1;2;3
2019-12-19 01:45:00;3;1;1;4;6
2019-12-19 02:00:00;2;0;1;2;0
2019-12-19 02:15:00;1;0;0;2;0
2019-12-19 02:30:00;0;0;0;0;1
2019-12-19 02:45:00;2;0;0;0;1
2019-12-19 03:00:00;3;0;2;1;1
2019-12-19 03:15:00;0;0;0;0;0
2019-12-19 03:30:00;1;0;0;2;1
2019-12-19 03:45:00;3;0;0;0;0
2019-12-19 04:00:00;2;0;1;2;0
2019-12-19 04:15:00;1;0;0;3;4
2019-12-19 04:30:00;3;1;0;0;0
2019-12-19 04:45:00;2;1;0;0;2
2019-12-19 05:00:00;4;0;2;5;1
2019-12-19 05:15:00;2;0;2;3;4
2019-12-19 05:30:00;6;1;0;3;11
2019-12-19 05:45:00;18;1;5;11;16
2019-12-19 06:00:00;13;2;4;8;21
2019-12-19 06:15:00;25;4;7;14;27
2019-12-19 06:30:00;27;5;6;20;35
2019-12-19 06:45:00;39;4;6;18;34
2019-12-19 07:00:00;48;9;8;16;51
2019-12-19 07:15:00;50;18;9;27;112
2019-12-19 07:30:00;73;8;26;52;160
2019-12-19 07:45:00;74;17;32;61;83
2019-12-19 08:00:00;101;15;20;36;59
2019-12-19 08:15:00;66;12;23;44;64
2019-12-19 08:30:00;58;14;17;40;54
2019-12-19 08:45:00;37;16;15;38;61
2019-12-19 09:00:00;34;28;20;33;61
2019-12-19 09:15:00;35;12;12;42;47
2019-12-19 09:30:00;38;8;18;32;88
2019-12-19 09:45:00;48;10;13;34;64
2019-12-19 10:00:00;53;18;20;33;68
2019-12-19 10:15:00;51;12;22;47;68
2019-12-19 10:30:00;45;12;20;40;62
2019-12-19 10:45:00;53;24;19;39;59
2019-12-19 11:00:00;57;15;26;29;71
2019-12-19 11:15:00;54;16;16;37;71
2019-12-19 11:30:00;62;18;32;45;75
2019-12-19 11:45:00;56;21;24;35;80
2019-12-19 12:00:00;45;15;17;27;67
2019-12-19 12:15:00;60;11;32;53;85
2019-12-19 12:30:00;60;15;31;43;79
2019-12-19 12:45:00;54;8;20;29;91
2019-12-19 13:00:00;75;14;36;33;64
2019-12-19 13:15:00;76;17;24;41;73
2019-12-19 13:30:00;53;12;33;42;87
2019-12-19 13:45:00;77;20;21;36;69
2019-12-19 14:00:00;69;19;26;45;75
2019-12-19 14:15:00;69;6;26;39;104
2019-12-19 14:30:00;70;15;31;35;95
2019-12-19 14:45:00;62;16;32;50;78
2019-12-19 15:00:00;63;18;40;44;82
2019-12-19 15:15:00;64;27;37;56;150
2019-12-19 15:30:00;89;18;29;53;104
2019-12-19 15:45:00;72;15;29;48;114
2019-12-19 16:00:00;74;20;34;49;114
2019-12-19 16:15:00;74;24;42;71;112
2019-12-19 16:30:00;94;16;36;51;134
2019-12-19 16:45:00;78;25;24;43;119
2019-12-19 17:00:00;78;32;39;48;117
2019-12-19 17:15:00;89;16;28;55;112
2019-12-19 17:30:00;77;34;30;64;96
2019-12-19 17:45:00;84;31;46;78;129
2019-12-19 18:00:00;86;31;36;79;142
2019-12-19 18:15:00;60;30;41;75;125
2019-12-19 18:30:00;67;30;38;58;106
2019-12-19 18:45:00;65;32;33;59;85
2019-12-19 19:00:00;52;31;31;49;102
2019-12-19 19:15:00;46;20;16;39;76
2019-12-19 19:30:00;46;14;18;28;68
2019-12-19 19:45:00;36;12;20;18;73
2019-12-19 20:00:00;51;11;16;22;60
2019-12-19 20:15:00;28;4;16;14;52
2019-12-19 20:30:00;24;7;13;16;49
2019-12-19 20:45:00;30;7;11;23;44
2019-12-19 21:00:00;26;5;15;20;35
2019-12-19 21:15:00;20;2;13;16;40
2019-12-19 21:30:00;23;3;10;20;20
2019-12-19 21:45:00;27;4;15;15;32
2019-12-19 22:00:00;24;4;13;19;62
2019-12-19 22:15:00;40;5;20;22;89
2019-12-19 22:30:00;10;2;11;12;29
2019-12-19 22:45:00;27;2;9;15;32
2019-12-19 23:00:00;18;4;10;10;23
2019-12-19 23:15:00;16;2;3;17;17
2019-12-19 23:30:00;10;2;6;6;19
2019-12-19 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
