DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1)
2019-10-31 00:00:00;4;0;1;8;3
2019-10-31 00:15:00;6;2;4;3;5
2019-10-31 00:30:00;4;0;2;5;1
2019-10-31 00:45:00;3;0;0;2;0
2019-10-31 01:00:00;2;0;0;3;0
2019-10-31 01:15:00;6;0;0;1;0
2019-10-31 01:30:00;2;0;0;2;2
2019-10-31 01:45:00;1;0;0;2;1
2019-10-31 02:00:00;0;0;1;0;5
2019-10-31 02:15:00;1;0;0;0;0
2019-10-31 02:30:00;0;0;0;0;3
2019-10-31 02:45:00;0;0;0;1;0
2019-10-31 03:00:00;1;0;0;0;1
2019-10-31 03:15:00;0;1;1;1;0
2019-10-31 03:30:00;0;0;0;0;0
2019-10-31 03:45:00;1;0;0;0;2
2019-10-31 04:00:00;1;0;0;1;1
2019-10-31 04:15:00;0;0;0;1;1
2019-10-31 04:30:00;4;0;0;0;0
2019-10-31 04:45:00;0;0;2;2;6
2019-10-31 05:00:00;2;0;3;6;4
2019-10-31 05:15:00;6;0;1;1;4
2019-10-31 05:30:00;9;1;3;10;11
2019-10-31 05:45:00;13;2;7;10;18
2019-10-31 06:00:00;20;3;4;11;15
2019-10-31 06:15:00;22;4;7;16;30
2019-10-31 06:30:00;26;6;6;19;40
2019-10-31 06:45:00;44;4;7;15;37
2019-10-31 07:00:00;38;9;12;21;44
2019-10-31 07:15:00;34;9;10;15;38
2019-10-31 07:30:00;49;14;15;40;64
2019-10-31 07:45:00;43;13;8;31;58
2019-10-31 08:00:00;63;12;5;24;57
2019-10-31 08:15:00;46;14;24;36;57
2019-10-31 08:30:00;44;11;15;26;46
2019-10-31 08:45:00;42;7;17;27;52
2019-10-31 09:00:00;40;9;16;25;61
2019-10-31 09:15:00;42;17;22;35;53
2019-10-31 09:30:00;31;17;14;26;57
2019-10-31 09:45:00;39;11;16;27;66
2019-10-31 10:00:00;51;12;24;26;52
2019-10-31 10:15:00;41;14;21;32;62
2019-10-31 10:30:00;47;14;16;44;70
2019-10-31 10:45:00;56;17;17;30;79
2019-10-31 11:00:00;49;17;22;28;64
2019-10-31 11:15:00;61;14;26;43;59
2019-10-31 11:30:00;58;22;24;41;69
2019-10-31 11:45:00;43;16;15;37;82
2019-10-31 12:00:00;50;15;19;39;82
2019-10-31 12:15:00;35;12;30;32;72
2019-10-31 12:30:00;54;12;19;27;69
2019-10-31 12:45:00;41;5;28;54;78
2019-10-31 13:00:00;50;13;11;26;78
2019-10-31 13:15:00;52;11;15;33;52
2019-10-31 13:30:00;61;15;23;25;70
2019-10-31 13:45:00;59;8;19;33;66
2019-10-31 14:00:00;38;9;22;37;71
2019-10-31 14:15:00;47;9;26;35;70
2019-10-31 14:30:00;48;18;25;35;79
2019-10-31 14:45:00;57;17;18;37;88
2019-10-31 15:00:00;52;15;26;37;86
2019-10-31 15:15:00;63;16;25;38;97
2019-10-31 15:30:00;54;15;27;32;96
2019-10-31 15:45:00;74;10;25;45;100
2019-10-31 16:00:00;74;6;28;35;98
2019-10-31 16:15:00;87;12;16;42;87
2019-10-31 16:30:00;72;21;33;52;88
2019-10-31 16:45:00;63;9;32;48;97
2019-10-31 17:00:00;65;12;18;36;93
2019-10-31 17:15:00;71;9;31;35;114
2019-10-31 17:30:00;61;11;26;36;90
2019-10-31 17:45:00;50;13;27;49;95
2019-10-31 18:00:00;56;11;27;38;74
2019-10-31 18:15:00;42;8;23;24;75
2019-10-31 18:30:00;36;9;23;21;71
2019-10-31 18:45:00;31;16;12;26;74
2019-10-31 19:00:00;42;20;20;33;52
2019-10-31 19:15:00;32;11;13;15;49
2019-10-31 19:30:00;25;7;13;24;49
2019-10-31 19:45:00;26;9;8;17;40
2019-10-31 20:00:00;34;6;8;16;42
2019-10-31 20:15:00;22;7;6;11;36
2019-10-31 20:30:00;23;3;7;21;35
2019-10-31 20:45:00;15;3;7;17;27
2019-10-31 21:00:00;16;4;10;23;36
2019-10-31 21:15:00;17;1;10;15;38
2019-10-31 21:30:00;14;1;13;15;35
2019-10-31 21:45:00;22;1;7;20;28
2019-10-31 22:00:00;21;5;13;12;29
2019-10-31 22:15:00;15;0;10;18;23
2019-10-31 22:30:00;14;2;6;12;15
2019-10-31 22:45:00;13;3;6;6;23
2019-10-31 23:00:00;18;2;7;15;17
2019-10-31 23:15:00;9;3;4;11;22
2019-10-31 23:30:00;10;0;5;9;5
2019-10-31 23:45:00;11;5;4;10;10
