DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1)
2020-12-04 00:00:00;1;1;3;0;1
2020-12-04 00:15:00;2;2;2;3;1
2020-12-04 00:30:00;0;0;0;1;0
2020-12-04 00:45:00;2;0;0;0;1
2020-12-04 01:00:00;2;0;0;3;0
2020-12-04 01:15:00;0;0;0;0;0
2020-12-04 01:30:00;0;0;0;0;0
2020-12-04 01:45:00;1;0;0;1;0
2020-12-04 02:00:00;0;0;0;0;2
2020-12-04 02:15:00;0;0;0;0;1
2020-12-04 02:30:00;2;0;0;0;5
2020-12-04 02:45:00;0;0;0;0;1
2020-12-04 03:00:00;1;1;0;0;0
2020-12-04 03:15:00;1;0;0;0;0
2020-12-04 03:30:00;0;0;0;1;0
2020-12-04 03:45:00;0;0;0;0;3
2020-12-04 04:00:00;4;1;0;1;0
2020-12-04 04:15:00;2;0;1;3;2
2020-12-04 04:30:00;2;0;0;2;2
2020-12-04 04:45:00;0;0;2;1;1
2020-12-04 05:00:00;1;0;1;5;1
2020-12-04 05:15:00;3;0;1;8;6
2020-12-04 05:30:00;13;2;0;3;13
2020-12-04 05:45:00;20;1;3;11;10
2020-12-04 06:00:00;11;2;0;6;10
2020-12-04 06:15:00;13;2;9;14;31
2020-12-04 06:30:00;36;5;6;12;34
2020-12-04 06:45:00;42;7;3;23;39
2020-12-04 07:00:00;39;7;4;11;51
2020-12-04 07:15:00;37;8;8;25;92
2020-12-04 07:30:00;75;16;16;42;157
2020-12-04 07:45:00;57;15;20;50;80
2020-12-04 08:00:00;50;10;8;27;60
2020-12-04 08:15:00;41;14;10;28;63
2020-12-04 08:30:00;52;10;15;22;48
2020-12-04 08:45:00;35;11;13;23;54
2020-12-04 09:00:00;29;15;8;17;48
2020-12-04 09:15:00;33;12;14;40;39
2020-12-04 09:30:00;36;14;14;27;50
2020-12-04 09:45:00;42;20;17;40;47
2020-12-04 10:00:00;25;18;17;34;38
2020-12-04 10:15:00;37;9;11;29;50
2020-12-04 10:30:00;29;14;13;24;53
2020-12-04 10:45:00;41;10;18;28;63
2020-12-04 11:00:00;41;13;17;27;103
2020-12-04 11:15:00;34;11;13;30;47
2020-12-04 11:30:00;51;13;15;46;63
2020-12-04 11:45:00;43;10;18;31;309
2020-12-04 12:00:00;53;10;16;29;82
2020-12-04 12:15:00;56;8;12;31;59
2020-12-04 12:30:00;43;9;18;41;94
2020-12-04 12:45:00;40;9;22;46;108
2020-12-04 13:00:00;62;8;18;44;83
2020-12-04 13:15:00;101;17;27;52;58
2020-12-04 13:30:00;53;16;27;28;68
2020-12-04 13:45:00;60;6;22;31;73
2020-12-04 14:00:00;71;16;26;38;70
2020-12-04 14:15:00;55;17;16;30;69
2020-12-04 14:30:00;52;11;20;28;58
2020-12-04 14:45:00;40;4;17;34;75
2020-12-04 15:00:00;52;13;20;27;62
2020-12-04 15:15:00;41;3;14;33;56
2020-12-04 15:30:00;23;5;15;35;67
2020-12-04 15:45:00;42;16;17;25;67
2020-12-04 16:00:00;58;7;25;38;63
2020-12-04 16:15:00;30;13;19;38;62
2020-12-04 16:30:00;38;10;22;26;70
2020-12-04 16:45:00;45;5;26;37;55
2020-12-04 17:00:00;34;11;20;34;58
2020-12-04 17:15:00;32;3;19;30;66
2020-12-04 17:30:00;30;15;8;21;47
2020-12-04 17:45:00;28;9;18;34;38
2020-12-04 18:00:00;27;8;16;25;45
2020-12-04 18:15:00;17;6;15;23;34
2020-12-04 18:30:00;27;15;19;25;38
2020-12-04 18:45:00;23;3;9;25;36
2020-12-04 19:00:00;22;6;14;26;33
2020-12-04 19:15:00;22;8;7;25;19
2020-12-04 19:30:00;12;3;8;17;22
2020-12-04 19:45:00;15;2;7;16;20
2020-12-04 20:00:00;17;6;4;13;22
2020-12-04 20:15:00;17;4;5;6;24
2020-12-04 20:30:00;17;4;6;9;17
2020-12-04 20:45:00;9;2;3;9;15
2020-12-04 21:00:00;18;6;6;10;15
2020-12-04 21:15:00;10;2;2;6;14
2020-12-04 21:30:00;6;0;1;8;15
2020-12-04 21:45:00;7;3;3;7;12
2020-12-04 22:00:00;10;6;5;7;8
2020-12-04 22:15:00;9;2;0;5;13
2020-12-04 22:30:00;6;1;1;5;7
2020-12-04 22:45:00;4;0;2;8;8
2020-12-04 23:00:00;6;4;3;7;5
2020-12-04 23:15:00;4;1;2;2;13
2020-12-04 23:30:00;2;0;0;2;5
2020-12-04 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
