DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1)
2020-11-13 00:00:00;0;0;1;2;1
2020-11-13 00:15:00;3;2;2;4;2
2020-11-13 00:30:00;0;0;0;0;3
2020-11-13 00:45:00;0;0;0;1;0
2020-11-13 01:00:00;4;0;1;1;2
2020-11-13 01:15:00;0;0;0;1;0
2020-11-13 01:30:00;0;0;0;0;2
2020-11-13 01:45:00;0;0;0;0;1
2020-11-13 02:00:00;0;0;0;0;0
2020-11-13 02:15:00;0;0;0;0;0
2020-11-13 02:30:00;0;0;0;0;0
2020-11-13 02:45:00;0;0;0;0;0
2020-11-13 03:00:00;0;0;0;1;2
2020-11-13 03:15:00;0;0;1;0;0
2020-11-13 03:30:00;0;0;0;0;2
2020-11-13 03:45:00;2;1;0;0;0
2020-11-13 04:00:00;2;1;0;3;1
2020-11-13 04:15:00;2;1;1;0;1
2020-11-13 04:30:00;0;0;0;1;1
2020-11-13 04:45:00;2;1;1;0;3
2020-11-13 05:00:00;2;0;3;1;1
2020-11-13 05:15:00;1;0;1;5;4
2020-11-13 05:30:00;7;1;1;5;9
2020-11-13 05:45:00;11;4;4;10;13
2020-11-13 06:00:00;19;4;1;9;14
2020-11-13 06:15:00;26;2;6;21;32
2020-11-13 06:30:00;32;5;5;12;22
2020-11-13 06:45:00;39;5;5;19;29
2020-11-13 07:00:00;41;7;3;12;57
2020-11-13 07:15:00;52;12;8;23;100
2020-11-13 07:30:00;62;6;15;31;126
2020-11-13 07:45:00;74;17;16;47;99
2020-11-13 08:00:00;49;13;8;24;43
2020-11-13 08:15:00;31;13;15;32;60
2020-11-13 08:30:00;30;14;8;26;40
2020-11-13 08:45:00;38;13;11;24;45
2020-11-13 09:00:00;31;7;11;46;38
2020-11-13 09:15:00;27;9;17;22;43
2020-11-13 09:30:00;32;9;6;23;51
2020-11-13 09:45:00;38;16;17;30;58
2020-11-13 10:00:00;32;15;9;28;52
2020-11-13 10:15:00;36;9;17;32;49
2020-11-13 10:30:00;34;10;18;25;55
2020-11-13 10:45:00;42;19;14;35;39
2020-11-13 11:00:00;23;13;20;27;53
2020-11-13 11:15:00;39;10;20;34;54
2020-11-13 11:30:00;36;17;21;34;44
2020-11-13 11:45:00;50;12;14;25;52
2020-11-13 12:00:00;45;10;20;27;68
2020-11-13 12:15:00;65;10;18;30;58
2020-11-13 12:30:00;39;11;10;33;59
2020-11-13 12:45:00;56;13;15;33;98
2020-11-13 13:00:00;62;7;29;58;97
2020-11-13 13:15:00;82;8;19;30;61
2020-11-13 13:30:00;47;11;24;27;65
2020-11-13 13:45:00;56;13;17;25;78
2020-11-13 14:00:00;57;8;13;36;60
2020-11-13 14:15:00;34;8;13;36;88
2020-11-13 14:30:00;48;10;19;28;56
2020-11-13 14:45:00;47;6;27;42;64
2020-11-13 15:00:00;48;9;17;29;54
2020-11-13 15:15:00;37;5;26;35;74
2020-11-13 15:30:00;44;10;13;34;78
2020-11-13 15:45:00;44;9;9;22;74
2020-11-13 16:00:00;44;7;14;35;64
2020-11-13 16:15:00;47;9;12;30;58
2020-11-13 16:30:00;47;9;24;36;61
2020-11-13 16:45:00;40;11;16;35;51
2020-11-13 17:00:00;43;6;13;22;62
2020-11-13 17:15:00;40;13;17;41;67
2020-11-13 17:30:00;33;8;12;32;49
2020-11-13 17:45:00;30;7;20;23;58
2020-11-13 18:00:00;39;8;10;18;51
2020-11-13 18:15:00;38;8;14;26;32
2020-11-13 18:30:00;21;8;12;16;27
2020-11-13 18:45:00;25;5;10;23;33
2020-11-13 19:00:00;24;6;8;18;35
2020-11-13 19:15:00;24;4;5;10;24
2020-11-13 19:30:00;16;5;13;13;24
2020-11-13 19:45:00;14;5;8;12;33
2020-11-13 20:00:00;19;5;8;15;23
2020-11-13 20:15:00;13;3;4;9;22
2020-11-13 20:30:00;17;2;4;6;22
2020-11-13 20:45:00;3;0;1;7;15
2020-11-13 21:00:00;9;4;3;4;16
2020-11-13 21:15:00;9;0;2;7;13
2020-11-13 21:30:00;6;0;1;8;16
2020-11-13 21:45:00;9;1;1;6;11
2020-11-13 22:00:00;9;3;5;13;11
2020-11-13 22:15:00;5;2;2;2;11
2020-11-13 22:30:00;4;0;1;4;9
2020-11-13 22:45:00;2;0;1;3;9
2020-11-13 23:00:00;6;2;3;1;5
2020-11-13 23:15:00;4;0;1;3;12
2020-11-13 23:30:00;6;1;0;1;10
2020-11-13 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
