DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DD1);6(DD2);7(DF1);8(DF2);9(DC1);10(DA3);11(DC2);12(TAFGA);13(TAFBA);14(TAFGA2);15(TAFBA2);16(TAFBB);17(TAFBC);18(TAFGD);19(TAFBD);20(TAFGE);21(TAFBE);22(TAFBF)
2019-10-04 00:00:00;10;2;6;4;7;3;7;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-04 00:15:00;3;4;9;4;11;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-04 00:30:00;5;1;13;2;12;5;3;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-04 00:45:00;8;1;7;8;7;4;3;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-04 01:00:00;5;8;2;1;7;1;4;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-04 01:15:00;3;2;3;6;6;3;6;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-04 01:30:00;5;1;10;3;3;1;6;7;0;3;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-04 01:45:00;1;1;5;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-04 02:00:00;1;2;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-04 02:15:00;3;0;3;2;2;3;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-04 02:30:00;2;0;6;6;3;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-04 02:45:00;1;2;1;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-04 03:00:00;1;1;3;4;2;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-04 03:15:00;1;0;2;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-04 03:30:00;2;2;2;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-04 03:45:00;1;2;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-04 04:00:00;1;2;1;0;3;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-04 04:15:00;2;2;1;1;7;3;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-04 04:30:00;1;2;0;0;4;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-04 04:45:00;5;2;8;4;6;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-04 05:00:00;1;4;2;2;12;6;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-04 05:15:00;4;5;5;2;25;6;4;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-04 05:30:00;9;8;13;4;27;16;3;2;0;6;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-04 05:45:00;9;11;17;12;36;30;7;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-04 06:00:00;5;17;23;16;22;18;9;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-04 06:15:00;13;14;14;15;35;24;8;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-04 06:30:00;8;12;21;12;54;16;9;3;0;5;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-04 06:45:00;19;20;13;11;66;19;12;6;0;7;0;0;0;1;0;0;0;0;0;1;0;0
2019-10-04 07:00:00;23;24;17;11;78;24;20;1;0;11;0;1;0;0;0;0;0;1;0;0;0;0
2019-10-04 07:15:00;24;23;65;28;115;22;23;4;0;14;0;0;0;0;0;0;0;1;26;0;0;0
2019-10-04 07:30:00;41;47;46;29;113;30;39;9;0;16;0;0;0;2;9;0;0;2;0;0;0;0
2019-10-04 07:45:00;45;37;37;34;71;22;67;16;0;20;0;0;0;4;6;0;0;2;1;0;0;0
2019-10-04 08:00:00;41;35;31;26;71;13;24;11;0;15;0;0;0;0;0;0;0;2;0;0;0;0
2019-10-04 08:15:00;37;40;42;24;79;22;28;8;0;11;0;0;0;0;1;0;5;1;1;1;0;0
2019-10-04 08:30:00;26;46;40;30;70;32;29;9;0;8;0;1;0;0;0;0;0;1;0;1;2;0
2019-10-04 08:45:00;30;35;42;25;70;15;30;9;0;13;0;2;0;1;0;0;0;2;1;0;0;0
2019-10-04 09:00:00;32;22;30;27;59;20;28;14;0;19;0;2;15;1;3;0;0;0;0;0;0;0
2019-10-04 09:15:00;32;32;34;19;70;16;25;16;0;11;0;0;0;0;0;0;0;0;0;2;0;0
2019-10-04 09:30:00;47;41;34;22;66;18;32;8;0;17;0;2;1;1;0;0;0;0;0;0;0;0
2019-10-04 09:45:00;53;45;44;38;78;18;41;14;0;26;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-04 10:00:00;44;33;40;27;73;19;33;13;0;16;0;0;0;5;1;0;0;2;0;1;6;0
2019-10-04 10:15:00;36;44;38;37;71;22;34;8;0;19;0;4;0;12;5;0;0;0;0;0;0;0
2019-10-04 10:30:00;38;31;33;27;80;28;26;14;0;21;0;6;0;3;7;0;0;2;0;2;1;0
2019-10-04 10:45:00;42;44;45;28;78;23;39;10;0;27;0;2;0;2;0;0;0;2;0;0;0;0
2019-10-04 11:00:00;45;39;24;36;69;21;51;5;0;22;0;8;7;4;9;0;0;1;0;1;2;0
2019-10-04 11:15:00;45;47;40;33;89;19;31;10;0;12;0;1;1;4;0;0;0;0;0;3;2;0
2019-10-04 11:30:00;48;51;37;28;93;24;52;12;0;27;0;2;12;4;5;0;0;3;3;0;0;0
2019-10-04 11:45:00;51;48;41;32;88;21;41;18;0;13;0;1;0;3;0;0;0;1;3;6;0;0
2019-10-04 12:00:00;54;52;53;42;86;29;49;11;0;29;0;9;7;0;0;0;0;1;0;3;0;0
2019-10-04 12:15:00;67;49;41;40;80;23;52;20;0;24;0;2;8;8;10;0;0;0;0;0;0;0
2019-10-04 12:30:00;59;58;48;44;97;36;43;12;0;22;0;3;7;1;2;0;0;2;0;1;0;0
2019-10-04 12:45:00;64;70;52;42;118;34;56;14;0;25;0;3;0;2;4;0;0;0;0;3;1;0
2019-10-04 13:00:00;82;71;49;58;82;26;63;12;0;22;0;8;5;3;20;0;0;2;11;2;3;1
