DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DD1);6(DD2);7(DF1);8(DF2);9(DC1);10(DA3);11(DC2);12(TAFGA);13(TAFBA);14(TAFGA2);15(TAFBA2);16(TAFBB);17(TAFBC);18(TAFGD);19(TAFBD);20(TAFGE);21(TAFBE);22(TAFBF)
2020-02-06 00:00:00;2;0;3;2;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-06 00:15:00;4;2;3;6;6;5;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-06 00:30:00;4;2;5;3;6;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-06 00:45:00;0;0;0;0;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-06 01:00:00;0;1;6;2;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-06 01:15:00;1;0;4;4;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-06 01:30:00;0;0;3;1;4;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-06 01:45:00;0;0;2;0;2;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-06 02:00:00;0;1;0;0;2;1;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-06 02:15:00;1;2;2;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-06 02:30:00;1;1;3;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-06 02:45:00;1;1;3;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-06 03:00:00;1;1;2;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-06 03:15:00;2;1;0;0;5;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-06 03:30:00;0;1;1;2;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-06 03:45:00;1;1;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-06 04:00:00;0;1;1;2;2;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-06 04:15:00;0;4;3;2;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-06 04:30:00;1;2;1;0;8;3;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-06 04:45:00;5;3;4;3;13;5;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-06 05:00:00;1;6;9;9;25;10;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-06 05:15:00;12;12;11;6;63;17;4;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-06 05:30:00;13;12;9;5;88;32;4;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-06 05:45:00;18;37;27;8;92;45;7;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-06 06:00:00;17;31;23;18;40;17;11;3;0;6;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-06 06:15:00;17;30;29;19;69;29;16;2;0;8;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-06 06:30:00;32;31;31;18;122;34;16;2;0;6;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-06 06:45:00;17;41;36;21;151;37;14;1;0;10;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-06 07:00:00;23;41;31;28;127;41;21;3;0;13;0;0;0;1;3;0;0;0;0;2;0;2
2020-02-06 07:15:00;25;47;63;29;109;49;31;7;0;13;0;0;0;0;0;0;0;2;1;0;0;0
2020-02-06 07:30:00;38;67;102;37;100;46;45;10;0;16;0;0;0;0;0;0;1;0;0;0;1;0
2020-02-06 07:45:00;36;68;57;42;173;35;71;10;0;17;0;0;0;1;0;0;0;1;1;0;0;0
2020-02-06 08:00:00;31;52;42;38;127;33;31;6;0;12;0;0;0;3;0;0;0;0;0;1;2;0
2020-02-06 08:15:00;29;52;39;32;101;31;32;6;0;10;0;0;0;2;0;0;0;1;0;0;0;0
2020-02-06 08:30:00;27;42;35;31;102;46;30;9;0;9;0;1;0;3;0;0;0;0;0;0;0;3
2020-02-06 08:45:00;22;43;43;24;87;32;27;4;0;10;0;0;0;1;1;0;0;1;2;0;0;0
2020-02-06 09:00:00;22;36;24;23;51;21;35;2;0;9;0;3;4;2;10;0;0;0;0;0;0;0
2020-02-06 09:15:00;23;36;42;28;58;15;34;2;0;15;0;1;0;1;1;0;0;2;6;1;0;0
2020-02-06 09:30:00;26;40;41;24;57;17;22;4;0;14;0;3;0;1;0;0;11;0;0;1;2;0
2020-02-06 09:45:00;21;31;40;26;52;20;30;5;0;9;0;2;0;2;2;0;0;0;0;1;0;0
2020-02-06 10:00:00;26;29;25;13;61;19;27;2;0;13;0;3;0;2;0;0;0;1;0;0;0;0
2020-02-06 10:15:00;25;40;38;22;65;14;22;5;0;14;0;0;7;1;0;0;0;0;0;0;0;0
2020-02-06 10:30:00;21;24;39;32;57;17;38;4;0;16;0;5;0;1;0;0;0;0;0;0;0;0
2020-02-06 10:45:00;32;39;42;27;54;22;35;8;0;13;0;1;0;2;6;0;0;0;0;0;0;0
2020-02-06 11:00:00;28;25;34;24;55;12;38;4;0;12;0;0;2;0;0;0;0;1;8;0;0;0
2020-02-06 11:15:00;32;34;33;32;69;20;45;6;0;14;0;2;2;0;0;0;0;0;0;3;20;0
2020-02-06 11:30:00;29;43;27;29;68;13;47;4;0;21;0;1;3;6;1;0;0;1;1;5;10;0
2020-02-06 11:45:00;32;39;37;24;65;25;49;5;0;20;0;2;5;3;0;0;0;0;0;5;15;1
2020-02-06 12:00:00;34;36;33;38;70;15;55;4;0;20;0;2;0;1;0;0;0;0;0;1;2;0
2020-02-06 12:15:00;29;50;28;25;71;21;47;4;0;20;0;3;7;6;1;0;0;1;0;4;0;0
2020-02-06 12:30:00;37;46;32;32;78;16;42;3;0;11;0;7;10;3;1;0;0;0;0;3;2;0
2020-02-06 12:45:00;23;37;52;39;80;26;57;12;0;12;0;3;4;0;0;0;0;2;2;1;2;0
2020-02-06 13:00:00;27;36;25;24;86;22;65;8;0;12;0;6;36;2;7;0;0;0;0;0;0;0
2020-02-06 13:15:00;31;44;41;29;97;26;51;10;0;13;0;2;2;1;0;0;0;4;0;1;0;0
2020-02-06 13:30:00;29;42;37;23;112;22;40;2;0;9;0;1;0;5;1;0;0;1;29;1;0;0
2020-02-06 13:45:00;28;39;35;34;83;20;42;8;0;15;0;12;2;2;2;0;0;0;0;1;0;0
2020-02-06 14:00:00;36;46;36;31;64;18;42;0;0;14;0;2;0;12;4;0;0;1;0;0;0;0
2020-02-06 14:15:00;78;75;45;35;65;13;43;9;0;31;0;1;1;5;4;0;3;4;0;1;0;0
2020-02-06 14:30:00;89;111;50;58;93;14;53;9;0;26;0;2;9;5;4;0;0;0;0;0;0;0
2020-02-06 14:45:00;65;81;40;44;71;18;55;5;0;21;0;1;5;5;8;0;0;2;0;0;0;0
2020-02-06 15:00:00;55;53;27;28;79;20;64;4;0;24;0;0;0;1;0;0;0;0;0;0;0;0
2020-02-06 15:15:00;75;78;48;39;87;10;51;8;0;20;0;5;0;4;0;0;0;0;0;3;0;0
2020-02-06 15:30:00;66;80;48;50;80;13;57;9;0;22;0;1;1;6;0;0;0;2;2;5;0;0
2020-02-06 15:45:00;69;80;52;52;90;18;80;16;0;21;0;7;0;1;0;0;0;5;24;0;5;0
2020-02-06 16:00:00;71;75;49;45;106;18;73;9;0;17;0;2;2;3;9;0;0;0;0;0;0;0
2020-02-06 16:15:00;76;92;57;61;91;17;88;10;0;16;0;5;1;1;1;0;0;1;1;4;2;0
2020-02-06 16:30:00;84;92;46;44;99;20;82;18;0;27;0;3;26;4;40;0;0;1;0;0;0;2
2020-02-06 16:45:00;68;75;55;50;82;17;51;10;0;14;0;1;0;1;1;0;0;1;0;10;0;0
2020-02-06 17:00:00;79;82;36;34;73;19;60;7;0;20;0;1;3;2;0;2;0;0;0;1;0;0
2020-02-06 17:15:00;74;87;43;51;76;19;88;6;0;20;0;1;1;2;0;0;0;3;10;4;5;3
2020-02-06 17:30:00;62;68;25;43;88;22;54;7;0;22;0;1;3;2;0;0;0;0;0;2;2;0
2020-02-06 17:45:00;59;68;48;44;95;16;46;4;0;29;0;4;10;0;0;0;0;0;0;0;0;0
2020-02-06 18:00:00;51;47;38;39;60;11;33;8;0;19;0;1;0;0;0;0;0;0;0;0;0;0
2020-02-06 18:15:00;37;42;36;42;84;10;37;3;0;16;0;2;0;0;0;0;0;0;0;3;3;0
2020-02-06 18:30:00;33;33;38;29;64;7;42;2;0;14;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-06 18:45:00;36;43;41;28;65;15;28;4;0;11;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-06 19:00:00;21;32;24;22;51;7;40;4;0;11;0;1;0;10;5;0;0;0;0;0;0;0
2020-02-06 19:15:00;20;27;29;27;57;10;32;6;0;11;0;1;5;0;0;0;0;1;4;1;3;0
2020-02-06 19:30:00;22;31;20;17;48;7;25;7;0;11;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-06 19:45:00;20;17;27;23;47;11;20;5;0;8;0;0;0;0;0;0;0;0;0;3;7;0
2020-02-06 20:00:00;18;24;24;25;44;8;29;6;0;14;0;1;0;0;0;0;0;0;0;0;0;3
2020-02-06 20:15:00;24;21;21;19;25;2;16;3;0;8;0;2;3;4;10;0;0;0;0;0;0;0
2020-02-06 20:30:00;17;18;12;12;28;6;22;2;0;5;0;2;0;0;0;0;0;0;0;0;0;0
2020-02-06 20:45:00;8;12;23;19;34;8;16;8;0;5;0;4;23;0;0;0;0;0;0;0;0;0
2020-02-06 21:00:00;8;17;12;13;33;6;14;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-06 21:15:00;12;11;14;12;41;7;19;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-06 21:30:00;11;16;8;4;42;3;11;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-06 21:45:00;18;23;17;14;21;7;14;0;0;9;0;0;0;4;0;0;0;0;0;0;0;0
2020-02-06 22:00:00;28;29;6;19;21;1;19;2;0;11;0;0;0;0;0;0;0;0;0;1;0;0
2020-02-06 22:15:00;22;30;18;18;29;5;6;2;0;5;0;0;0;2;0;0;0;0;0;0;0;0
2020-02-06 22:30:00;9;11;4;4;20;1;2;0;0;2;0;4;1;0;0;0;0;0;0;0;4;0
2020-02-06 22:45:00;5;10;4;2;16;5;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
