DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DD1);6(DD2);7(DF1);8(DF2);9(DC1);10(DA3);11(DC2);12(TAFGA);13(TAFBA);14(TAFGA2);15(TAFBA2);16(TAFBB);17(TAFBC);18(TAFGD);19(TAFBD);20(TAFGE);21(TAFBE);22(TAFBF)
2020-11-07 00:00:00;6;5;8;2;10;4;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-07 00:15:00;2;3;4;3;12;7;3;1;0;2;0;0;0;2;0;0;0;0;0;0;0;0
2020-11-07 00:30:00;4;7;0;0;7;3;2;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-07 00:45:00;2;4;4;1;5;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-07 01:00:00;1;5;3;2;4;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-07 01:15:00;3;2;1;0;6;4;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-07 01:30:00;1;4;1;1;13;5;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-07 01:45:00;1;1;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-07 02:00:00;2;1;0;2;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-07 02:15:00;2;1;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-07 02:30:00;0;0;0;1;6;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-07 02:45:00;0;1;0;1;4;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-07 03:00:00;1;0;1;2;3;4;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-07 03:15:00;0;0;1;1;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-07 03:30:00;1;0;1;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-07 03:45:00;1;1;1;0;6;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-07 04:00:00;2;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-07 04:15:00;2;1;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-07 04:30:00;1;0;1;1;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-07 04:45:00;2;3;0;0;3;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-07 05:00:00;3;3;4;2;6;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-07 05:15:00;2;1;3;1;6;3;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-07 05:30:00;8;7;3;2;24;5;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-07 05:45:00;13;15;9;1;16;6;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-07 06:00:00;17;15;12;7;8;2;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-07 06:15:00;5;17;10;6;11;5;4;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-07 06:30:00;6;11;12;5;21;10;5;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-07 06:45:00;4;6;5;2;18;5;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-07 07:00:00;8;4;6;6;12;5;11;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-07 07:15:00;9;9;9;6;9;2;6;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-07 07:30:00;8;10;8;7;15;7;10;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1
2020-11-07 07:45:00;5;20;11;8;19;2;6;1;0;8;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-07 08:00:00;2;8;14;8;17;2;7;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-07 08:15:00;5;7;17;15;15;10;8;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-07 08:30:00;7;17;11;11;30;7;13;2;0;5;0;0;0;0;0;0;0;0;0;0;0;2
2020-11-07 08:45:00;15;21;16;15;35;11;16;0;0;5;0;0;0;2;5;15;0;0;0;1;0;0
2020-11-07 09:00:00;8;16;21;14;28;15;13;4;0;3;0;0;0;0;0;0;0;0;0;1;2;0
2020-11-07 09:15:00;17;15;18;10;34;10;10;1;0;1;0;1;1;0;0;0;0;1;4;0;0;0
2020-11-07 09:30:00;14;26;20;12;39;12;13;5;0;10;0;0;0;3;0;0;0;0;0;0;0;0
2020-11-07 09:45:00;25;35;22;16;43;10;16;4;0;7;0;0;0;0;1;0;0;0;0;0;0;0
2020-11-07 10:00:00;18;29;19;18;45;16;20;1;0;7;0;1;0;3;1;0;0;0;0;1;0;0
2020-11-07 10:15:00;14;23;25;23;58;13;16;3;0;8;0;0;3;1;10;0;0;0;0;0;0;0
2020-11-07 10:30:00;19;34;26;21;50;11;20;1;0;6;0;1;7;1;0;0;0;2;0;3;4;0
2020-11-07 10:45:00;26;28;21;21;53;12;23;3;0;8;0;13;0;0;0;0;0;0;0;0;0;0
2020-11-07 11:00:00;21;33;20;19;36;13;19;2;0;12;0;1;0;3;0;0;0;0;0;0;0;0
2020-11-07 11:15:00;16;22;25;20;53;9;12;1;0;10;0;1;0;1;0;0;0;0;0;0;0;0
2020-11-07 11:30:00;19;34;38;21;52;14;16;4;0;7;0;5;0;1;2;0;0;0;0;0;0;0
2020-11-07 11:45:00;35;37;29;21;65;13;12;4;0;12;0;0;1;3;1;0;0;0;0;0;0;0
2020-11-07 12:00:00;22;28;30;22;63;11;26;6;0;15;0;5;0;0;0;0;0;0;0;2;2;0
2020-11-07 12:15:00;27;35;25;22;75;13;15;1;0;11;0;5;0;0;0;0;0;0;0;0;2;0
2020-11-07 12:30:00;30;30;18;21;54;12;31;7;0;12;0;0;0;2;0;0;0;1;3;1;0;0
2020-11-07 12:45:00;22;23;21;18;78;11;26;4;0;12;0;0;0;0;0;0;0;1;4;0;0;0
2020-11-07 13:00:00;10;29;24;30;48;15;26;2;0;10;0;1;0;0;0;2;0;0;1;1;0;0
2020-11-07 13:15:00;23;33;24;22;57;8;22;5;0;13;0;2;0;2;2;0;0;0;0;0;0;0
2020-11-07 13:30:00;35;28;30;29;58;11;22;0;0;11;0;3;1;0;0;0;0;0;0;0;0;0
2020-11-07 13:45:00;28;31;33;25;69;22;24;3;0;14;0;1;3;0;0;0;0;0;0;3;8;0
2020-11-07 14:00:00;28;31;25;26;54;12;26;3;0;12;0;0;0;0;1;3;0;0;1;0;0;0
2020-11-07 14:15:00;28;38;25;24;51;10;21;1;0;12;0;0;0;2;2;0;0;1;0;2;0;5
2020-11-07 14:30:00;22;39;30;24;74;8;25;3;0;16;0;0;0;1;0;0;0;0;0;0;7;0
2020-11-07 14:45:00;16;35;25;23;67;7;20;1;0;11;0;3;0;0;0;0;0;2;5;0;0;0
2020-11-07 15:00:00;26;31;27;32;66;18;33;2;0;8;0;1;0;3;0;0;0;0;0;0;0;0
2020-11-07 15:15:00;20;35;33;32;67;12;19;3;0;14;0;1;0;4;19;0;0;1;0;1;0;0
2020-11-07 15:30:00;28;35;27;29;72;11;22;3;0;14;0;2;0;0;0;0;0;0;0;0;0;0
2020-11-07 15:45:00;25;23;33;28;65;8;27;1;0;13;0;2;0;4;14;0;0;0;0;1;0;0
2020-11-07 16:00:00;22;31;23;31;64;9;24;2;0;14;0;2;0;0;0;0;0;0;0;0;0;0
2020-11-07 16:15:00;30;38;27;21;60;9;30;2;0;16;0;1;4;0;0;0;0;0;0;1;3;0
2020-11-07 16:30:00;18;32;29;21;82;7;31;2;0;7;0;0;0;3;9;0;0;0;0;0;0;0
2020-11-07 16:45:00;25;42;29;36;44;11;24;3;0;15;0;0;0;2;4;0;0;2;0;0;0;0
2020-11-07 17:00:00;27;37;19;20;62;8;23;4;0;9;0;4;3;0;0;2;0;0;0;3;9;0
2020-11-07 17:15:00;26;37;36;41;77;9;21;3;0;7;0;0;0;0;3;1;0;0;0;0;10;0
2020-11-07 17:30:00;25;34;33;27;57;12;14;1;0;9;0;0;0;0;0;1;0;0;0;2;1;0
2020-11-07 17:45:00;23;24;20;22;69;8;17;2;0;16;0;5;12;4;0;0;0;0;0;2;0;0
2020-11-07 18:00:00;26;25;37;23;53;11;21;4;0;12;0;1;2;0;0;0;0;0;0;0;0;0
2020-11-07 18:15:00;19;28;31;20;70;7;23;2;0;9;0;0;6;0;0;0;0;0;0;1;3;0
