DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DD1);6(DD2);7(DF1);8(DF2);9(DC1);10(DA3);11(DC2);12(TAFGA);13(TAFBA);14(TAFGA2);15(TAFBA2);16(TAFBB);17(TAFBC);18(TAFGD);19(TAFBD);20(TAFGE);21(TAFBE);22(TAFBF)
2020-10-24 00:00:00;4;3;3;4;6;4;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-24 00:15:00;2;12;5;5;9;5;3;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-24 00:30:00;4;2;2;2;9;4;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-24 00:45:00;7;2;3;1;14;9;1;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-24 01:00:00;4;1;4;3;9;4;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-24 01:15:00;1;3;5;1;10;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-24 01:30:00;2;4;3;2;9;3;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-24 01:45:00;5;2;0;1;5;4;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-24 02:00:00;2;2;6;0;1;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-24 02:15:00;5;2;2;1;5;3;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-24 02:30:00;1;0;2;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-24 02:45:00;3;2;1;0;2;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-24 03:00:00;3;1;4;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-24 03:15:00;2;1;1;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-24 03:30:00;1;3;2;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-24 03:45:00;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-24 04:00:00;0;1;2;1;3;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-24 04:15:00;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-24 04:30:00;1;1;0;0;5;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-24 04:45:00;2;3;1;0;4;2;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-24 05:00:00;5;1;2;1;3;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-24 05:15:00;3;2;2;2;21;10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-24 05:30:00;5;6;9;6;29;10;3;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-24 05:45:00;15;16;7;3;25;14;4;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0
