DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DD1);6(DD2);7(DF1);8(DF2);9(DC1);10(DA3);11(DC2);12(TAFGA);13(TAFBA);14(TAFGA2);15(TAFBA2);16(TAFBB);17(TAFBC);18(TAFGD);19(TAFBD);20(TAFGE);21(TAFBE);22(TAFBF)
2020-10-06 00:00:00;4;2;4;3;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-06 00:15:00;1;1;0;3;2;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-06 00:30:00;2;3;0;1;3;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-06 00:45:00;1;2;2;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-06 01:00:00;2;1;2;0;4;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-06 01:15:00;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-06 01:30:00;0;2;3;0;5;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-06 01:45:00;1;0;2;1;3;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-06 02:00:00;1;0;2;2;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-06 02:15:00;1;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-06 02:30:00;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-06 02:45:00;0;1;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-06 03:00:00;1;0;2;3;2;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-06 03:15:00;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-06 03:30:00;2;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-06 03:45:00;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-06 04:00:00;1;3;0;1;5;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-06 04:15:00;1;2;2;0;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-06 04:30:00;1;3;0;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-06 04:45:00;2;7;3;2;5;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-06 05:00:00;6;10;1;2;27;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-06 05:15:00;3;9;7;4;75;21;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-06 05:30:00;11;21;11;7;84;30;4;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-06 05:45:00;21;33;21;10;87;39;9;3;0;6;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-06 06:00:00;22;36;14;10;35;37;11;2;0;10;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-06 06:15:00;28;32;35;22;68;41;8;8;0;9;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-06 06:30:00;22;28;28;18;102;30;14;3;0;9;0;0;0;0;0;0;0;1;0;0;0;0
2020-10-06 06:45:00;28;31;33;18;118;29;15;9;0;12;0;0;0;0;0;0;0;0;0;1;0;0
2020-10-06 07:00:00;22;33;27;20;111;33;27;7;0;9;0;0;0;3;2;0;0;0;1;0;0;0
2020-10-06 07:15:00;35;48;66;23;121;27;31;4;0;29;0;0;0;1;0;0;0;1;0;1;0;0
2020-10-06 07:30:00;50;46;70;41;135;34;65;7;0;20;0;1;0;3;0;0;0;3;0;0;0;0
2020-10-06 07:45:00;78;58;62;35;152;32;59;20;0;26;0;0;0;4;0;0;0;0;0;0;0;0
2020-10-06 08:00:00;51;56;58;39;123;19;38;11;0;13;0;1;0;0;0;0;0;2;0;3;2;0
2020-10-06 08:15:00;32;53;40;36;95;20;20;5;0;13;0;0;0;0;0;1;0;2;17;1;1;0
2020-10-06 08:30:00;32;37;32;23;98;20;33;5;0;11;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-06 08:45:00;32;35;28;20;73;21;31;7;0;14;0;0;0;1;3;0;0;4;1;0;0;0
2020-10-06 09:00:00;19;22;28;23;73;13;26;7;0;13;0;0;0;0;1;0;0;1;1;0;0;0
2020-10-06 09:15:00;29;40;39;22;56;20;28;6;0;15;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-06 09:30:00;32;37;30;30;61;18;32;2;0;6;0;1;0;0;0;0;0;0;0;0;0;0
2020-10-06 09:45:00;28;28;31;21;59;21;21;9;0;9;0;0;0;1;2;0;0;0;0;1;0;0
2020-10-06 10:00:00;35;30;28;24;58;9;31;3;0;19;0;0;0;3;9;0;0;0;0;1;1;0
2020-10-06 10:15:00;19;33;29;30;62;18;29;11;0;13;0;0;1;2;5;0;0;0;0;0;0;0
2020-10-06 10:30:00;31;32;36;32;69;14;35;11;0;11;0;1;0;1;1;0;0;0;0;0;0;0
2020-10-06 10:45:00;38;49;38;31;64;15;35;9;0;11;0;0;0;1;1;0;0;0;0;2;2;0
2020-10-06 11:00:00;32;31;30;33;60;26;27;7;0;15;0;1;2;1;2;0;0;1;1;0;0;0
2020-10-06 11:15:00;38;30;39;34;62;16;23;5;0;13;0;2;0;1;28;0;0;0;0;0;0;0
2020-10-06 11:30:00;37;26;27;33;77;13;41;8;0;15;0;0;7;2;0;0;0;1;1;2;0;18
2020-10-06 11:45:00;40;32;38;30;61;20;36;10;0;22;0;1;0;1;0;0;0;0;0;1;2;0
2020-10-06 12:00:00;39;37;38;38;64;21;50;7;0;17;0;10;7;1;0;0;0;0;0;0;0;0
2020-10-06 12:15:00;41;23;41;33;72;13;27;7;0;19;0;3;0;2;4;0;0;1;0;0;0;0
2020-10-06 12:30:00;28;37;34;36;75;16;39;11;0;17;0;1;0;2;2;0;0;0;0;1;1;1
2020-10-06 12:45:00;41;29;40;36;74;22;28;10;0;10;0;14;1;0;0;0;0;0;0;0;0;0
2020-10-06 13:00:00;48;42;28;36;85;17;64;9;0;10;0;4;4;2;1;0;0;1;1;0;0;0
2020-10-06 13:15:00;49;36;28;35;85;21;50;10;0;16;0;5;1;2;0;0;0;0;0;0;0;0
2020-10-06 13:30:00;45;33;33;24;86;18;30;6;0;5;0;1;0;4;1;0;0;0;0;1;4;2
2020-10-06 13:45:00;47;39;45;35;88;21;39;8;0;17;0;5;0;2;8;0;0;0;0;0;0;0
2020-10-06 14:00:00;63;50;36;40;74;13;47;8;0;15;0;3;9;0;0;0;0;0;0;1;1;0
2020-10-06 14:15:00;81;67;43;52;74;13;41;7;0;13;0;59;2;0;0;0;0;0;0;1;1;1
2020-10-06 14:30:00;83;85;45;48;67;16;33;11;0;25;0;1;21;1;0;0;0;2;4;0;0;0
2020-10-06 14:45:00;80;72;35;55;74;8;47;11;0;23;0;2;0;0;0;0;0;0;0;1;3;0
2020-10-06 15:00:00;61;58;44;56;75;13;44;8;0;27;0;4;0;2;1;0;0;0;0;0;1;0
2020-10-06 15:15:00;80;70;43;46;72;13;51;13;0;21;0;2;0;1;2;0;0;0;0;0;0;0
2020-10-06 15:30:00;75;80;43;43;80;14;56;8;0;19;0;1;2;0;0;0;0;0;0;1;0;0
2020-10-06 15:45:00;83;79;43;69;97;24;59;10;0;27;0;5;33;2;0;0;0;0;0;1;5;0
2020-10-06 16:00:00;104;93;53;71;96;12;54;15;0;26;0;0;0;0;0;0;9;0;0;1;11;0
2020-10-06 16:15:00;98;88;51;63;106;23;59;13;0;24;0;6;5;0;0;0;0;0;0;2;5;0
2020-10-06 16:30:00;90;81;36;47;101;18;73;10;0;21;0;2;4;1;2;0;0;1;0;0;0;0
2020-10-06 16:45:00;75;83;55;61;85;15;51;9;0;22;0;6;0;0;0;0;0;0;0;2;2;8
2020-10-06 17:00:00;79;61;50;59;98;12;39;15;0;20;0;2;5;0;0;0;0;0;0;0;0;0
2020-10-06 17:15:00;75;63;49;53;102;13;53;11;0;19;0;1;1;0;0;0;0;0;0;1;0;2
2020-10-06 17:30:00;64;54;48;35;71;14;39;7;0;17;0;0;0;0;0;0;0;0;0;2;0;0
2020-10-06 17:45:00;57;49;37;36;75;6;35;9;0;19;0;1;2;2;0;0;0;0;0;2;9;0
2020-10-06 18:00:00;58;46;49;24;69;13;36;13;0;13;0;0;0;0;0;0;1;0;0;0;0;0
2020-10-06 18:15:00;41;33;29;32;86;12;30;7;0;12;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-06 18:30:00;41;28;33;23;53;12;32;4;0;15;0;3;0;0;1;0;0;4;0;0;4;0
2020-10-06 18:45:00;37;32;38;28;67;15;31;5;0;14;0;1;0;0;0;0;0;0;0;1;2;8
2020-10-06 19:00:00;26;20;28;23;68;11;35;3;0;9;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-06 19:15:00;22;22;33;21;45;12;20;3;0;8;0;0;0;1;0;0;0;0;0;1;0;0
2020-10-06 19:30:00;21;23;26;20;48;9;20;3;0;5;0;1;0;0;0;0;0;0;0;0;0;0
2020-10-06 19:45:00;14;20;21;19;48;7;17;5;0;6;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-06 20:00:00;27;22;21;12;36;7;32;4;0;15;0;0;1;1;3;0;0;0;0;0;0;0
2020-10-06 20:15:00;15;16;16;14;42;5;18;13;0;4;0;6;2;1;1;0;0;0;0;0;9;0
2020-10-06 20:30:00;16;24;9;12;21;9;19;4;0;7;0;0;0;0;0;0;0;0;0;3;0;0
2020-10-06 20:45:00;16;13;26;15;27;2;13;2;0;4;0;1;0;1;1;0;0;1;4;0;0;0
2020-10-06 21:00:00;10;17;9;13;38;6;18;1;0;4;0;0;0;0;0;0;0;0;0;0;4;0
2020-10-06 21:15:00;14;9;15;6;39;8;13;3;0;4;0;0;4;1;0;0;0;0;0;1;8;0
2020-10-06 21:30:00;15;12;8;6;32;6;27;7;0;3;0;0;0;2;0;0;0;0;0;0;0;0
2020-10-06 21:45:00;15;10;13;13;24;7;7;4;0;6;0;0;1;0;0;0;0;0;0;0;0;0
2020-10-06 22:00:00;21;25;9;11;19;2;10;1;0;7;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-06 22:15:00;20;10;11;10;29;4;5;4;0;7;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-06 22:30:00;12;6;5;5;20;2;5;0;0;6;0;1;0;0;0;0;0;0;0;0;0;0
2020-10-06 22:45:00;9;11;4;4;8;3;4;2;0;6;0;0;0;0;3;0;0;0;0;0;0;2
2020-10-06 23:00:00;6;8;6;5;12;5;11;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-06 23:15:00;8;7;8;4;10;3;1;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-06 23:30:00;1;2;2;0;7;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
