DATUM;1(DA1);2(DA2);3(DA3);4(DC4);5(DC1);6(DC2);7(DD1);8(DD2);9(DE1);10(DE2);11(DF1);12(DH1);13(DB1)
2020-09-10 00:00:00;3;0;0;0;4;5;3;1;0;0;1;0;0
2020-09-10 00:15:00;2;2;0;1;9;8;4;4;3;3;1;0;0
2020-09-10 00:30:00;2;4;0;0;2;2;4;1;2;2;0;0;0
2020-09-10 00:45:00;1;1;0;0;2;4;6;3;3;1;0;0;0
2020-09-10 01:00:00;2;1;0;0;2;2;1;0;2;1;0;0;0
2020-09-10 01:15:00;2;0;0;0;1;2;3;0;1;0;0;0;0
2020-09-10 01:30:00;2;3;0;0;1;2;1;1;0;0;0;0;0
2020-09-10 01:45:00;2;0;0;0;2;0;1;1;1;0;0;0;0
2020-09-10 02:00:00;0;1;0;0;1;1;1;2;1;1;0;0;0
2020-09-10 02:15:00;1;1;0;0;0;0;2;4;0;0;0;0;0
2020-09-10 02:30:00;0;1;0;0;1;0;1;0;0;0;0;0;0
2020-09-10 02:45:00;0;0;0;0;1;2;1;0;0;0;0;0;0
2020-09-10 03:00:00;1;3;1;1;4;3;2;2;3;0;0;0;1
2020-09-10 03:15:00;0;0;0;0;3;4;0;0;0;0;0;0;0
2020-09-10 03:30:00;1;1;0;0;1;1;0;1;1;0;0;0;0
2020-09-10 03:45:00;2;1;0;0;1;1;2;1;0;0;0;0;0
2020-09-10 04:00:00;0;1;0;0;2;2;1;2;1;0;0;0;0
2020-09-10 04:15:00;1;2;1;1;3;3;1;1;2;0;0;0;0
2020-09-10 04:30:00;2;2;0;0;4;3;3;1;4;0;0;0;0
2020-09-10 04:45:00;1;1;1;1;7;10;10;5;2;0;0;0;0
2020-09-10 05:00:00;1;2;1;0;11;11;24;14;1;1;1;0;0
2020-09-10 05:15:00;5;1;0;0;18;15;47;35;5;2;6;4;0
2020-09-10 05:30:00;8;4;0;0;23;22;55;43;13;5;4;0;0
2020-09-10 05:45:00;10;7;1;4;48;46;41;41;29;14;4;0;2
2020-09-10 06:00:00;13;9;0;2;43;32;28;23;18;4;3;0;2
2020-09-10 06:15:00;13;12;3;1;46;46;50;41;28;11;2;1;2
2020-09-10 06:30:00;12;4;0;3;39;48;70;69;38;31;11;3;2
2020-09-10 06:45:00;15;6;3;4;53;46;67;60;44;26;2;5;1
2020-09-10 07:00:00;17;12;1;9;43;42;78;40;73;31;5;3;1
2020-09-10 07:15:00;31;18;0;6;56;51;92;71;98;62;7;0;2
2020-09-10 07:30:00;35;24;1;8;65;50;86;66;126;85;19;0;3
2020-09-10 07:45:00;33;37;2;9;88;88;50;49;73;60;6;1;9
2020-09-10 08:00:00;29;14;1;47;71;78;83;46;57;32;8;1;2
2020-09-10 08:15:00;32;22;2;6;62;55;57;43;66;29;3;0;0
2020-09-10 08:30:00;30;23;1;3;62;54;72;30;64;28;5;1;4
2020-09-10 08:45:00;32;18;1;7;47;49;59;31;64;25;8;0;0
2020-09-10 09:00:00;26;17;1;4;46;48;52;23;58;21;3;0;1
2020-09-10 09:15:00;27;17;1;4;43;47;61;22;49;19;0;0;3
2020-09-10 09:30:00;23;15;1;2;44;42;57;23;58;24;6;4;0
2020-09-10 09:45:00;21;21;2;3;54;45;59;21;50;20;4;0;1
2020-09-10 10:00:00;26;15;0;0;42;48;50;22;56;22;1;2;0
2020-09-10 10:15:00;29;20;0;4;51;40;51;25;40;19;5;5;2
2020-09-10 10:30:00;33;17;3;2;51;47;64;29;42;17;7;4;1
2020-09-10 10:45:00;33;24;2;3;58;59;61;30;42;12;4;0;1
2020-09-10 11:00:00;33;23;2;3;40;42;58;21;37;18;3;1;0
2020-09-10 11:15:00;35;30;8;7;56;68;58;29;46;12;2;0;3
2020-09-10 11:30:00;37;31;1;5;70;60;68;37;56;23;4;0;1
2020-09-10 11:45:00;34;21;0;1;62;55;65;25;46;13;5;1;1
2020-09-10 12:00:00;30;20;0;3;66;67;66;33;40;18;3;1;1
2020-09-10 12:15:00;39;31;0;5;59;67;48;35;30;19;4;1;1
2020-09-10 12:30:00;48;34;6;5;63;61;121;39;42;21;7;0;3
2020-09-10 12:45:00;49;48;2;1;67;60;59;36;58;15;11;0;2
2020-09-10 13:00:00;52;44;1;4;80;73;54;25;57;16;5;1;2
2020-09-10 13:15:00;42;44;2;2;51;45;34;16;20;14;5;0;2
2020-09-10 13:30:00;50;39;5;1;64;93;62;39;52;33;6;1;0
2020-09-10 13:45:00;32;32;0;4;60;78;65;42;38;16;5;0;2
2020-09-10 14:00:00;37;29;2;1;79;87;56;25;33;18;4;0;3
2020-09-10 14:15:00;40;36;0;5;104;106;52;33;43;20;2;2;0
2020-09-10 14:30:00;35;28;0;4;119;124;58;40;57;26;7;1;0
2020-09-10 14:45:00;38;28;1;2;103;97;52;32;45;22;5;0;2
2020-09-10 15:00:00;55;44;0;7;99;88;61;38;40;27;4;1;1
2020-09-10 15:15:00;67;50;8;4;96;90;62;32;57;38;10;0;3
2020-09-10 15:30:00;43;49;1;4;110;99;73;27;49;27;9;1;1
2020-09-10 15:45:00;59;64;3;4;89;96;66;45;66;20;2;3;1
2020-09-10 16:00:00;60;54;0;6;106;92;73;46;48;24;2;2;0
2020-09-10 16:15:00;55;51;5;6;101;93;75;42;55;30;7;0;2
2020-09-10 16:30:00;59;51;3;4;104;112;76;39;46;31;12;5;3
2020-09-10 16:45:00;52;46;3;6;114;108;80;47;48;28;13;2;2
2020-09-10 17:00:00;59;47;0;5;116;121;76;44;71;30;4;1;0
2020-09-10 17:15:00;59;45;0;3;98;104;66;32;52;37;4;1;2
2020-09-10 17:30:00;76;44;3;2;106;103;62;43;53;30;3;3;1
2020-09-10 17:45:00;37;38;1;3;71;79;60;28;63;30;1;2;1
2020-09-10 18:00:00;50;37;3;1;72;76;55;24;43;29;2;0;1
2020-09-10 18:15:00;38;44;4;1;66;73;44;25;47;27;2;0;2
2020-09-10 18:30:00;122;30;4;5;52;54;46;27;32;18;1;0;1
2020-09-10 18:45:00;33;29;1;3;58;58;49;34;38;18;1;0;1
2020-09-10 19:00:00;32;26;2;2;62;57;35;15;39;16;4;0;0
2020-09-10 19:15:00;26;26;2;4;42;47;38;28;28;10;1;3;3
2020-09-10 19:30:00;27;14;1;0;37;35;34;24;37;17;4;0;1
2020-09-10 19:45:00;28;20;1;2;38;44;35;11;25;13;1;2;1
2020-09-10 20:00:00;17;20;0;2;55;48;35;18;26;11;3;0;2
2020-09-10 20:15:00;20;14;0;1;39;37;43;23;23;14;4;3;4
2020-09-10 20:30:00;19;17;0;0;29;38;23;13;14;6;1;1;2
2020-09-10 20:45:00;12;12;1;1;20;29;28;14;30;14;5;0;0
2020-09-10 21:00:00;21;16;0;1;23;30;34;14;17;7;1;0;0
2020-09-10 21:15:00;29;20;3;2;26;21;33;16;19;8;2;0;0
2020-09-10 21:30:00;20;17;1;0;22;19;21;10;11;1;0;0;1
2020-09-10 21:45:00;16;17;2;4;34;27;15;7;9;2;2;0;0
2020-09-10 22:00:00;15;11;1;2;38;44;12;6;15;6;0;2;0
2020-09-10 22:15:00;8;6;0;2;20;23;24;11;9;3;1;0;0
2020-09-10 22:30:00;9;9;0;0;18;23;18;9;9;3;1;0;0
2020-09-10 22:45:00;8;6;0;0;10;9;12;5;10;1;1;0;0
