DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DC3);7(DF1);8(DH1);9(DH2);10(DH3);11(DH4)
2019-11-19 00:00:00;1;0;0;7;3;18;2;2;3;1;0
2019-11-19 00:15:00;0;3;0;5;6;28;3;9;8;1;1
2019-11-19 00:30:00;0;2;0;3;3;9;1;3;2;0;0
2019-11-19 00:45:00;0;0;0;3;1;20;0;4;3;0;0
2019-11-19 01:00:00;0;0;1;1;1;10;0;3;3;1;1
2019-11-19 01:15:00;0;0;0;4;4;4;0;2;4;0;1
2019-11-19 01:30:00;1;0;0;0;0;5;2;4;3;1;1
2019-11-19 01:45:00;0;0;0;5;3;17;0;3;3;1;1
2019-11-19 02:00:00;0;0;0;3;5;96;0;1;2;0;0
2019-11-19 02:15:00;0;0;0;3;3;76;2;3;2;0;0
2019-11-19 02:30:00;0;2;0;3;4;22;1;0;0;0;0
2019-11-19 02:45:00;0;1;0;2;3;30;0;2;2;1;0
2019-11-19 03:00:00;0;1;0;4;1;21;1;2;3;0;0
2019-11-19 03:15:00;0;1;0;3;3;30;2;0;2;0;0
2019-11-19 03:30:00;0;1;0;1;2;53;3;2;1;0;0
2019-11-19 03:45:00;0;1;0;2;1;14;2;2;1;1;1
2019-11-19 04:00:00;0;0;0;6;2;12;0;4;3;1;1
2019-11-19 04:15:00;1;2;0;6;4;29;1;6;6;1;1
2019-11-19 04:30:00;0;3;0;3;3;16;0;5;2;1;1
2019-11-19 04:45:00;2;5;0;11;6;63;2;20;10;2;2
2019-11-19 05:00:00;0;11;0;10;9;33;8;24;16;3;4
2019-11-19 05:15:00;2;16;2;15;15;121;5;48;44;16;10
2019-11-19 05:30:00;4;17;2;18;24;37;9;64;62;25;25
2019-11-19 05:45:00;5;20;3;39;29;20;8;80;90;34;34
2019-11-19 06:00:00;2;19;4;51;28;12;4;66;71;15;16
2019-11-19 06:15:00;7;41;6;61;32;14;15;83;74;16;14
2019-11-19 06:30:00;6;36;6;51;49;16;16;134;142;22;14
2019-11-19 06:45:00;13;42;7;64;53;15;21;150;185;35;27
2019-11-19 07:00:00;11;44;6;76;50;10;26;141;192;19;17
2019-11-19 07:15:00;17;60;9;89;69;38;42;163;214;41;28
2019-11-19 07:30:00;6;43;9;92;49;20;51;155;200;25;23
2019-11-19 07:45:00;
2019-11-19 08:00:00;
2019-11-19 08:15:00;
2019-11-19 08:30:00;
2019-11-19 08:45:00;
2019-11-19 09:00:00;
2019-11-19 09:15:00;3;8;5;30;24;7;13;37;42;3;7
2019-11-19 09:30:00;8;33;5;86;51;82;33;86;84;14;13
2019-11-19 09:45:00;11;38;3;99;78;77;25;69;77;8;11
2019-11-19 10:00:00;6;30;6;66;58;37;33;75;63;10;10
2019-11-19 10:15:00;12;32;4;82;55;32;32;72;76;12;12
2019-11-19 10:30:00;11;27;0;86;61;44;25;78;58;12;9
2019-11-19 10:45:00;10;32;4;100;65;291;28;93;77;10;9
2019-11-19 11:00:00;10;38;5;103;66;85;32;69;80;13;9
2019-11-19 11:15:00;7;38;6;90;63;30;37;88;76;9;9
2019-11-19 11:30:00;16;37;7;100;80;49;33;73;55;11;10
2019-11-19 11:45:00;13;31;3;104;65;58;42;71;82;7;4
2019-11-19 12:00:00;11;33;4;95;66;61;34;64;63;8;8
2019-11-19 12:15:00;8;27;8;108;80;150;28;59;75;4;5
2019-11-19 12:30:00;10;30;1;126;87;54;31;62;70;9;6
2019-11-19 12:45:00;19;36;7;120;81;69;24;68;76;7;4
2019-11-19 13:00:00;28;38;5;127;103;28;38;89;61;12;12
2019-11-19 13:15:00;9;27;3;118;99;32;38;86;76;9;7
2019-11-19 13:30:00;11;35;5;111;84;48;31;104;97;9;9
2019-11-19 13:45:00;10;42;7;109;76;9;38;88;93;14;14
2019-11-19 14:00:00;13;33;5;143;115;17;40;58;60;12;12
2019-11-19 14:15:00;10;21;9;159;121;37;39;85;75;16;10
2019-11-19 14:30:00;13;29;3;189;143;21;34;74;87;15;14
2019-11-19 14:45:00;9;26;2;181;146;36;34;78;85;17;15
2019-11-19 15:00:00;11;42;6;168;136;27;39;71;79;12;8
2019-11-19 15:15:00;19;24;4;189;168;37;36;77;90;14;11
2019-11-19 15:30:00;12;32;3;217;169;42;47;81;81;19;20
2019-11-19 15:45:00;21;38;7;208;187;30;45;86;102;21;11
2019-11-19 16:00:00;28;45;9;232;195;16;62;85;87;22;17
2019-11-19 16:15:00;17;42;6;251;209;37;55;80;84;15;15
2019-11-19 16:30:00;14;37;2;234;209;25;51;87;92;20;18
2019-11-19 16:45:00;9;30;4;212;179;33;53;86;102;19;13
2019-11-19 17:00:00;18;35;9;170;165;31;66;107;116;22;19
2019-11-19 17:15:00;19;29;2;196;165;20;54;102;109;18;14
2019-11-19 17:30:00;12;25;5;204;166;19;39;103;104;24;20
2019-11-19 17:45:00;19;32;2;153;129;15;39;98;78;15;13
2019-11-19 18:00:00;14;24;5;132;123;13;49;63;86;22;13
2019-11-19 18:15:00;14;20;3;133;96;12;37;70;65;12;8
2019-11-19 18:30:00;10;28;2;109;64;15;39;66;74;16;13
2019-11-19 18:45:00;19;22;2;93;66;13;28;62;77;6;5
2019-11-19 19:00:00;9;22;11;87;54;8;31;51;53;9;10
2019-11-19 19:15:00;6;27;5;83;51;9;27;53;49;14;10
2019-11-19 19:30:00;11;17;5;69;52;16;23;41;45;9;11
2019-11-19 19:45:00;12;18;7;64;57;13;32;54;56;13;4
2019-11-19 20:00:00;19;14;14;71;57;20;22;42;45;8;4
2019-11-19 20:15:00;8;15;6;67;53;11;30;43;45;8;6
2019-11-19 20:30:00;8;10;4;31;44;22;18;39;23;2;2
2019-11-19 20:45:00;0;12;2;46;45;12;20;30;26;7;3
