DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DC3);7(DF1);8(DH1);9(DH2);10(DH3);11(DH4)
2020-05-02 00:00:00;0;0;0;2;7;2;4;9;3;1;0
2020-05-02 00:15:00;0;4;0;8;6;6;5;11;8;2;3
2020-05-02 00:30:00;1;0;0;8;4;3;7;8;8;1;1
2020-05-02 00:45:00;0;0;0;5;8;5;2;7;4;2;2
2020-05-02 01:00:00;1;1;0;3;1;1;1;7;4;1;1
2020-05-02 01:15:00;0;1;0;5;5;3;4;6;6;3;3
2020-05-02 01:30:00;0;0;0;1;1;1;2;6;3;0;0
2020-05-02 01:45:00;0;0;0;3;1;0;4;2;2;0;0
2020-05-02 02:00:00;4;0;0;0;2;1;1;4;2;0;0
2020-05-02 02:15:00;0;0;0;4;1;1;4;1;2;1;1
2020-05-02 02:30:00;0;0;0;0;1;0;1;2;1;1;1
2020-05-02 02:45:00;1;0;1;1;3;0;0;2;3;1;1
2020-05-02 03:00:00;1;2;0;2;2;1;0;1;0;0;0
2020-05-02 03:15:00;1;2;0;0;0;0;0;1;4;2;2
2020-05-02 03:30:00;0;0;0;1;1;1;0;1;1;1;1
2020-05-02 03:45:00;0;1;0;0;0;0;2;1;1;0;0
2020-05-02 04:00:00;0;0;0;2;0;0;2;1;0;0;0
2020-05-02 04:15:00;0;0;0;2;1;0;0;3;1;0;0
2020-05-02 04:30:00;0;0;0;2;1;0;0;2;2;2;2
2020-05-02 04:45:00;0;2;0;3;5;1;0;1;1;1;1
2020-05-02 05:00:00;0;4;0;10;5;0;0;3;2;0;0
2020-05-02 05:15:00;0;4;0;6;3;1;2;7;5;1;1
2020-05-02 05:30:00;0;5;0;6;2;2;0;17;20;5;2
2020-05-02 05:45:00;0;5;0;7;11;5;1;14;14;3;2
2020-05-02 06:00:00;0;4;2;9;6;4;2;11;7;1;1
2020-05-02 06:15:00;0;2;0;13;13;4;3;10;10;2;1
2020-05-02 06:30:00;1;4;2;2;8;32;3;9;10;2;1
2020-05-02 06:45:00;0;5;2;17;10;112;8;24;14;3;3
2020-05-02 07:00:00;0;6;1;15;12;84;5;9;10;3;1
2020-05-02 07:15:00;2;5;6;14;10;172;4;12;13;0;1
2020-05-02 07:30:00;6;6;9;21;12;156;4;24;10;0;0
2020-05-02 07:45:00;7;10;3;13;15;334;17;22;19;3;2
2020-05-02 08:00:00;4;8;0;20;13;210;5;21;18;3;2
2020-05-02 08:15:00;5;7;3;25;18;139;8;18;23;7;4
2020-05-02 08:30:00;1;10;1;30;15;18;16;31;19;5;4
2020-05-02 08:45:00;13;18;3;31;21;4;17;33;28;2;2
2020-05-02 09:00:00;6;17;3;40;29;14;14;33;31;9;6
2020-05-02 09:15:00;6;17;0;46;21;3;10;36;27;1;1
2020-05-02 09:30:00;9;16;4;37;19;9;8;47;35;8;6
2020-05-02 09:45:00;5;15;2;54;20;1;17;57;45;10;7
2020-05-02 10:00:00;6;15;4;45;27;13;23;53;47;7;7
2020-05-02 10:15:00;8;16;2;55;30;5;19;45;42;8;5
2020-05-02 10:30:00;6;18;2;61;27;11;21;62;46;7;6
2020-05-02 10:45:00;11;23;2;79;41;15;24;58;43;12;11
2020-05-02 11:00:00;18;18;7;73;37;10;25;54;35;12;10
2020-05-02 11:15:00;15;19;2;65;41;9;21;63;48;10;8
2020-05-02 11:30:00;14;24;3;90;46;8;20;65;56;8;5
2020-05-02 11:45:00;18;17;2;68;44;10;32;54;45;10;11
2020-05-02 12:00:00;8;22;4;76;45;8;21;58;45;8;7
2020-05-02 12:15:00;11;28;4;72;45;17;18;59;49;11;4
2020-05-02 12:30:00;19;17;2;66;46;13;33;70;46;8;5
2020-05-02 12:45:00;7;25;2;83;49;17;33;61;47;8;8
2020-05-02 13:00:00;20;27;2;63;48;11;33;65;52;9;8
2020-05-02 13:15:00;8;16;5;73;51;11;19;65;58;12;9
2020-05-02 13:30:00;9;23;10;79;54;15;36;82;53;9;9
2020-05-02 13:45:00;12;33;4;83;48;9;34;67;50;4;5
2020-05-02 14:00:00;15;18;1;80;47;12;36;63;33;3;1
2020-05-02 14:15:00;14;24;6;73;48;11;27;82;61;16;10
2020-05-02 14:30:00;8;24;2;81;52;12;34;58;38;3;3
2020-05-02 14:45:00;12;21;3;60;45;8;19;74;53;4;2
2020-05-02 15:00:00;11;32;4;81;32;10;30;64;46;4;3
2020-05-02 15:15:00;9;24;4;78;57;11;28;61;48;4;3
2020-05-02 15:30:00;10;24;3;61;47;10;31;60;32;4;3
2020-05-02 15:45:00;10;21;5;78;42;10;32;50;38;6;7
2020-05-02 16:00:00;8;21;4;66;46;10;21;54;35;8;7
2020-05-02 16:15:00;10;19;4;73;44;8;19;67;31;7;6
2020-05-02 16:30:00;7;31;5;69;39;7;23;59;37;6;3
2020-05-02 16:45:00;13;14;4;63;46;11;13;58;34;4;3
2020-05-02 17:00:00;13;19;1;62;43;10;17;66;46;7;6
2020-05-02 17:15:00;7;21;5;55;38;7;24;58;41;5;5
2020-05-02 17:30:00;7;28;3;52;35;12;15;63;41;6;4
2020-05-02 17:45:00;32;15;4;50;38;6;16;57;47;7;5
2020-05-02 18:00:00;9;17;4;62;39;7;24;57;36;7;12
2020-05-02 18:15:00;12;20;3;66;33;7;15;61;36;7;6
2020-05-02 18:30:00;5;15;4;46;45;12;12;54;50;8;8
2020-05-02 18:45:00;8;22;1;62;27;3;13;61;30;5;4
2020-05-02 19:00:00;4;16;2;52;42;12;18;43;42;4;4
2020-05-02 19:15:00;11;7;6;60;25;10;14;50;27;4;4
2020-05-02 19:30:00;4;20;3;41;31;13;18;45;38;4;2
2020-05-02 19:45:00;10;14;3;42;26;10;13;44;33;4;5
2020-05-02 20:00:00;10;11;1;41;30;2;18;43;27;4;5
2020-05-02 20:15:00;5;6;1;29;21;7;11;40;24;5;5
2020-05-02 20:30:00;2;3;3;29;21;16;17;30;17;3;2
2020-05-02 20:45:00;3;8;3;29;14;4;8;28;20;6;3
2020-05-02 21:00:00;1;6;2;24;14;6;7;22;23;4;1
2020-05-02 21:15:00;3;5;0;17;8;2;4;22;14;2;4
2020-05-02 21:30:00;1;8;0;21;13;6;12;18;16;2;2
2020-05-02 21:45:00;2;4;3;18;16;6;7;16;18;6;2
2020-05-02 22:00:00;0;3;0;18;11;4;8;17;13;2;2
2020-05-02 22:15:00;1;1;1;12;7;3;4;15;13;1;2
2020-05-02 22:30:00;1;2;0;17;11;3;8;15;8;2;2
2020-05-02 22:45:00;0;2;24;15;7;4;5;13;10;0;1
2020-05-02 23:00:00;1;1;0;10;9;11;4;7;8;5;4
2020-05-02 23:15:00;0;1;2;12;12;36;7;19;15;3;3
2020-05-02 23:30:00;0;1;0;9;4;19;1;10;8;0;0
2020-05-02 23:45:00;0;1;1;6;14;7;7;22;17;6;3
