DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DC3);7(DF1);8(DH1);9(DH2);10(DH3);11(DH4)
2020-10-24 00:00:00;1;0;0;6;8;6;1;6;8;4;4
2020-10-24 00:15:00;0;2;0;16;14;5;14;6;11;5;4
2020-10-24 00:30:00;1;1;0;4;6;2;4;11;5;0;1
2020-10-24 00:45:00;1;3;0;11;7;6;5;6;11;2;3
2020-10-24 01:00:00;4;3;0;5;5;2;4;4;8;5;4
2020-10-24 01:15:00;0;0;0;8;6;3;2;8;6;1;3
2020-10-24 01:30:00;0;0;0;4;4;3;5;5;5;3;3
2020-10-24 01:45:00;0;1;0;4;10;3;0;10;7;0;1
2020-10-24 02:00:00;0;1;0;3;8;13;0;5;5;1;1
2020-10-24 02:15:00;0;2;0;3;9;4;1;5;4;0;0
2020-10-24 02:30:00;1;1;0;1;1;1;0;0;1;0;0
2020-10-24 02:45:00;0;0;0;4;2;0;0;4;7;2;2
2020-10-24 03:00:00;0;0;0;7;3;0;0;0;1;1;1
2020-10-24 03:15:00;0;0;0;6;3;2;1;6;6;0;1
2020-10-24 03:30:00;0;0;0;5;3;1;3;0;3;3;3
2020-10-24 03:45:00;0;0;0;2;3;1;1;2;1;0;0
2020-10-24 04:00:00;0;1;0;4;4;2;1;4;5;1;1
2020-10-24 04:15:00;0;3;0;3;6;8;0;2;3;1;1
2020-10-24 04:30:00;0;1;0;2;4;1;1;3;6;2;2
2020-10-24 04:45:00;2;0;0;3;5;1;2;4;6;2;2
2020-10-24 05:00:00;1;1;0;5;8;1;1;7;6;0;0
2020-10-24 05:15:00;2;5;0;6;5;2;4;18;18;4;3
2020-10-24 05:30:00;3;8;0;12;7;3;4;14;25;13;12
2020-10-24 05:45:00;0;7;0;27;18;11;6;19;28;14;14
2020-10-24 06:00:00;1;3;3;27;21;11;2;13;10;0;0
2020-10-24 06:15:00;0;2;0;33;16;8;4;7;13;6;5
2020-10-24 06:30:00;2;5;1;22;8;5;5;18;24;6;6
2020-10-24 06:45:00;1;10;3;17;11;4;7;14;17;6;7
2020-10-24 07:00:00;34;2;2;27;20;6;6;18;10;2;2
2020-10-24 07:15:00;1;5;5;14;6;2;5;15;29;5;8
2020-10-24 07:30:00;2;6;1;40;19;3;5;20;31;10;6
2020-10-24 07:45:00;122;10;1;33;16;3;14;24;43;6;5
2020-10-24 08:00:00;3;15;2;24;17;4;9;28;22;4;4
2020-10-24 08:15:00;3;13;3;28;10;5;12;30;34;7;5
2020-10-24 08:30:00;6;16;0;35;18;8;12;34;37;3;2
2020-10-24 08:45:00;10;13;2;56;33;8;13;31;35;7;6
2020-10-24 09:00:00;12;20;2;40;16;8;22;31;37;5;7
2020-10-24 09:15:00;3;22;3;40;29;4;15;51;50;12;7
2020-10-24 09:30:00;6;15;3;61;37;6;19;44;58;6;5
2020-10-24 09:45:00;9;24;2;74;32;8;19;59;66;9;7
2020-10-24 10:00:00;12;17;1;75;40;11;13;47;45;13;13
2020-10-24 10:15:00;9;18;2;74;31;9;22;61;48;12;11
2020-10-24 10:30:00;7;20;3;74;40;9;15;59;63;15;14
2020-10-24 10:45:00;18;26;2;73;45;6;23;50;59;15;17
2020-10-24 11:00:00;14;15;4;68;45;8;23;60;48;17;16
2020-10-24 11:15:00;10;20;3;78;42;9;27;62;54;12;8
2020-10-24 11:30:00;15;24;2;83;54;6;30;63;65;8;7
2020-10-24 11:45:00;13;15;0;90;55;15;21;65;64;9;7
2020-10-24 12:00:00;10;23;3;107;79;25;25;59;56;6;6
2020-10-24 12:15:00;12;25;2;79;50;35;31;72;75;16;14
2020-10-24 12:30:00;12;28;3;103;55;24;34;58;56;12;11
2020-10-24 12:45:00;13;35;3;69;51;13;38;67;60;5;4
2020-10-24 13:00:00;7;27;2;102;49;11;29;64;44;11;10
2020-10-24 13:15:00;10;24;3;73;61;10;24;60;64;10;10
2020-10-24 13:30:00;12;25;2;92;55;21;32;74;67;16;14
2020-10-24 13:45:00;7;22;3;90;49;14;26;62;68;11;10
2020-10-24 14:00:00;14;20;2;88;72;18;27;70;62;12;15
2020-10-24 14:15:00;16;24;5;98;68;7;44;73;49;6;5
2020-10-24 14:30:00;4;32;2;71;59;11;29;71;61;10;12
2020-10-24 14:45:00;4;26;2;82;47;4;27;63;60;10;9
2020-10-24 15:00:00;11;29;5;74;58;14;23;68;72;9;12
2020-10-24 15:15:00;14;23;2;88;68;17;28;67;55;8;7
2020-10-24 15:30:00;17;29;5;93;66;28;34;62;54;8;8
2020-10-24 15:45:00;9;27;4;78;61;11;31;59;60;14;11
2020-10-24 16:00:00;7;20;4;80;54;8;27;59;43;3;3
2020-10-24 16:15:00;6;20;4;97;67;34;35;63;58;10;9
2020-10-24 16:30:00;11;14;1;83;58;10;30;74;60;13;11
2020-10-24 16:45:00;9;93;1;83;60;18;27;50;45;7;6
2020-10-24 17:00:00;11;22;1;86;54;5;27;58;47;10;8
2020-10-24 17:15:00;11;27;6;83;68;8;19;66;57;10;6
2020-10-24 17:30:00;16;39;4;80;55;12;31;75;67;8;8
2020-10-24 17:45:00;17;18;2;96;72;13;38;55;54;7;7
2020-10-24 18:00:00;13;26;3;81;56;14;36;70;59;8;7
2020-10-24 18:15:00;8;159;2;87;58;18;30;67;48;13;12
2020-10-24 18:30:00;6;30;2;59;57;16;29;55;51;9;9
2020-10-24 18:45:00;8;24;4;55;48;29;36;64;63;7;8
2020-10-24 19:00:00;11;29;4;65;38;10;22;41;57;7;8
2020-10-24 19:15:00;10;21;4;49;50;15;30;47;47;7;4
2020-10-24 19:30:00;9;17;6;43;39;9;28;48;49;5;6
2020-10-24 19:45:00;9;15;1;54;45;14;17;43;51;7;5
2020-10-24 20:00:00;13;18;1;63;38;11;37;58;54;13;8
2020-10-24 20:15:00;3;18;3;49;27;9;33;34;36;10;9
2020-10-24 20:30:00;5;14;4;41;28;8;15;29;24;4;4
2020-10-24 20:45:00;9;9;5;39;37;10;21;37;39;3;5
2020-10-24 21:00:00;4;14;0;44;25;6;10;19;28;5;4
2020-10-24 21:15:00;77;6;4;42;28;5;16;27;29;6;5
2020-10-24 21:30:00;3;4;0;39;27;12;16;20;28;5;2
2020-10-24 21:45:00;4;7;1;35;26;8;21;31;26;7;3
