DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DD1);7(DD2);8(DE1);9(TAFGB);10(TAFBA);11(TAFBB);12(TAFBC);13(TAFBD)
2019-08-25 00:00:00;9;16;10;37;11;3;0;2;0;0;0;0;0
2019-08-25 00:15:00;6;11;13;38;16;4;0;0;0;0;0;0;0
2019-08-25 00:30:00;6;7;12;39;14;4;0;0;0;0;0;0;0
2019-08-25 00:45:00;7;9;11;26;15;2;0;2;0;0;0;0;0
2019-08-25 01:00:00;6;16;14;23;21;3;0;0;0;0;0;0;0
2019-08-25 01:15:00;3;7;11;13;8;1;0;0;0;0;0;0;0
2019-08-25 01:30:00;8;8;10;19;11;3;0;0;0;0;0;0;0
2019-08-25 01:45:00;4;5;4;7;5;0;0;0;0;0;0;0;0
2019-08-25 02:00:00;5;7;6;19;11;1;0;0;0;0;0;0;0
2019-08-25 02:15:00;4;4;7;17;7;1;0;0;0;0;0;0;0
2019-08-25 02:30:00;4;5;9;12;5;0;0;0;0;0;0;0;0
2019-08-25 02:45:00;3;3;8;9;7;1;0;0;0;0;0;0;0
2019-08-25 03:00:00;3;5;8;6;5;0;0;0;0;0;0;0;0
2019-08-25 03:15:00;4;2;2;9;3;1;0;0;0;0;0;0;0
2019-08-25 03:30:00;3;1;5;5;4;5;0;0;0;0;0;0;0
2019-08-25 03:45:00;2;5;2;1;0;1;0;0;0;0;0;0;0
2019-08-25 04:00:00;3;5;3;8;6;2;0;0;0;0;0;0;0
2019-08-25 04:15:00;3;1;4;1;1;0;0;0;0;0;0;0;0
2019-08-25 04:30:00;3;3;8;2;1;0;0;0;0;0;0;0;0
2019-08-25 04:45:00;3;1;3;4;3;1;0;0;0;0;0;0;0
2019-08-25 05:00:00;1;5;4;8;1;1;0;0;0;0;0;0;0
2019-08-25 05:15:00;3;6;5;6;8;2;0;0;0;0;0;0;0
2019-08-25 05:30:00;2;6;5;13;6;1;0;0;0;0;0;0;0
2019-08-25 05:45:00;1;7;9;12;8;1;0;0;0;0;0;0;0
2019-08-25 06:00:00;7;11;8;14;8;2;0;0;0;0;0;0;0
2019-08-25 06:15:00;6;8;9;9;7;1;0;0;0;0;0;0;0
2019-08-25 06:30:00;5;7;7;16;11;1;0;0;0;0;0;0;0
2019-08-25 06:45:00;5;10;12;21;7;1;0;0;0;0;0;0;0
2019-08-25 07:00:00;9;16;6;12;5;2;0;0;0;0;0;0;0
2019-08-25 07:15:00;5;10;9;14;6;1;0;1;0;0;0;0;0
2019-08-25 07:30:00;4;10;12;14;9;0;0;0;0;0;0;0;0
2019-08-25 07:45:00;11;10;15;17;5;2;0;0;0;0;0;0;0
2019-08-25 08:00:00;19;16;19;20;6;2;0;0;0;0;0;0;0
2019-08-25 08:15:00;9;19;19;22;7;1;0;0;0;0;0;0;0
2019-08-25 08:30:00;20;30;29;22;6;1;0;1;0;0;0;3;0
2019-08-25 08:45:00;17;25;25;41;15;2;0;0;0;0;0;0;0
2019-08-25 09:00:00;17;22;23;33;23;1;0;1;2;0;0;0;0
2019-08-25 09:15:00;16;30;27;62;31;1;0;0;2;0;0;0;0
2019-08-25 09:30:00;27;38;41;52;36;4;0;1;3;3;0;0;7
2019-08-25 09:45:00;21;47;26;54;46;4;0;1;4;0;0;0;0
2019-08-25 10:00:00;22;37;37;45;28;4;0;1;2;0;0;8;0
2019-08-25 10:15:00;24;50;28;53;31;6;0;0;7;0;0;0;0
2019-08-25 10:30:00;32;49;41;64;38;7;0;0;1;4;0;0;0
2019-08-25 10:45:00;22;28;28;72;42;4;0;0;0;0;0;6;27
2019-08-25 11:00:00;29;47;33;65;44;4;0;3;0;0;10;0;0
2019-08-25 11:15:00;26;44;40;73;49;8;0;2;3;0;7;0;0
2019-08-25 11:30:00;35;49;38;80;52;9;0;0;0;0;0;5;0
2019-08-25 11:45:00;27;50;35;64;38;11;0;0;4;0;0;0;0
2019-08-25 12:00:00;36;35;42;71;50;10;0;0;16;0;0;0;0
2019-08-25 12:15:00;16;34;41;78;45;13;0;0;3;1;0;0;0
2019-08-25 12:30:00;21;37;32;72;47;10;0;0;0;0;10;0;0
2019-08-25 12:45:00;28;37;39;62;39;9;0;4;0;0;0;0;0
2019-08-25 13:00:00;21;46;27;65;56;6;0;2;0;0;0;0;0
2019-08-25 13:15:00;24;37;43;83;63;10;0;0;8;0;0;0;5
2019-08-25 13:30:00;28;50;34;73;60;23;0;1;1;0;0;0;0
2019-08-25 13:45:00;24;31;34;63;64;8;0;2;4;0;0;0;1
2019-08-25 14:00:00;36;52;34;81;54;6;0;0;0;0;0;0;0
2019-08-25 14:15:00;25;44;35;70;50;7;0;0;25;34;0;0;1
2019-08-25 14:30:00;24;42;33;65;53;9;0;1;5;0;0;0;0
2019-08-25 14:45:00;30;51;45;78;46;10;0;0;4;0;0;0;0
2019-08-25 15:00:00;30;42;35;90;50;10;0;0;3;3;9;0;0
2019-08-25 15:15:00;29;46;42;60;47;5;0;0;23;1;3;0;2
2019-08-25 15:30:00;25;38;40;71;62;8;0;1;1;0;0;0;0
2019-08-25 15:45:00;24;54;33;54;35;11;0;0;13;0;3;0;0
2019-08-25 16:00:00;21;30;42;67;56;10;0;2;6;0;5;0;0
2019-08-25 16:15:00;25;36;47;61;48;10;0;1;6;0;0;0;0
2019-08-25 16:30:00;31;40;35;73;53;8;0;0;5;0;0;0;0
