DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DD1);12(DD2);13(DD3)
2020-03-14 00:00:00;0;15;11;3;11;15;4;17;7;0;9;8;6
2020-03-14 00:15:00;0;15;6;4;6;10;5;8;3;2;14;13;7
2020-03-14 00:30:00;0;12;14;4;2;8;2;14;6;2;7;6;9
2020-03-14 00:45:00;0;5;6;0;4;5;0;15;3;1;7;6;5
2020-03-14 01:00:00;0;7;8;0;7;9;3;11;4;1;6;2;2
2020-03-14 01:15:00;0;11;6;1;1;6;2;8;3;0;12;8;2
2020-03-14 01:30:00;0;11;3;0;3;4;2;10;8;0;3;5;6
2020-03-14 01:45:00;0;4;5;1;3;3;2;6;0;1;5;4;0
2020-03-14 02:00:00;0;3;1;2;1;11;1;4;0;0;6;4;2
2020-03-14 02:15:00;0;6;5;2;1;7;4;4;1;0;4;2;3
2020-03-14 02:30:00;0;8;1;0;4;3;0;8;4;2;4;2;1
2020-03-14 02:45:00;0;4;3;0;1;6;0;3;1;0;1;2;1
2020-03-14 03:00:00;0;6;2;0;4;6;0;2;2;1;1;2;1
2020-03-14 03:15:00;0;3;1;1;2;4;0;5;2;1;3;1;4
2020-03-14 03:30:00;0;6;1;0;1;8;2;5;3;0;3;2;3
2020-03-14 03:45:00;0;4;1;1;5;6;2;3;0;0;3;2;0
2020-03-14 04:00:00;0;4;1;0;2;5;0;7;1;0;2;2;1
2020-03-14 04:15:00;0;4;5;0;0;6;0;3;2;0;3;0;0
2020-03-14 04:30:00;0;6;2;0;4;6;1;3;4;0;9;7;2
2020-03-14 04:45:00;0;2;2;0;1;3;1;9;1;0;7;8;4
2020-03-14 05:00:00;0;4;4;0;4;12;3;6;0;0;16;9;1
2020-03-14 05:15:00;0;8;8;0;3;13;2;14;5;1;11;12;5
2020-03-14 05:30:00;0;4;8;1;14;32;4;25;8;1;14;15;8
2020-03-14 05:45:00;0;19;11;4;26;59;19;20;10;1;15;15;5
2020-03-14 06:00:00;0;11;12;0;28;63;22;19;8;1;18;10;6
2020-03-14 06:15:00;0;14;6;2;19;36;12;17;5;4;8;7;2
2020-03-14 06:30:00;0;22;7;3;9;22;7;25;13;2;11;11;9
2020-03-14 06:45:00;0;11;13;5;18;23;14;19;7;3;20;15;10
2020-03-14 07:00:00;0;12;11;1;9;16;8;19;6;2;16;10;6
2020-03-14 07:15:00;0;12;17;2;9;16;6;27;11;3;15;17;13
2020-03-14 07:30:00;0;16;10;8;13;20;5;30;28;6;23;17;12
2020-03-14 07:45:00;0;23;19;6;18;22;7;36;25;6;24;20;17
2020-03-14 08:00:00;0;25;14;5;20;26;9;35;20;5;23;19;12
2020-03-14 08:15:00;0;21;23;3;23;22;14;41;12;6;19;15;10
2020-03-14 08:30:00;0;32;16;6;27;38;12;38;24;4;21;26;13
2020-03-14 08:45:00;0;39;20;2;27;36;30;52;22;8;32;31;24
2020-03-14 09:00:00;0;28;23;5;29;42;16;45;26;9;44;28;19
2020-03-14 09:15:00;0;29;25;2;24;32;20;52;31;10;43;37;27
2020-03-14 09:30:00;0;39;37;7;38;58;24;65;39;11;48;35;25
2020-03-14 09:45:00;0;39;35;6;42;57;15;64;41;12;55;44;28
2020-03-14 10:00:00;0;44;33;12;43;53;18;55;25;8;47;35;19
2020-03-14 10:15:00;0;46;39;9;41;60;29;66;47;11;66;39;30
2020-03-14 10:30:00;0;52;31;8;40;52;24;70;41;10;58;51;26
2020-03-14 10:45:00;0;48;52;5;42;65;28;56;38;21;51;54;27
2020-03-14 11:00:00;0;45;37;3;40;67;23;60;42;19;59;47;35
2020-03-14 11:15:00;0;50;48;9;40;58;22;63;36;14;62;55;30
2020-03-14 11:30:00;0;52;38;4;49;62;18;76;52;13;46;49;44
2020-03-14 11:45:00;0;69;51;8;56;63;24;72;43;12;59;56;35
2020-03-14 12:00:00;0;56;41;14;43;64;34;56;40;14;67;53;38
2020-03-14 12:15:00;0;65;51;9;35;57;18;70;56;15;53;46;35
2020-03-14 12:30:00;0;64;46;10;37;60;19;79;43;17;74;60;46
2020-03-14 12:45:00;0;96;54;8;38;60;29;80;40;21;68;66;33
2020-03-14 13:00:00;0;58;45;9;46;61;33;57;35;10;56;51;48
2020-03-14 13:15:00;0;60;52;3;41;56;19;64;46;11;74;55;54
2020-03-14 13:30:00;0;51;51;9;43;56;23;74;47;10;75;62;36
2020-03-14 13:45:00;0;54;42;6;39;63;29;69;55;15;61;55;41
2020-03-14 14:00:00;0;58;45;12;46;69;23;62;35;11;57;48;32
2020-03-14 14:15:00;0;52;47;4;41;60;31;58;35;15;63;55;43
2020-03-14 14:30:00;0;53;51;11;47;56;23;73;37;14;60;53;44
2020-03-14 14:45:00;0;57;46;6;49;68;24;67;43;15;61;65;45
2020-03-14 15:00:00;0;54;51;7;48;62;21;75;45;14;51;55;36
2020-03-14 15:15:00;0;55;52;13;32;53;21;65;41;13;54;55;37
