DATUM;1(DA1);2(DA2);3(DB1);4(DD1);5(DD2);6(DE1);7(DC1);8(DC2);9(DF2);10(DF1)
2020-01-14 00:00:00;5;4;0;5;5;0;5;4;4;3
2020-01-14 00:15:00;7;4;1;3;6;1;6;3;6;7
2020-01-14 00:30:00;5;4;0;6;7;0;7;5;3;4
2020-01-14 00:45:00;4;3;0;8;5;3;6;6;2;3
2020-01-14 01:00:00;6;3;0;12;9;1;9;10;3;5
2020-01-14 01:15:00;4;3;0;3;2;0;2;3;3;4
2020-01-14 01:30:00;3;1;0;5;2;1;2;3;2;3
2020-01-14 01:45:00;2;4;0;1;2;1;2;0;3;2
2020-01-14 02:00:00;3;3;0;1;4;1;4;0;3;2
2020-01-14 02:15:00;4;2;0;3;1;0;1;1;2;3
2020-01-14 02:30:00;4;1;0;1;2;0;2;2;0;3
2020-01-14 02:45:00;5;1;1;3;1;1;1;3;1;4
2020-01-14 03:00:00;5;3;1;1;0;0;0;1;1;4
2020-01-14 03:15:00;2;2;1;2;3;1;3;2;2;1
2020-01-14 03:30:00;0;1;0;3;1;1;1;2;1;0
2020-01-14 03:45:00;4;1;0;2;4;0;3;5;1;4
2020-01-14 04:00:00;5;3;1;0;0;0;1;1;2;5
2020-01-14 04:15:00;4;6;2;5;10;2;9;4;5;4
2020-01-14 04:30:00;8;4;0;8;8;2;7;6;4;7
2020-01-14 04:45:00;9;6;2;12;14;3;16;10;11;7
2020-01-14 05:00:00;21;9;0;8;23;8;25;9;10;19
2020-01-14 05:15:00;30;17;4;38;56;9;56;41;23;23
2020-01-14 05:30:00;38;20;4;49;42;14;46;56;26;34
2020-01-14 05:45:00;49;33;2;66;76;12;82;64;37;46
2020-01-14 06:00:00;37;26;4;70;51;8;54;68;31;31
2020-01-14 06:15:00;62;50;7;87;93;22;100;91;57;56
2020-01-14 06:30:00;55;42;7;164;125;23;130;171;43;52
2020-01-14 06:45:00;62;34;4;142;117;11;114;143;35;54
2020-01-14 07:00:00;56;40;2;190;142;29;149;182;44;43
2020-01-14 07:15:00;62;45;14;197;171;27;174;188;44;52
2020-01-14 07:30:00;72;40;12;157;146;37;148;169;41;56
2020-01-14 07:45:00;104;64;18;155;148;44;161;164;72;85
2020-01-14 08:00:00;80;52;17;129;129;32;131;125;54;71
2020-01-14 08:15:00;51;70;22;131;122;31;142;121;49;51
2020-01-14 08:30:00;52;86;15;128;142;21;148;129;59;47
2020-01-14 08:45:00;66;76;12;87;92;23;101;78;67;61
2020-01-14 09:00:00;66;47;5;82;105;24;111;73;54;50
2020-01-14 09:15:00;54;61;6;75;75;17;80;70;40;42
2020-01-14 09:30:00;56;64;13;80;91;15;96;81;53;53
2020-01-14 09:45:00;45;64;20;84;73;25;85;63;64;43
2020-01-14 10:00:00;46;76;12;69;66;16;76;65;62;42
2020-01-14 10:15:00;54;85;8;67;79;19;89;54;66;47
2020-01-14 10:30:00;56;52;14;56;79;15;79;63;52;46
2020-01-14 10:45:00;66;43;19;77;72;27;84;82;47;65
2020-01-14 11:00:00;63;53;13;71;76;21;75;63;52;64
2020-01-14 11:15:00;56;90;12;73;67;20;76;69;73;56
2020-01-14 11:30:00;56;85;14;60;68;19;72;45;70;49
2020-01-14 11:45:00;73;53;26;69;80;16;82;58;56;68
2020-01-14 12:00:00;71;65;24;62;59;20;60;42;81;61
2020-01-14 12:15:00;66;56;11;80;77;8;84;70;54;65
2020-01-14 12:30:00;76;67;10;51;63;19;66;47;70;62
2020-01-14 12:45:00;88;82;18;72;79;11;83;60;90;73
2020-01-14 13:00:00;76;82;17;59;86;28;97;51;83;82
2020-01-14 13:15:00;92;89;52;74;85;16;94;72;95;86
2020-01-14 13:30:00;90;69;12;97;106;16;116;84;75;76
2020-01-14 13:45:00;75;65;14;72;72;13;77;66;70;65
2020-01-14 14:00:00;75;80;14;76;90;16;88;63;88;71
2020-01-14 14:15:00;106;92;18;76;100;14;107;63;93;95
2020-01-14 14:30:00;91;97;10;81;82;23;84;79;107;76
2020-01-14 14:45:00;116;85;20;70;94;24;99;65;99;94
2020-01-14 15:00:00;110;103;22;86;89;19;95;69;111;105
2020-01-14 15:15:00;116;108;19;80;106;31;118;57;113;100
2020-01-14 15:30:00;116;113;20;92;98;21;105;87;110;102
2020-01-14 15:45:00;137;133;30;75;96;22;95;65;129;112
2020-01-14 16:00:00;150;145;30;73;109;256;127;74;151;137
2020-01-14 16:15:00;160;136;32;82;129;35;130;76;151;149
2020-01-14 16:30:00;140;120;41;68;115;26;113;54;123;143
2020-01-14 16:45:00;116;118;22;72;115;30;122;85;127;98
2020-01-14 17:00:00;151;144;32;98;124;28;132;85;143;140
2020-01-14 17:15:00;161;133;46;72;125;29;122;61;135;175
2020-01-14 17:30:00;121;113;25;86;112;23;150;66;122;105
2020-01-14 17:45:00;105;99;18;74;102;32;105;64;112;83
2020-01-14 18:00:00;94;84;18;61;90;19;95;57;93;86
2020-01-14 18:15:00;83;69;16;71;82;16;86;64;78;75
2020-01-14 18:30:00;67;57;14;70;70;19;76;54;62;60
2020-01-14 18:45:00;81;57;15;61;71;13;76;47;62;64
2020-01-14 19:00:00;54;51;6;54;67;13;71;46;52;39
2020-01-14 19:15:00;62;40;11;46;55;11;57;38;45;54
2020-01-14 19:30:00;53;38;5;44;58;11;58;35;37;39
2020-01-14 19:45:00;52;44;7;45;47;10;47;39;45;44
2020-01-14 20:00:00;52;45;5;38;48;6;43;36;39;40
2020-01-14 20:15:00;43;51;8;38;48;9;44;38;51;42
2020-01-14 20:30:00;43;35;4;26;33;8;37;22;37;32
2020-01-14 20:45:00;39;27;2;25;30;6;33;23;25;33
2020-01-14 21:00:00;41;30;5;34;46;24;48;29;30;36
2020-01-14 21:15:00;37;25;1;21;33;6;36;22;27;34
2020-01-14 21:30:00;39;27;2;21;27;8;29;17;27;35
2020-01-14 21:45:00;26;15;2;21;24;5;26;17;17;23
2020-01-14 22:00:00;42;29;4;26;36;13;38;28;29;32
2020-01-14 22:15:00;32;25;4;18;26;7;23;8;26;30
2020-01-14 22:30:00;30;20;2;20;30;8;28;21;20;26
2020-01-14 22:45:00;26;14;4;16;18;2;18;14;16;23
2020-01-14 23:00:00;13;7;1;13;15;2;15;10;8;13
2020-01-14 23:15:00;9;10;1;6;14;4;14;7;9;8
2020-01-14 23:30:00;15;11;1;6;8;3;9;5;10;10
