DATUM;1(DA1);2(DA2);3(DB1);4(DD1);5(DD2);6(DE1);7(DC1);8(DC2);9(DF2);10(DF1)
2020-06-27 00:00:00;11;12;3;14;10;3;10;16;14;8
2020-06-27 00:15:00;15;19;1;15;16;4;16;10;17;17
2020-06-27 00:30:00;9;7;0;11;4;3;4;11;8;7
2020-06-27 00:45:00;9;7;2;13;13;2;13;12;7;7
2020-06-27 01:00:00;14;5;1;17;12;4;14;11;5;10
2020-06-27 01:15:00;9;6;0;11;9;2;10;11;11;9
2020-06-27 01:30:00;9;3;0;4;3;2;4;5;4;5
2020-06-27 01:45:00;9;7;0;5;2;1;4;5;8;8
2020-06-27 02:00:00;5;3;0;8;5;0;5;7;5;5
2020-06-27 02:15:00;10;5;0;8;7;5;7;9;3;9
2020-06-27 02:30:00;9;5;3;6;9;1;8;7;3;7
2020-06-27 02:45:00;5;2;1;6;3;3;3;4;4;4
2020-06-27 03:00:00;2;1;0;6;5;2;4;3;3;2
2020-06-27 03:15:00;3;5;0;5;6;1;7;4;4;1
2020-06-27 03:30:00;5;3;1;4;4;1;4;3;4;5
2020-06-27 03:45:00;6;4;0;1;4;0;4;0;4;5
2020-06-27 04:00:00;5;3;1;2;4;0;4;3;4;4
2020-06-27 04:15:00;4;1;0;6;3;0;3;6;2;3
2020-06-27 04:30:00;3;3;2;2;1;1;2;2;5;3
2020-06-27 04:45:00;7;4;1;2;2;0;3;2;5;8
2020-06-27 05:00:00;3;6;1;8;7;2;7;2;6;3
2020-06-27 05:15:00;9;2;1;8;11;1;12;9;2;7
2020-06-27 05:30:00;16;6;3;16;19;6;25;19;10;16
2020-06-27 05:45:00;25;14;2;10;10;3;13;6;16;18
2020-06-27 06:00:00;31;19;7;12;11;8;14;10;23;25
2020-06-27 06:15:00;20;19;1;19;13;4;14;17;20;15
2020-06-27 06:30:00;26;10;1;12;15;6;18;11;11;16
2020-06-27 06:45:00;30;19;1;19;12;13;14;16;17;18
2020-06-27 07:00:00;27;11;4;16;20;10;25;14;12;19
2020-06-27 07:15:00;15;12;2;15;20;4;22;15;18;17
2020-06-27 07:30:00;29;16;5;26;29;8;28;27;17;15
2020-06-27 07:45:00;26;22;12;37;36;14;39;36;27;25
2020-06-27 08:00:00;34;20;4;21;33;20;42;20;18;24
2020-06-27 08:15:00;37;28;8;27;39;13;44;29;27;33
2020-06-27 08:30:00;39;21;9;42;37;10;40;37;22;32
2020-06-27 08:45:00;36;29;11;45;47;32;59;55;31;32
2020-06-27 09:00:00;43;28;14;26;45;17;52;28;29;41
2020-06-27 09:15:00;50;25;11;44;48;27;57;45;31;45
2020-06-27 09:30:00;54;31;20;61;51;19;64;55;37;48
2020-06-27 09:45:00;59;42;18;63;61;13;62;57;47;54
2020-06-27 10:00:00;68;40;12;54;71;30;83;50;42;54
2020-06-27 10:15:00;69;41;12;64;70;19;65;65;39;61
2020-06-27 10:30:00;61;41;7;71;72;16;75;65;40;56
2020-06-27 10:45:00;66;41;25;56;84;18;92;58;40;57
2020-06-27 11:00:00;82;46;20;60;68;24;74;59;48;69
2020-06-27 11:15:00;64;53;18;47;64;25;68;45;51;62
2020-06-27 11:30:00;78;51;16;54;58;24;64;56;53;72
2020-06-27 12:00:00;70;44;26;55;63;11;58;56;52;59
2020-06-27 12:15:00;75;47;25;64;71;26;73;77;54;74
2020-06-27 12:30:00;71;46;15;60;60;27;67;60;46;61
2020-06-27 12:45:00;66;42;16;59;66;16;68;56;39;67
2020-06-27 13:00:00;67;49;19;54;69;16;74;56;54;62
2020-06-27 13:15:00;70;50;15;70;80;14;79;68;55;67
2020-06-27 13:30:00;57;40;16;62;60;13;68;58;41;51
2020-06-27 13:45:00;72;44;24;67;72;17;73;65;54;65
2020-06-27 14:00:00;79;57;26;68;76;23;85;69;65;74
2020-06-27 14:15:00;73;61;18;47;56;20;62;36;65;65
2020-06-27 14:30:00;67;45;9;66;70;21;77;54;49;66
2020-06-27 14:45:00;64;45;12;49;65;12;74;44;46;61
2020-06-27 15:00:00;63;50;15;54;70;21;81;52;53;58
2020-06-27 15:15:00;66;47;12;56;66;19;68;51;52;53
2020-06-27 15:30:00;71;40;10;47;51;13;56;51;42;66
2020-06-27 15:45:00;72;55;14;56;71;17;75;58;56;68
2020-06-27 16:00:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-27 16:15:00;56;41;18;52;66;12;70;51;43;58
2020-06-27 16:30:00;61;34;17;58;67;14;66;57;39;54
2020-06-27 16:45:00;60;50;13;64;60;9;63;58;52;60
2020-06-27 17:00:00;58;45;5;57;55;13;63;51;44;56
2020-06-27 17:15:00;64;45;21;49;69;14;73;47;50;66
2020-06-27 17:30:00;67;37;16;72;83;13;86;60;46;57
2020-06-27 17:45:00;69;40;23;66;75;15;77;59;50;64
2020-06-27 18:00:00;57;38;25;69;65;18;71;70;50;60
2020-06-27 18:15:00;72;45;20;47;61;10;61;49;49;68
2020-06-27 18:30:00;79;50;14;53;73;10;74;46;57;65
2020-06-27 18:45:00;66;50;33;76;59;21;66;67;60;65
2020-06-27 19:00:00;69;41;22;64;63;16;74;58;49;57
2020-06-27 19:15:00;58;45;13;57;58;25;61;54;48;51
2020-06-27 19:30:00;51;39;11;38;50;9;54;36;43;40
2020-06-27 19:45:00;47;33;13;48;43;11;44;45;40;37
2020-06-27 20:00:00;45;35;10;51;55;8;52;44;39;34
2020-06-27 20:15:00;45;36;9;56;44;13;45;48;40;39
2020-06-27 20:30:00;34;28;7;36;34;10;38;38;29;32
2020-06-27 20:45:00;37;29;8;35;33;8;33;35;30;29
2020-06-27 21:00:00;27;24;5;32;32;8;35;33;26;25
2020-06-27 21:15:00;37;35;9;33;31;5;30;38;37;33
2020-06-27 21:30:00;25;16;6;31;38;9;41;26;17;21
2020-06-27 21:45:00;36;26;6;27;31;11;33;29;27;32
2020-06-27 22:00:00;36;25;3;25;25;3;26;23;27;32
2020-06-27 22:15:00;35;19;22;34;24;7;30;31;23;30
2020-06-27 22:30:00;35;14;5;30;24;5;28;21;14;27
2020-06-27 22:45:00;32;28;3;31;24;3;24;28;25;33
2020-06-27 23:00:00;31;20;5;21;22;0;22;21;23;24
2020-06-27 23:15:00;28;24;3;24;17;7;15;17;26;22
2020-06-27 23:30:00;32;15;3;22;21;6;20;21;18;28
2020-06-27 23:45:00;23;11;4;28;21;4;20;25;11;18
